#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/28
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0970	0.0843	0.0199
#xyY coordinates: 0.4820	0.4191	0.0843
#sRGB: 45	17	2
#CCT Lindbloom (K):	2478
#CCT McCamy (K):	2471
#CCT Hernández-Andrés (K):	2342
#Melatonin: 0.239
#Chlorophyll a: 0.073
#Chlorophyll b: 0.318
#Beta Carotene: 0.072
#Manufacturer: Westinghouse
#Luminance manufacturer: Unknown
#Other data: Micro Candle. CFL+difusser.
#Begin Processed Spectral Data
#W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000112
314.00000000	0.00666399
315.00000000	0.00105550
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00000000
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00035944
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00000000
335.00000000	0.00174717
336.00000000	0.00229652
337.00000000	0.00000000
338.00000000	0.00001408
339.00000000	0.00096574
340.00000000	0.00069417
341.00000000	0.00212128
342.00000000	0.00255866
343.00000000	0.00037410
344.00000000	0.00068259
345.00000000	0.00003937
346.00000000	0.00005428
347.00000000	0.00125432
348.00000000	0.00000000
349.00000000	0.00123903
350.00000000	0.00000218
351.00000000	0.00016619
352.00000000	0.00210565
353.00000000	0.00087942
354.00000000	0.00123481
355.00000000	0.00253401
356.00000000	0.00130844
357.00000000	0.00173498
358.00000000	0.00114932
359.00000000	0.00149167
360.00000000	0.00242527
361.00000000	0.00283789
362.00000000	0.00199322
363.00000000	0.00242678
364.00000000	0.00682790
365.00000000	0.06141566
366.00000000	0.13176478
367.00000000	0.07889685
368.00000000	0.02343246
369.00000000	0.00540708
370.00000000	0.00184275
371.00000000	0.00222174
372.00000000	0.00135825
373.00000000	0.00087755
374.00000000	0.00106039
375.00000000	0.00150490
376.00000000	0.00184981
377.00000000	0.00122598
378.00000000	0.00208730
379.00000000	0.00206621
380.00000000	0.00236691
381.00000000	0.00136132
382.00000000	0.00162475
383.00000000	0.00124775
384.00000000	0.00169567
385.00000000	0.00073085
386.00000000	0.00140423
387.00000000	0.00083983
388.00000000	0.00046071
389.00000000	0.00029800
390.00000000	0.00039175
391.00000000	0.00043552
392.00000000	0.00095416
393.00000000	0.00049086
394.00000000	0.00009270
395.00000000	0.00079955
396.00000000	0.00002972
397.00000000	0.00002018
398.00000000	0.00014186
399.00000000	0.00051737
400.00000000	0.00001290
401.00000000	0.00021919
402.00000000	0.00059442
403.00000000	0.00164957
404.00000000	0.02170941
405.00000000	0.15878548
406.00000000	0.12063434
407.00000000	0.04110196
408.00000000	0.01798053
409.00000000	0.01296794
410.00000000	0.00427030
411.00000000	0.00082785
412.00000000	0.00060337
413.00000000	0.00074707
414.00000000	0.00021204
415.00000000	0.00154347
416.00000000	0.00113662
417.00000000	0.00060430
418.00000000	0.00101107
419.00000000	0.00000000
420.00000000	0.00000348
421.00000000	0.00028926
422.00000000	0.00040587
423.00000000	0.00069223
424.00000000	0.00032588
425.00000000	0.00000000
426.00000000	0.00006786
427.00000000	0.00075353
428.00000000	0.00023558
429.00000000	0.00013472
430.00000000	0.00035289
431.00000000	0.00007537
432.00000000	0.00068169
433.00000000	0.00190560
434.00000000	0.00392639
435.00000000	0.04126897
436.00000000	0.34582333
437.00000000	0.31604319
438.00000000	0.12698261
439.00000000	0.03247547
440.00000000	0.00528865
441.00000000	0.00160859
442.00000000	0.00042843
443.00000000	0.00076624
444.00000000	0.00024740
445.00000000	0.00049781
446.00000000	0.00013151
447.00000000	0.00010930
448.00000000	0.00049574
449.00000000	0.00042141
450.00000000	0.00049994
451.00000000	0.00059926
452.00000000	0.00008494
453.00000000	0.00070483
454.00000000	0.00012465
455.00000000	0.00083690
456.00000000	0.00015069
457.00000000	0.00082993
458.00000000	0.00034517
459.00000000	0.00018660
460.00000000	0.00042414
461.00000000	0.00094974
462.00000000	0.00012171
463.00000000	0.00041432
464.00000000	0.00047517
465.00000000	0.00055287
466.00000000	0.00092858
467.00000000	0.00104782
468.00000000	0.00200670
469.00000000	0.00086053
470.00000000	0.00102320
471.00000000	0.00096718
472.00000000	0.00108272
473.00000000	0.00140420
474.00000000	0.00100465
475.00000000	0.00052144
476.00000000	0.00125865
477.00000000	0.00119424
478.00000000	0.00113709
479.00000000	0.00200224
480.00000000	0.00344967
481.00000000	0.00496728
482.00000000	0.00890994
483.00000000	0.01616368
484.00000000	0.02651655
485.00000000	0.03953776
486.00000000	0.05750144
487.00000000	0.07159313
488.00000000	0.07501595
489.00000000	0.06991147
490.00000000	0.06048010
491.00000000	0.05300989
492.00000000	0.04867782
493.00000000	0.04330090
494.00000000	0.03865382
495.00000000	0.03345175
496.00000000	0.02917888
497.00000000	0.02619174
498.00000000	0.02265383
499.00000000	0.01900550
500.00000000	0.01618169
501.00000000	0.01318400
502.00000000	0.01038271
503.00000000	0.00835640
504.00000000	0.00611651
505.00000000	0.00516307
506.00000000	0.00359848
507.00000000	0.00326044
508.00000000	0.00270437
509.00000000	0.00259062
510.00000000	0.00252619
511.00000000	0.00216692
512.00000000	0.00176297
513.00000000	0.00199771
514.00000000	0.00161037
515.00000000	0.00161979
516.00000000	0.00140915
517.00000000	0.00141899
518.00000000	0.00113607
519.00000000	0.00091319
520.00000000	0.00123384
521.00000000	0.00092809
522.00000000	0.00101201
523.00000000	0.00071355
524.00000000	0.00091493
525.00000000	0.00079900
526.00000000	0.00108167
527.00000000	0.00133291
528.00000000	0.00177810
529.00000000	0.00182036
530.00000000	0.00203180
531.00000000	0.00250441
532.00000000	0.00308663
533.00000000	0.00827591
534.00000000	0.01335200
535.00000000	0.01196536
536.00000000	0.01370886
537.00000000	0.02183450
538.00000000	0.03909550
539.00000000	0.05666800
540.00000000	0.09720291
541.00000000	0.19661375
542.00000000	0.32218877
543.00000000	0.31865747
544.00000000	0.30513620
545.00000000	0.31623786
546.00000000	0.52459120
547.00000000	0.47982990
548.00000000	0.33662004
549.00000000	0.25025787
550.00000000	0.17114447
551.00000000	0.12529869
552.00000000	0.09315264
553.00000000	0.06934995
554.00000000	0.05126644
555.00000000	0.03676564
556.00000000	0.02688573
557.00000000	0.01993879
558.00000000	0.01555287
559.00000000	0.01258329
560.00000000	0.01011141
561.00000000	0.00902990
562.00000000	0.00811675
563.00000000	0.00783945
564.00000000	0.00719514
565.00000000	0.00670328
566.00000000	0.00537618
