#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.3125	0.2715	0.0970
#xyY coordinates: 0.4589	0.3987	0.2715
#sRGB: 139	54	16
#CCT Lindbloom (K):	2620
#CCT McCamy (K):	2611
#CCT Hernández-Andrés (K):	2521
#Melatonin: 0.353
#Chlorophyll a: 0.380
#Chlorophyll b: 0.526
#Beta Carotene: 0.381
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.01261363
304.00000000	0.00122477
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00528419
308.00000000	0.00121700
309.00000000	0.00140232
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00000000
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00891294
325.00000000	0.00149791
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00546623
329.00000000	0.00209028
330.00000000	0.00000000
331.00000000	0.00160420
332.00000000	0.00452169
333.00000000	0.00000000
334.00000000	0.00000000
335.00000000	0.00000000
336.00000000	0.00000000
337.00000000	0.00000000
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00034493
344.00000000	0.00292543
345.00000000	0.00402699
346.00000000	0.00000000
347.00000000	0.00000000
348.00000000	0.00000000
349.00000000	0.00000000
350.00000000	0.00000000
351.00000000	0.00000000
352.00000000	0.00000000
353.00000000	0.00000000
354.00000000	0.00000000
355.00000000	0.00376143
356.00000000	0.00000000
357.00000000	0.00000000
358.00000000	0.00000000
359.00000000	0.00000000
360.00000000	0.00000000
361.00000000	0.00000000
362.00000000	0.00000000
363.00000000	0.00257618
364.00000000	0.00117334
365.00000000	0.00218967
366.00000000	0.00285330
367.00000000	0.00200728
368.00000000	0.00871191
369.00000000	0.00050074
370.00000000	0.00269800
371.00000000	0.00300566
372.00000000	0.00904131
373.00000000	0.00899662
374.00000000	0.00873469
375.00000000	0.01079909
376.00000000	0.00936433
377.00000000	0.01790852
378.00000000	0.01231063
379.00000000	0.00891501
380.00000000	0.00762208
381.00000000	0.00578563
382.00000000	0.00596818
383.00000000	0.01232996
384.00000000	0.01194655
385.00000000	0.01586104
386.00000000	0.01764780
387.00000000	0.01501174
388.00000000	0.01991598
389.00000000	0.02625739
390.00000000	0.02728027
391.00000000	0.02552681
392.00000000	0.03154227
393.00000000	0.02911845
394.00000000	0.02679765
395.00000000	0.03487544
396.00000000	0.03630588
397.00000000	0.03819445
398.00000000	0.03184700
399.00000000	0.03144910
400.00000000	0.03870296
401.00000000	0.04137715
402.00000000	0.03768456
403.00000000	0.04159939
404.00000000	0.05373144
405.00000000	0.08018312
406.00000000	0.08206927
407.00000000	0.06391486
408.00000000	0.05091851
409.00000000	0.05698919
410.00000000	0.07132764
411.00000000	0.08993551
412.00000000	0.09075806
413.00000000	0.08894869
414.00000000	0.09086815
415.00000000	0.08262160
416.00000000	0.07759003
417.00000000	0.09890832
418.00000000	0.10854011
419.00000000	0.10946705
420.00000000	0.11821261
421.00000000	0.12737039
422.00000000	0.14019695
423.00000000	0.14314912
424.00000000	0.11336514
425.00000000	0.09074978
426.00000000	0.08370350
427.00000000	0.08498659
428.00000000	0.07243593
429.00000000	0.07054357
430.00000000	0.06882548
431.00000000	0.07193985
432.00000000	0.07011685
433.00000000	0.06692967
434.00000000	0.06676419
435.00000000	0.08871437
436.00000000	0.16971503
437.00000000	0.17540869
438.00000000	0.13175439
439.00000000	0.09657009
440.00000000	0.09150676
441.00000000	0.09158976
442.00000000	0.08583605
443.00000000	0.08859945
444.00000000	0.09055428
445.00000000	0.08730687
446.00000000	0.08886259
447.00000000	0.08545006
448.00000000	0.08101982
449.00000000	0.07942924
450.00000000	0.07847418
451.00000000	0.08111368
452.00000000	0.08656232
453.00000000	0.08998417
454.00000000	0.08948585
455.00000000	0.08823710
456.00000000	0.09232120
457.00000000	0.09262489
458.00000000	0.09187447
459.00000000	0.09467634
460.00000000	0.09363345
461.00000000	0.09567196
462.00000000	0.08598583
463.00000000	0.08628486
464.00000000	0.08379478
465.00000000	0.08144981
466.00000000	0.07983871
467.00000000	0.08231826
468.00000000	0.09377546
469.00000000	0.09731016
470.00000000	0.09920373
471.00000000	0.10146380
472.00000000	0.09987978
473.00000000	0.10173608
474.00000000	0.09668311
475.00000000	0.08773756
476.00000000	0.07758588
477.00000000	0.07210688
478.00000000	0.07044901
479.00000000	0.06866156
480.00000000	0.06771754
481.00000000	0.06585640
482.00000000	0.06399165
483.00000000	0.06444615
484.00000000	0.06509166
485.00000000	0.06561293
486.00000000	0.06314339
487.00000000	0.06486976
488.00000000	0.06687359
489.00000000	0.07300725
490.00000000	0.07246026
491.00000000	0.07120306
492.00000000	0.07339652
493.00000000	0.07616389
494.00000000	0.08372800
495.00000000	0.08153419
496.00000000	0.08516052
497.00000000	0.09146086
498.00000000	0.11289045
499.00000000	0.12970759
500.00000000	0.12737419
501.00000000	0.11284628
502.00000000	0.09664532
503.00000000	0.09051442
504.00000000	0.08765957
505.00000000	0.08861533
506.00000000	0.08683443
507.00000000	0.08641289
508.00000000	0.08466133
509.00000000	0.07919354
510.00000000	0.07425082
511.00000000	0.07490600
512.00000000	0.07706409
513.00000000	0.08154368
514.00000000	0.08055117
515.00000000	0.08434659
516.00000000	0.09247287
517.00000000	0.09293634
518.00000000	0.09404170
519.00000000	0.09594442
520.00000000	0.09325867
521.00000000	0.09389210
522.00000000	0.09892575
523.00000000	0.10299571
524.00000000	0.10093631
525.00000000	0.09412539
526.00000000	0.08857340
527.00000000	0.08440889
528.00000000	0.08589990
529.00000000	0.08531236
530.00000000	0.09790908
531.00000000	0.12089249
532.00000000	0.12528374
533.00000000	0.14215627
534.00000000	0.21625887
535.00000000	0.38384653
536.00000000	0.53072378
537.00000000	0.72465959
538.00000000	0.78252793
539.00000000	0.78317016
540.00000000	0.66475860
541.00000000	0.50954559
542.00000000	0.33477793
543.00000000	0.22452629
544.00000000	0.15892406
545.00000000	0.14386486
546.00000000	0.27022618
547.00000000	0.33621424
548.00000000	0.27530435
549.00000000	0.19545512
550.00000000	0.12998212
551.00000000	0.11089318
552.00000000	0.10620912
553.00000000	0.10731672
554.00000000	0.10750204
555.00000000	0.11186740
556.00000000	0.11080828
557.00000000	0.10976142
558.00000000	0.10489652
559.00000000	0.10421598
560.00000000	0.10462993
561.00000000	0.10146069
562.00000000	0.10810528
563.00000000	0.12359861
564.00000000	0.14047200
565.00000000	0.14799159
566.00000000	0.16437183
567.00000000	0.19802854
