#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/25
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.3198	0.2928	0.0930
#xyY coordinates: 0.4532	0.4150	0.2928
#sRGB: 138	62	14
#CCT Lindbloom (K):	2829
#CCT McCamy (K):	2831
#CCT Hernández-Andrés (K):	2756
#Melatonin: 0.321
#Chlorophyll a: 0.369
#Chlorophyll b: 0.477
#Beta Carotene: 0.370
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: New street lamps in Gregorio Marañón and Ronda streets in Almería.
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00012676
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.01392042
309.00000000	0.00177477
310.00000000	0.00799592
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000108
314.00000000	0.01035840
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00011740
320.00000000	0.00000000
321.00000000	0.00188602
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00280486
325.00000000	0.00144693
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00188637
334.00000000	0.00000000
335.00000000	0.00000000
336.00000000	0.00003586
337.00000000	0.00078147
338.00000000	0.00123267
339.00000000	0.00005772
340.00000000	0.00126300
341.00000000	0.00130846
342.00000000	0.00045977
343.00000000	0.00271131
344.00000000	0.00000000
345.00000000	0.00120546
346.00000000	0.00303979
347.00000000	0.00778259
348.00000000	0.00488871
349.00000000	0.00314303
350.00000000	0.00320839
351.00000000	0.01600888
352.00000000	0.03549485
353.00000000	0.02432951
354.00000000	0.03441155
355.00000000	0.03403408
356.00000000	0.03607366
357.00000000	0.03021623
358.00000000	0.03255620
359.00000000	0.03376896
360.00000000	0.02821220
361.00000000	0.03134969
362.00000000	0.02827692
363.00000000	0.02895275
364.00000000	0.03316421
365.00000000	0.05934356
366.00000000	0.08944976
367.00000000	0.06323477
368.00000000	0.05366396
369.00000000	0.04182095
370.00000000	0.03927140
371.00000000	0.03399223
372.00000000	0.03187456
373.00000000	0.02939820
374.00000000	0.02986663
375.00000000	0.02743028
376.00000000	0.02553723
377.00000000	0.02732534
378.00000000	0.02131680
379.00000000	0.00237026
380.00000000	0.00388340
381.00000000	0.00462561
382.00000000	0.00145279
383.00000000	0.00570677
384.00000000	0.01167811
385.00000000	0.01103084
386.00000000	0.01017189
387.00000000	0.01088411
388.00000000	0.01264319
389.00000000	0.01011410
390.00000000	0.01567299
391.00000000	0.01682272
392.00000000	0.02051618
393.00000000	0.01912882
394.00000000	0.01973374
395.00000000	0.02250940
396.00000000	0.02155566
397.00000000	0.02685192
398.00000000	0.02291174
399.00000000	0.02102836
400.00000000	0.02556573
401.00000000	0.02257191
402.00000000	0.02636349
403.00000000	0.02510014
404.00000000	0.03261894
405.00000000	0.03850601
406.00000000	0.04851372
407.00000000	0.03782058
408.00000000	0.04011784
409.00000000	0.04121021
410.00000000	0.04414397
411.00000000	0.05291375
412.00000000	0.05201554
413.00000000	0.05754643
414.00000000	0.06460873
415.00000000	0.06216485
416.00000000	0.05952948
417.00000000	0.06895018
418.00000000	0.07441254
419.00000000	0.08454581
420.00000000	0.09200644
421.00000000	0.09843136
422.00000000	0.10234400
423.00000000	0.12222878
424.00000000	0.11037531
425.00000000	0.10027818
426.00000000	0.08707639
427.00000000	0.07788586
428.00000000	0.07366283
429.00000000	0.07631603
430.00000000	0.07681181
431.00000000	0.08237112
432.00000000	0.07633741
433.00000000	0.06823276
434.00000000	0.06655677
435.00000000	0.07305023
436.00000000	0.13342276
437.00000000	0.13885303
438.00000000	0.10607847
439.00000000	0.08591668
440.00000000	0.07630442
441.00000000	0.07327162
442.00000000	0.07212227
443.00000000	0.07107054
444.00000000	0.07578082
445.00000000	0.08051840
446.00000000	0.08469547
447.00000000	0.07715707
448.00000000	0.07380268
449.00000000	0.07667445
450.00000000	0.06904323
451.00000000	0.07422295
452.00000000	0.07198935
453.00000000	0.07606490
454.00000000	0.08233765
455.00000000	0.07962396
456.00000000	0.07996585
457.00000000	0.08764898
458.00000000	0.09257832
459.00000000	0.10491137
460.00000000	0.09930135
461.00000000	0.09718124
462.00000000	0.10119609
463.00000000	0.08756750
464.00000000	0.08501356
465.00000000	0.08265369
466.00000000	0.08022969
467.00000000	0.08389351
468.00000000	0.08858251
469.00000000	0.09322128
470.00000000	0.08960281
471.00000000	0.08893384
472.00000000	0.09284737
473.00000000	0.10306764
474.00000000	0.09652362
475.00000000	0.08946729
476.00000000	0.07913390
477.00000000	0.07892605
478.00000000	0.08826717
479.00000000	0.08469159
480.00000000	0.08635116
481.00000000	0.08583241
482.00000000	0.08725942
483.00000000	0.08844126
484.00000000	0.08298480
485.00000000	0.07508114
486.00000000	0.07427007
487.00000000	0.07232925
488.00000000	0.08285210
489.00000000	0.09376157
490.00000000	0.08873923
491.00000000	0.08869294
492.00000000	0.09301014
493.00000000	0.08615502
494.00000000	0.09409604
495.00000000	0.08912812
496.00000000	0.08828965
497.00000000	0.09481105
498.00000000	0.11037022
499.00000000	0.12561721
500.00000000	0.11968552
501.00000000	0.11057869
502.00000000	0.10642793
503.00000000	0.10971741
504.00000000	0.10880347
505.00000000	0.12068711
506.00000000	0.10904370
507.00000000	0.10618589
508.00000000	0.10707558
509.00000000	0.09556120
510.00000000	0.09247216
511.00000000	0.09588211
512.00000000	0.10730864
513.00000000	0.11110578
514.00000000	0.10610418
515.00000000	0.10818554
516.00000000	0.11336421
517.00000000	0.11366058
518.00000000	0.11522510
519.00000000	0.11582026
520.00000000	0.11289738
521.00000000	0.11524717
522.00000000	0.11970422
523.00000000	0.12312297
524.00000000	0.12295443
525.00000000	0.10938416
526.00000000	0.11345267
527.00000000	0.12496221
528.00000000	0.11672417
529.00000000	0.11314020
530.00000000	0.12610389
531.00000000	0.14833967
532.00000000	0.14902724
533.00000000	0.18402297
534.00000000	0.30337744
535.00000000	0.48569784
536.00000000	0.60430353
537.00000000	0.84911880
538.00000000	0.90065583
539.00000000	0.89859759
540.00000000	0.77969997
541.00000000	0.58771573
542.00000000	0.40349436
543.00000000	0.28429627
544.00000000	0.19599802
545.00000000	0.18479651
546.00000000	0.35193419
547.00000000	0.36043958
548.00000000	0.24059890
549.00000000	0.20610881
550.00000000	0.15321958
551.00000000	0.12441974
552.00000000	0.11600588
553.00000000	0.12028914
554.00000000	0.12094310
555.00000000	0.13141632
556.00000000	0.12591932
557.00000000	0.12231624
558.00000000	0.12060407
559.00000000	0.13543741
560.00000000	0.13758130
561.00000000	0.13072053
562.00000000	0.12613731
563.00000000	0.13963669
564.00000000	0.16378022
565.00000000	0.17121816
