#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.2352	0.2642	0.2004
#xyY coordinates: 0.3361	0.3776	0.2642
#sRGB: 65	70	44
#CCT Lindbloom (K):	5381
#CCT McCamy (K):	5377
#CCT Hernández-Andrés (K):	5351
#Melatonin: 0.726
#Chlorophyll a: 0.404
#Chlorophyll b: 0.736
#Beta Carotene: 0.407
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00000000
305.00000000	0.00423509
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00703940
315.00000000	0.01764178
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00000000
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00806719
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00212458
329.00000000	0.01096359
330.00000000	0.00038914
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00000000
335.00000000	0.00000000
336.00000000	0.00000000
337.00000000	0.00000000
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00172644
344.00000000	0.00633752
345.00000000	0.00713565
346.00000000	0.00000000
347.00000000	0.00185569
348.00000000	0.00735653
349.00000000	0.00000000
350.00000000	0.00637191
351.00000000	0.01164563
352.00000000	0.02049272
353.00000000	0.03789723
354.00000000	0.03658094
355.00000000	0.02953646
356.00000000	0.02266185
357.00000000	0.02619875
358.00000000	0.02667859
359.00000000	0.03310013
360.00000000	0.04219187
361.00000000	0.04427745
362.00000000	0.03522032
363.00000000	0.04775964
364.00000000	0.06102877
365.00000000	0.09182405
366.00000000	0.10441023
367.00000000	0.10777563
368.00000000	0.10802744
369.00000000	0.10494893
370.00000000	0.10151728
371.00000000	0.09558783
372.00000000	0.09233714
373.00000000	0.09112863
374.00000000	0.09811518
375.00000000	0.09225797
376.00000000	0.09131466
377.00000000	0.08625559
378.00000000	0.04838259
379.00000000	0.02949537
380.00000000	0.02063905
381.00000000	0.02231448
382.00000000	0.02035331
383.00000000	0.02353269
384.00000000	0.03235692
385.00000000	0.04194190
386.00000000	0.03911982
387.00000000	0.04344839
388.00000000	0.05016027
389.00000000	0.06280369
390.00000000	0.06183106
391.00000000	0.05810744
392.00000000	0.06099300
393.00000000	0.06404682
394.00000000	0.06019648
395.00000000	0.07030286
396.00000000	0.07568506
397.00000000	0.07708422
398.00000000	0.08194918
399.00000000	0.08297304
400.00000000	0.10436683
401.00000000	0.09040528
402.00000000	0.09553844
403.00000000	0.11148079
404.00000000	0.11951520
405.00000000	0.15539702
406.00000000	0.15685019
407.00000000	0.13505894
408.00000000	0.14092169
409.00000000	0.14808111
410.00000000	0.17910812
411.00000000	0.21516051
412.00000000	0.20016217
413.00000000	0.20960843
414.00000000	0.22768044
415.00000000	0.20317005
416.00000000	0.18309463
417.00000000	0.22050809
418.00000000	0.23277898
419.00000000	0.24604903
420.00000000	0.28250418
421.00000000	0.29060391
422.00000000	0.32536401
423.00000000	0.31222436
424.00000000	0.24834003
425.00000000	0.21549564
426.00000000	0.19299974
427.00000000	0.18272511
428.00000000	0.16995337
429.00000000	0.16244519
430.00000000	0.16294951
431.00000000	0.16870816
432.00000000	0.16541569
433.00000000	0.14488489
434.00000000	0.13238873
435.00000000	0.16591308
436.00000000	0.24015351
437.00000000	0.22084922
438.00000000	0.18485408
439.00000000	0.18135088
440.00000000	0.17490558
441.00000000	0.16916447
442.00000000	0.15814848
443.00000000	0.14820321
444.00000000	0.14192501
445.00000000	0.16201220
446.00000000	0.16203390
447.00000000	0.15666046
448.00000000	0.15723840
449.00000000	0.15879636
450.00000000	0.15555005
451.00000000	0.16019182
452.00000000	0.17658447
453.00000000	0.17645153
454.00000000	0.18320588
455.00000000	0.17836908
456.00000000	0.19794595
457.00000000	0.19927979
458.00000000	0.18794759
459.00000000	0.19514418
460.00000000	0.20095453
461.00000000	0.21684402
462.00000000	0.22661503
463.00000000	0.21295560
464.00000000	0.21041279
465.00000000	0.21142766
466.00000000	0.18991985
467.00000000	0.18576485
468.00000000	0.20875698
469.00000000	0.19575351
470.00000000	0.18498933
471.00000000	0.17020656
472.00000000	0.19215845
473.00000000	0.20255079
474.00000000	0.20201555
475.00000000	0.19279294
476.00000000	0.19078468
477.00000000	0.17637236
478.00000000	0.19862891
479.00000000	0.19644178
480.00000000	0.18952332
481.00000000	0.18562636
482.00000000	0.18106099
483.00000000	0.18369289
484.00000000	0.18035287
485.00000000	0.17210796
486.00000000	0.15857132
487.00000000	0.15643058
488.00000000	0.17134375
489.00000000	0.19337965
490.00000000	0.18158261
491.00000000	0.17218528
492.00000000	0.17367745
493.00000000	0.17879538
494.00000000	0.18964057
495.00000000	0.17893294
496.00000000	0.19047171
497.00000000	0.17605061
498.00000000	0.18718777
499.00000000	0.17825298
500.00000000	0.18781211
501.00000000	0.17463946
502.00000000	0.18413073
503.00000000	0.20619709
504.00000000	0.23043674
505.00000000	0.24807483
506.00000000	0.23107262
507.00000000	0.24068968
508.00000000	0.22722829
509.00000000	0.20131366
510.00000000	0.17582327
511.00000000	0.18407418
512.00000000	0.20583819
513.00000000	0.21723362
514.00000000	0.20148562
515.00000000	0.19148818
516.00000000	0.18855531
517.00000000	0.19381703
518.00000000	0.20718657
519.00000000	0.21878627
520.00000000	0.18835589
521.00000000	0.18328043
522.00000000	0.19388304
523.00000000	0.20034912
524.00000000	0.19507240
525.00000000	0.17300326
526.00000000	0.17791900
527.00000000	0.17543436
528.00000000	0.18442570
529.00000000	0.18740473
530.00000000	0.21646157
531.00000000	0.25265429
532.00000000	0.23250893
533.00000000	0.24669622
534.00000000	0.30999522
535.00000000	0.67409798
536.00000000	1.00000000
537.00000000	0.94283310
538.00000000	0.85983882
539.00000000	0.67452359
540.00000000	0.51105499
541.00000000	0.40552489
542.00000000	0.30846173
543.00000000	0.25944765
544.00000000	0.21243305
545.00000000	0.22349636
546.00000000	0.30776146
547.00000000	0.30743071
548.00000000	0.26441186
549.00000000	0.22577281
550.00000000	0.19716259
551.00000000	0.18433984
552.00000000	0.17712479
553.00000000	0.18234866
554.00000000	0.17854103
555.00000000	0.19840203
556.00000000	0.19683069
557.00000000	0.20160864
558.00000000	0.18845606
559.00000000	0.18517606
560.00000000	0.17494897
561.00000000	0.18227157
562.00000000	0.18667100
563.00000000	0.22366369
564.00000000	0.25543090
565.00000000	0.25951643
566.00000000	0.25195863
567.00000000	0.24014128
