# Ceramic Metal Halide
#
# average spectrum made of:
# CMH_Ceramic_Metal_Halide_2378K_SFH_1_Mayo_cor
# CMH_Ceramic_Metal_Halide_2586K_SFH_Panos_H_cor
# CMH_Ceramic_Metal_Halide_2620K_SFH_Panos_L_cor
# CMH_Ceramic_Metal_Halide_2691K_SFH_Police_cor
# CMH_Ceramic_Metal_Halide_2829K_Almeria_Calle_Gregorio_Maranon_cor
# CMH_Ceramic_Metal_Halide_2832K_SFH_Eugenia_cor
# CMH_Ceramic_Metal_Halide_5381K_SFH_Saramago_cor
# CMH_Ceramic_Metal_Halide_6545K_SFH_P_General_cor
#
# W	S
300	0.000335719
301	0.000147365
302	0.00034882
303	0.00178643
304	0.000500081
305	0.001173429
306	0.000929423
307	0.001009679
308	0.001892178
309	0.000397136
310	0.00169186
311	0.000437949
312	0
313	0.000000135
314	0.002304019
315	0.002781319
316	0.000742726
317	0
318	0.000167049
319	0.00073033
320	2.76713E-05
321	0.000485703
322	0.000166845
323	0.000914316
324	0.003180811
325	0.002636635
326	0.000871903
327	0
328	0.001835933
329	0.002554425
330	0.001328756
331	0.000896836
332	0.00341456
333	0.00025944
334	0.000294735
335	0.000114695
336	0.00218164
337	0.002009949
338	0.001527768
339	0.002297711
340	0.002723891
341	0.002968475
342	0.004944034
343	0.006209209
344	0.006816958
345	0.009056583
346	0.008653461
347	0.008883734
348	0.010025105
349	0.01105675
350	0.015103965
351	0.027139253
352	0.035364125
353	0.038637101
354	0.041252439
355	0.039266209
356	0.033734464
357	0.034753251
358	0.036675926
359	0.039615898
360	0.039313633
361	0.042441115
362	0.040778144
363	0.042552295
364	0.051907446
365	0.077318821
366	0.079482275
367	0.071473986
368	0.066000051
369	0.060856908
370	0.060187116
371	0.055510861
372	0.051901551
373	0.051141929
374	0.052268205
375	0.05236385
376	0.050869025
377	0.047497163
378	0.027412318
379	0.014219258
380	0.011306388
381	0.011016403
382	0.011617084
383	0.017855976
384	0.024456605
385	0.024795361
386	0.022373166
387	0.02683165
388	0.030814803
389	0.032537723
390	0.032734021
391	0.03212363
392	0.037209779
393	0.038299295
394	0.039461509
395	0.044212955
396	0.047881883
397	0.049489469
398	0.048986521
399	0.049144884
400	0.054828193
401	0.055062691
402	0.055403143
403	0.062370791
404	0.071322211
405	0.090201824
406	0.088037341
407	0.075010078
408	0.07682643
409	0.079950983
410	0.090141136
411	0.105422219
412	0.09880446
413	0.109180854
414	0.116106543
415	0.105519914
416	0.103109113
417	0.12607448
418	0.13339829
419	0.141608374
420	0.151616758
421	0.15744862
422	0.174276726
423	0.176126843
424	0.145496339
425	0.128910376
426	0.119518536
427	0.111859386
428	0.105545225
429	0.10612094
430	0.106932824
431	0.112365073
432	0.107596669
433	0.098874266
434	0.093761846
435	0.114162958
436	0.179760371
437	0.164848501
438	0.131359333
439	0.114692055
440	0.109657696
441	0.110798849
442	0.10591024
443	0.104998083
444	0.10644383
445	0.113709685
446	0.116150488
447	0.109501223
448	0.10870865
449	0.112357839
450	0.107223038
451	0.108049221
452	0.112706941
453	0.116916585
454	0.117492283
455	0.116441873
456	0.124770885
457	0.127754275
458	0.126292208
459	0.134828888
460	0.13164206
461	0.131765244
462	0.133455256
463	0.123385185
464	0.126037649
465	0.121724786
466	0.116200556
467	0.125193043
468	0.13705278
469	0.135507841
470	0.134214653
471	0.131734389
472	0.135296566
473	0.141906939
474	0.135411175
475	0.120713178
476	0.111864948
477	0.110272804
478	0.121353529
479	0.120125335
480	0.116140724
481	0.113883971
482	0.119216799
483	0.120825254
484	0.11188553
485	0.103739156
486	0.100524501
487	0.100396458
488	0.111517503
489	0.120078109
490	0.116377495
491	0.112800695
492	0.116833675
493	0.113827214
494	0.121497233
495	0.117340578
496	0.119819691
497	0.122810369
498	0.142231265
499	0.15324376
500	0.151640501
501	0.13861814
502	0.132585615
503	0.135008698
504	0.14263786
505	0.149081054
506	0.137901414
507	0.134787975
508	0.127109041
509	0.11525697
510	0.110752816
511	0.118674288
512	0.132081786
513	0.13512342
514	0.126968919
515	0.129931863
516	0.139327479
517	0.137726449
518	0.137769941
519	0.13838363
520	0.13029661
521	0.12777092
522	0.133039919
523	0.138048386
524	0.133675733
525	0.119278566
526	0.12479251
527	0.134103449
528	0.131787094
529	0.125336576
530	0.138805899
531	0.158472946
532	0.16198168
533	0.18546363
534	0.290171998
535	0.473710031
536	0.611974018
537	0.721897103
538	0.718060361
539	0.672448084
540	0.566313088
541	0.429973385
542	0.305639676
543	0.231697948
