#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1250	0.1264	0.0725
#xyY coordinates: 0.3859	0.3904	0.1264
#sRGB: 44	30	15
#CCT Lindbloom (K):	3952
#CCT McCamy (K):	3961
#CCT Hernández-Andrés (K):	3948
#Melatonin: 0.471
#Chlorophyll a: 0.050
#Chlorophyll b: 0.513
#Beta Carotene: 0.050
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00469626
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.01325837
318.00000000	0.00853284
319.00000000	0.00000000
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.01286220
325.00000000	0.00000000
326.00000000	0.00533823
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00363694
333.00000000	0.00000000
334.00000000	0.00000000
335.00000000	0.00000000
336.00000000	0.00000000
337.00000000	0.00000000
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00181026
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00553905
344.00000000	0.00000000
345.00000000	0.00666571
346.00000000	0.00122421
347.00000000	0.00000000
348.00000000	0.00000000
349.00000000	0.00000000
350.00000000	0.00000000
351.00000000	0.00000000
352.00000000	0.00000000
353.00000000	0.00000000
354.00000000	0.00000000
355.00000000	0.00000000
356.00000000	0.00000000
357.00000000	0.00000000
358.00000000	0.00000000
359.00000000	0.00313917
360.00000000	0.00000000
361.00000000	0.00000000
362.00000000	0.00000000
363.00000000	0.00000000
364.00000000	0.00000000
365.00000000	0.00091013
366.00000000	0.00000000
367.00000000	0.00025864
368.00000000	0.00014395
369.00000000	0.00000000
370.00000000	0.00000000
371.00000000	0.00000000
372.00000000	0.00000000
373.00000000	0.00000000
374.00000000	0.00000000
375.00000000	0.00000000
376.00000000	0.00000000
377.00000000	0.00039641
378.00000000	0.00030671
379.00000000	0.00000000
380.00000000	0.00000000
381.00000000	0.00000000
382.00000000	0.00000000
383.00000000	0.00000000
384.00000000	0.00000000
385.00000000	0.00239275
386.00000000	0.00000000
387.00000000	0.00000000
388.00000000	0.00114403
389.00000000	0.00019154
390.00000000	0.00000000
391.00000000	0.00036239
392.00000000	0.00000000
393.00000000	0.00000000
394.00000000	0.00000000
395.00000000	0.00000000
396.00000000	0.00000000
397.00000000	0.00000000
398.00000000	0.00000000
399.00000000	0.00000000
400.00000000	0.00061865
401.00000000	0.00136888
402.00000000	0.00555452
403.00000000	0.01435457
404.00000000	0.15992252
405.00000000	0.34131478
406.00000000	0.15183844
407.00000000	0.07062072
408.00000000	0.05402522
409.00000000	0.03089440
410.00000000	0.01655934
411.00000000	0.00649772
412.00000000	0.01206557
413.00000000	0.01174054
414.00000000	0.01046136
415.00000000	0.01334236
416.00000000	0.00887833
417.00000000	0.01745067
418.00000000	0.01629760
419.00000000	0.01692672
420.00000000	0.02194873
421.00000000	0.01764507
422.00000000	0.02050632
423.00000000	0.02387701
424.00000000	0.02348940
425.00000000	0.02391936
426.00000000	0.02434623
427.00000000	0.02832867
428.00000000	0.02963878
429.00000000	0.03167318
430.00000000	0.03509193
431.00000000	0.03422273
432.00000000	0.03248123
433.00000000	0.04074472
434.00000000	0.05391862
435.00000000	0.25405715
436.00000000	0.85774706
437.00000000	0.50506983
438.00000000	0.24633950
439.00000000	0.08594467
440.00000000	0.04913146
441.00000000	0.04525943
442.00000000	0.04223590
443.00000000	0.04457297
444.00000000	0.04271417
445.00000000	0.04395694
446.00000000	0.04185805
447.00000000	0.04115160
448.00000000	0.04202985
449.00000000	0.04013559
450.00000000	0.04223900
451.00000000	0.04246813
452.00000000	0.04252048
453.00000000	0.03968279
454.00000000	0.04144356
455.00000000	0.04225994
456.00000000	0.03734429
457.00000000	0.03538198
458.00000000	0.03581099
459.00000000	0.04008967
460.00000000	0.03706019
461.00000000	0.04140525
462.00000000	0.03867344
463.00000000	0.03621478
464.00000000	0.03503887
465.00000000	0.03698547
466.00000000	0.03255880
467.00000000	0.03526872
468.00000000	0.03315960
469.00000000	0.03086989
470.00000000	0.02912601
471.00000000	0.02848999
472.00000000	0.02580458
473.00000000	0.03066835
474.00000000	0.02611438
475.00000000	0.02764244
476.00000000	0.02785540
477.00000000	0.02391460
478.00000000	0.02526540
479.00000000	0.02665427
480.00000000	0.02738427
481.00000000	0.03412850
482.00000000	0.03593924
483.00000000	0.05073305
484.00000000	0.07253830
485.00000000	0.09562629
486.00000000	0.12562174
487.00000000	0.14595960
488.00000000	0.14860647
489.00000000	0.13722189
490.00000000	0.12687475
491.00000000	0.11113940
492.00000000	0.10518276
493.00000000	0.09444967
494.00000000	0.08277885
495.00000000	0.07514519
496.00000000	0.06875145
497.00000000	0.06027738
498.00000000	0.05333971
499.00000000	0.04630757
500.00000000	0.04071950
501.00000000	0.03366452
502.00000000	0.02722795
503.00000000	0.02217334
504.00000000	0.02018177
505.00000000	0.01675754
506.00000000	0.01401241
507.00000000	0.01094867
508.00000000	0.00908534
509.00000000	0.01177528
510.00000000	0.01185237
511.00000000	0.00875222
512.00000000	0.00878720
513.00000000	0.00762795
514.00000000	0.00977085
515.00000000	0.00961881
516.00000000	0.00724177
517.00000000	0.00796749
518.00000000	0.00642039
519.00000000	0.00587979
520.00000000	0.00575701
521.00000000	0.00617222
522.00000000	0.00409570
523.00000000	0.00386251
524.00000000	0.00488804
525.00000000	0.00521379
526.00000000	0.00551692
527.00000000	0.00624526
528.00000000	0.00567468
529.00000000	0.00827325
530.00000000	0.00655578
531.00000000	0.00828800
532.00000000	0.00920526
533.00000000	0.01659693
534.00000000	0.02541340
535.00000000	0.02382109
536.00000000	0.02755464
537.00000000	0.04218451
538.00000000	0.06945576
539.00000000	0.10068042
540.00000000	0.16559720
541.00000000	0.31189325
542.00000000	0.51843694
543.00000000	0.54876741
544.00000000	0.55764075
545.00000000	0.57649956
546.00000000	1.00000000
547.00000000	0.91519436
548.00000000	0.60690927
549.00000000	0.47403957
550.00000000	0.31178570
551.00000000	0.22468535
552.00000000	0.17171707
553.00000000	0.12936314
554.00000000	0.09712866
555.00000000	0.07268225
556.00000000	0.05371685
557.00000000	0.03865892
558.00000000	0.03128938
559.00000000	0.02262615
560.00000000	0.02140646
561.00000000	0.01837888
562.00000000	0.01617221
563.00000000	0.01414780
564.00000000	0.01151663
565.00000000	0.01158706
566.00000000	0.01103670
567.00000000	0.01022841
