#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/26
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1893	0.1404	0.0205
#xyY coordinates: 0.5406	0.4009	0.1404
#sRGB: 99	21	1
#CCT Lindbloom (K):	1819
#CCT McCamy (K):	1809
#CCT Hernández-Andrés (K):	1413
#Melatonin: 0.138
#Chlorophyll a: 0.228
#Chlorophyll b: 0.367
#Beta Carotene: 0.229
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Riba-Roja de Turia streetlamps. Plaça de l'Ajuntament
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00000000
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00000000
335.00000000	0.00000000
336.00000000	0.00000000
337.00000000	0.00000000
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00120621
344.00000000	0.00000000
345.00000000	0.00000000
346.00000000	0.00000000
347.00000000	0.00000000
348.00000000	0.00000000
349.00000000	0.00000000
350.00000000	0.00000000
351.00000000	0.00005073
352.00000000	0.00000000
353.00000000	0.00020846
354.00000000	0.00000000
355.00000000	0.00004442
356.00000000	0.00010442
357.00000000	0.00000000
358.00000000	0.00000000
359.00000000	0.00017958
360.00000000	0.00005512
361.00000000	0.00017030
362.00000000	0.00017903
363.00000000	0.00000040
364.00000000	0.00085770
365.00000000	0.00078525
366.00000000	0.00011906
367.00000000	0.00128866
368.00000000	0.00007301
369.00000000	0.00000000
370.00000000	0.00042769
371.00000000	0.00178262
372.00000000	0.00137836
373.00000000	0.00186514
374.00000000	0.00213096
375.00000000	0.00026636
376.00000000	0.00116728
377.00000000	0.00087125
378.00000000	0.00173221
379.00000000	0.00071823
380.00000000	0.00021558
381.00000000	0.00151765
382.00000000	0.00133289
383.00000000	0.00103131
384.00000000	0.00089582
385.00000000	0.00116240
386.00000000	0.00162816
387.00000000	0.00202927
388.00000000	0.00116911
389.00000000	0.00156234
390.00000000	0.00168903
391.00000000	0.00198280
392.00000000	0.00300086
393.00000000	0.00240673
394.00000000	0.00315937
395.00000000	0.00306491
396.00000000	0.00349121
397.00000000	0.00411090
398.00000000	0.00468341
399.00000000	0.00370277
400.00000000	0.00406918
401.00000000	0.00416967
402.00000000	0.00458991
403.00000000	0.00387650
404.00000000	0.00478735
405.00000000	0.00760351
406.00000000	0.00750804
407.00000000	0.00604015
408.00000000	0.00531171
409.00000000	0.00660855
410.00000000	0.00575962
411.00000000	0.00691966
412.00000000	0.00735313
413.00000000	0.00650532
414.00000000	0.00666387
415.00000000	0.00730231
416.00000000	0.00751398
417.00000000	0.00821371
418.00000000	0.00886252
419.00000000	0.00810038
420.00000000	0.00807674
421.00000000	0.00965742
422.00000000	0.01028458
423.00000000	0.00947859
424.00000000	0.00992190
425.00000000	0.01044557
426.00000000	0.01010997
427.00000000	0.01165130
428.00000000	0.01203336
429.00000000	0.01212075
430.00000000	0.01149903
431.00000000	0.01303959
432.00000000	0.01391439
433.00000000	0.01363435
434.00000000	0.01386896
435.00000000	0.01418059
436.00000000	0.01732762
437.00000000	0.01861569
438.00000000	0.01714530
439.00000000	0.01812150
440.00000000	0.01722343
441.00000000	0.01702350
442.00000000	0.01603108
443.00000000	0.01438103
444.00000000	0.01321137
445.00000000	0.01338617
446.00000000	0.01468685
447.00000000	0.01649491
448.00000000	0.01892835
449.00000000	0.02403925
450.00000000	0.02882728
451.00000000	0.03140792
452.00000000	0.02760863
453.00000000	0.02524249
454.00000000	0.02143097
455.00000000	0.02209135
456.00000000	0.01990540
457.00000000	0.01615769
458.00000000	0.01350653
459.00000000	0.01268238
460.00000000	0.01309877
461.00000000	0.01300437
462.00000000	0.01442653
463.00000000	0.01695184
464.00000000	0.01989313
465.00000000	0.02475219
466.00000000	0.03661395
467.00000000	0.05943027
468.00000000	0.06457943
469.00000000	0.05210358
470.00000000	0.04011820
471.00000000	0.03228445
472.00000000	0.02653398
473.00000000	0.02062501
474.00000000	0.01707798
475.00000000	0.01958793
476.00000000	0.02017638
477.00000000	0.01258515
478.00000000	0.00756294
479.00000000	0.00535673
480.00000000	0.00421725
481.00000000	0.00371503
482.00000000	0.00364567
483.00000000	0.00375968
484.00000000	0.00396065
485.00000000	0.00366342
486.00000000	0.00439312
487.00000000	0.00433193
488.00000000	0.00444541
489.00000000	0.00566010
490.00000000	0.00607051
491.00000000	0.00932006
492.00000000	0.00971549
493.00000000	0.00966155
494.00000000	0.01010780
495.00000000	0.01318190
496.00000000	0.02226595
497.00000000	0.05446993
498.00000000	0.13912883
499.00000000	0.18348569
500.00000000	0.12694085
501.00000000	0.07350229
502.00000000	0.03999362
503.00000000	0.02146809
504.00000000	0.01339509
505.00000000	0.01006384
506.00000000	0.00812304
507.00000000	0.00742370
508.00000000	0.00685839
509.00000000	0.00618855
510.00000000	0.00632048
511.00000000	0.00602800
512.00000000	0.00614098
513.00000000	0.00659537
514.00000000	0.00963059
515.00000000	0.03426678
516.00000000	0.04716502
517.00000000	0.02679810
518.00000000	0.01641462
519.00000000	0.00998712
520.00000000	0.00720811
521.00000000	0.00609932
522.00000000	0.00589556
523.00000000	0.00611537
524.00000000	0.00567228
525.00000000	0.00652342
526.00000000	0.00614045
527.00000000	0.00609720
528.00000000	0.00620089
529.00000000	0.00626471
530.00000000	0.00684091
531.00000000	0.00633303
532.00000000	0.00666979
533.00000000	0.00656582
534.00000000	0.00677498
535.00000000	0.00671629
536.00000000	0.00722001
537.00000000	0.00758873
538.00000000	0.00793194
539.00000000	0.00807041
540.00000000	0.00868175
541.00000000	0.00863265
542.00000000	0.00890114
543.00000000	0.00906567
544.00000000	0.00977647
545.00000000	0.01117859
546.00000000	0.01775962
547.00000000	0.01957873
548.00000000	0.02023574
549.00000000	0.02459463
550.00000000	0.03162739
551.00000000	0.03895441
552.00000000	0.04473322
553.00000000	0.04797905
554.00000000	0.04907740
555.00000000	0.04660261
556.00000000	0.04774001
557.00000000	0.04879573
558.00000000	0.05141350
559.00000000	0.05383261
560.00000000	0.05582455
561.00000000	0.06041360
562.00000000	0.06283853
563.00000000	0.06721996
564.00000000	0.07379673
565.00000000	0.08395602
