#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/26
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1707	0.1300	0.0126
#xyY coordinates: 0.5449	0.4150	0.1300
#sRGB: 89	20	0
#CCT Lindbloom (K):	1869
#CCT McCamy (K):	1864
#CCT Hernández-Andrés (K):	1503
#Melatonin: 0.101
#Chlorophyll a: 0.184
#Chlorophyll b: 0.310
#Beta Carotene: 0.185
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Riba-Roja de Turia streetlamps. Near river Turia.
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00030300
303.00000000	0.00000000
304.00000000	0.00041568
305.00000000	0.00311529
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00010947
311.00000000	0.00013758
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00002532
319.00000000	0.00299535
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00004900
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00016990
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00005485
334.00000000	0.00081069
335.00000000	0.00002416
336.00000000	0.00000000
337.00000000	0.00000000
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00000000
344.00000000	0.00000000
345.00000000	0.00000681
346.00000000	0.00000000
347.00000000	0.00000000
348.00000000	0.00000000
349.00000000	0.00000000
350.00000000	0.00000000
351.00000000	0.00007656
352.00000000	0.00000000
353.00000000	0.00000000
354.00000000	0.00000103
355.00000000	0.00000000
356.00000000	0.00000000
357.00000000	0.00000000
358.00000000	0.00000000
359.00000000	0.00010056
360.00000000	0.00028954
361.00000000	0.00000000
362.00000000	0.00000000
363.00000000	0.00000000
364.00000000	0.00007464
365.00000000	0.00000000
366.00000000	0.00000000
367.00000000	0.00000000
368.00000000	0.00000000
369.00000000	0.00000000
370.00000000	0.00034340
371.00000000	0.00000000
372.00000000	0.00000000
373.00000000	0.00002698
374.00000000	0.00000000
375.00000000	0.00000000
376.00000000	0.00000000
377.00000000	0.00000000
378.00000000	0.00001958
379.00000000	0.00000000
380.00000000	0.00201015
381.00000000	0.00000000
382.00000000	0.00000000
383.00000000	0.00000000
384.00000000	0.00000000
385.00000000	0.00000000
386.00000000	0.00000000
387.00000000	0.00000000
388.00000000	0.00000000
389.00000000	0.00005292
390.00000000	0.00023799
391.00000000	0.00012947
392.00000000	0.00025283
393.00000000	0.00083440
394.00000000	0.00096457
395.00000000	0.00033632
396.00000000	0.00065935
397.00000000	0.00075629
398.00000000	0.00071687
399.00000000	0.00053420
400.00000000	0.00162022
401.00000000	0.00112413
402.00000000	0.00289506
403.00000000	0.00241148
404.00000000	0.00307864
405.00000000	0.00351977
406.00000000	0.00388016
407.00000000	0.00389205
408.00000000	0.00376235
409.00000000	0.00378152
410.00000000	0.00426407
411.00000000	0.00427254
412.00000000	0.00340846
413.00000000	0.00335613
414.00000000	0.00449926
415.00000000	0.00447281
416.00000000	0.00522639
417.00000000	0.00448168
418.00000000	0.00456185
419.00000000	0.00517818
420.00000000	0.00497876
421.00000000	0.00520454
422.00000000	0.00626454
423.00000000	0.00584032
424.00000000	0.00622299
425.00000000	0.00646502
426.00000000	0.00625442
427.00000000	0.00696786
428.00000000	0.00636742
429.00000000	0.00712192
430.00000000	0.00675914
431.00000000	0.00736591
432.00000000	0.00786783
433.00000000	0.00824962
434.00000000	0.00851242
435.00000000	0.00816121
436.00000000	0.00988274
437.00000000	0.01076772
438.00000000	0.01030654
439.00000000	0.01059723
440.00000000	0.01093435
441.00000000	0.01172206
442.00000000	0.01000992
443.00000000	0.00995516
444.00000000	0.00779022
445.00000000	0.00759195
446.00000000	0.00712953
447.00000000	0.00919045
448.00000000	0.01100542
449.00000000	0.01284686
450.00000000	0.01639976
451.00000000	0.02086079
452.00000000	0.01871419
453.00000000	0.01657994
454.00000000	0.01290702
455.00000000	0.01308537
456.00000000	0.01196173
457.00000000	0.00863752
458.00000000	0.00768685
459.00000000	0.00670830
460.00000000	0.00666069
461.00000000	0.00635111
462.00000000	0.00706417
463.00000000	0.00859732
464.00000000	0.01048272
465.00000000	0.01253052
466.00000000	0.01830451
467.00000000	0.03383797
468.00000000	0.04346260
469.00000000	0.03644757
470.00000000	0.02806637
471.00000000	0.02071912
472.00000000	0.01477396
473.00000000	0.01174492
474.00000000	0.00951317
475.00000000	0.01009832
476.00000000	0.01416741
477.00000000	0.00996078
478.00000000	0.00682981
479.00000000	0.00484493
480.00000000	0.00274985
481.00000000	0.00231386
482.00000000	0.00208476
483.00000000	0.00250439
484.00000000	0.00259352
485.00000000	0.00242799
486.00000000	0.00328357
487.00000000	0.00299149
488.00000000	0.00291222
489.00000000	0.00293765
490.00000000	0.00385036
491.00000000	0.00483790
492.00000000	0.00667902
493.00000000	0.00669401
494.00000000	0.00651542
495.00000000	0.00782079
496.00000000	0.01145654
497.00000000	0.02509274
498.00000000	0.07134280
499.00000000	0.12617669
500.00000000	0.10537563
501.00000000	0.07265224
502.00000000	0.04294757
503.00000000	0.02113010
504.00000000	0.01132879
505.00000000	0.00761355
506.00000000	0.00586857
507.00000000	0.00469251
508.00000000	0.00434423
509.00000000	0.00404767
510.00000000	0.00410075
511.00000000	0.00352942
512.00000000	0.00379891
513.00000000	0.00389633
514.00000000	0.00465191
515.00000000	0.01437048
516.00000000	0.03322996
517.00000000	0.02326403
518.00000000	0.01634590
519.00000000	0.01008221
520.00000000	0.00572672
521.00000000	0.00405576
522.00000000	0.00378386
523.00000000	0.00385202
524.00000000	0.00380466
525.00000000	0.00387307
526.00000000	0.00378997
527.00000000	0.00383476
528.00000000	0.00436729
529.00000000	0.00401870
530.00000000	0.00374789
531.00000000	0.00426926
532.00000000	0.00412175
533.00000000	0.00424697
534.00000000	0.00433331
535.00000000	0.00478688
536.00000000	0.00435385
537.00000000	0.00450367
538.00000000	0.00443927
539.00000000	0.00507711
540.00000000	0.00483740
541.00000000	0.00542429
542.00000000	0.00513859
543.00000000	0.00574961
544.00000000	0.00610691
545.00000000	0.00661079
546.00000000	0.00947168
547.00000000	0.01190845
548.00000000	0.01217057
549.00000000	0.01347009
550.00000000	0.01833790
551.00000000	0.02321023
552.00000000	0.02803657
553.00000000	0.03206967
554.00000000	0.03461149
555.00000000	0.03705550
556.00000000	0.04180238
557.00000000	0.04970542
558.00000000	0.06084512
559.00000000	0.07402124
560.00000000	0.08674390
561.00000000	0.09737929
562.00000000	0.10351085
563.00000000	0.10549814
564.00000000	0.10591569
565.00000000	0.10973731
