#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1583	0.1220	0.0141
#xyY coordinates: 0.5378	0.4143	0.1220
#sRGB: 81	19	0
#CCT Lindbloom (K):	1920
#CCT McCamy (K):	1906
#CCT Hernández-Andrés (K):	1576
#Melatonin: 0.116
#Chlorophyll a: 0.115
#Chlorophyll b: 0.311
#Beta Carotene: 0.117
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00011617
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00000000
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00133857
331.00000000	0.00268038
332.00000000	0.00204494
333.00000000	0.00000000
334.00000000	0.00000000
335.00000000	0.00000000
336.00000000	0.00000000
337.00000000	0.00000000
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00000000
344.00000000	0.00003377
345.00000000	0.00000000
346.00000000	0.00000000
347.00000000	0.00000000
348.00000000	0.00000000
349.00000000	0.00000000
350.00000000	0.00000000
351.00000000	0.00007626
352.00000000	0.00000000
353.00000000	0.00000000
354.00000000	0.00000000
355.00000000	0.00000000
356.00000000	0.00000000
357.00000000	0.00000000
358.00000000	0.00000000
359.00000000	0.00008628
360.00000000	0.00000000
361.00000000	0.00010744
362.00000000	0.00000000
363.00000000	0.00079797
364.00000000	0.00244530
365.00000000	0.00497978
366.00000000	0.00248650
367.00000000	0.00000000
368.00000000	0.00079910
369.00000000	0.00081251
370.00000000	0.00096342
371.00000000	0.00086422
372.00000000	0.00105939
373.00000000	0.00059456
374.00000000	0.00000000
375.00000000	0.00060523
376.00000000	0.00000000
377.00000000	0.00194606
378.00000000	0.00077988
379.00000000	0.00130367
380.00000000	0.00021343
381.00000000	0.00194994
382.00000000	0.00150450
383.00000000	0.00236451
384.00000000	0.00277311
385.00000000	0.00257746
386.00000000	0.00067599
387.00000000	0.00111383
388.00000000	0.00119187
389.00000000	0.00162325
390.00000000	0.00244207
391.00000000	0.00160289
392.00000000	0.00242526
393.00000000	0.00159611
394.00000000	0.00278636
395.00000000	0.00266373
396.00000000	0.00337495
397.00000000	0.00223268
398.00000000	0.00349757
399.00000000	0.00331387
400.00000000	0.00451689
401.00000000	0.00457926
402.00000000	0.00386336
403.00000000	0.00400263
404.00000000	0.00615275
405.00000000	0.00836636
406.00000000	0.00626051
407.00000000	0.00424417
408.00000000	0.00435290
409.00000000	0.00416048
410.00000000	0.00456278
411.00000000	0.00406176
412.00000000	0.00524830
413.00000000	0.00414545
414.00000000	0.00536527
415.00000000	0.00585740
416.00000000	0.00602155
417.00000000	0.00632433
418.00000000	0.00547546
419.00000000	0.00674246
420.00000000	0.00698416
421.00000000	0.00558888
422.00000000	0.00625211
423.00000000	0.00726723
424.00000000	0.00690532
425.00000000	0.00727256
426.00000000	0.00741312
427.00000000	0.00784014
428.00000000	0.00725769
429.00000000	0.00819671
430.00000000	0.00795889
431.00000000	0.00828638
432.00000000	0.00880501
433.00000000	0.00808216
434.00000000	0.00873505
435.00000000	0.01372323
436.00000000	0.02012721
437.00000000	0.01533743
438.00000000	0.01289504
439.00000000	0.01231325
440.00000000	0.01221695
441.00000000	0.01228303
442.00000000	0.01058595
443.00000000	0.00984178
444.00000000	0.00746983
445.00000000	0.00788231
446.00000000	0.00909453
447.00000000	0.01087660
448.00000000	0.01286629
449.00000000	0.01782490
450.00000000	0.02279450
451.00000000	0.02251241
452.00000000	0.01781456
453.00000000	0.01334404
454.00000000	0.01442669
455.00000000	0.01317439
456.00000000	0.01177992
457.00000000	0.00899986
458.00000000	0.00798910
459.00000000	0.00657605
460.00000000	0.00682340
461.00000000	0.00657863
462.00000000	0.00899097
463.00000000	0.01205603
464.00000000	0.01378721
465.00000000	0.01638858
466.00000000	0.03038453
467.00000000	0.05158292
468.00000000	0.04777934
469.00000000	0.03299059
470.00000000	0.02277075
471.00000000	0.01828778
472.00000000	0.01325485
473.00000000	0.00983240
474.00000000	0.00878207
475.00000000	0.01466193
476.00000000	0.01503498
477.00000000	0.00729146
478.00000000	0.00416323
479.00000000	0.00204704
480.00000000	0.00142598
481.00000000	0.00140223
482.00000000	0.00216385
483.00000000	0.00129059
484.00000000	0.00179613
485.00000000	0.00206998
486.00000000	0.00181212
487.00000000	0.00212120
488.00000000	0.00226774
489.00000000	0.00297749
490.00000000	0.00390230
491.00000000	0.00606954
492.00000000	0.00657104
493.00000000	0.00579843
494.00000000	0.00668640
495.00000000	0.00921571
496.00000000	0.01912566
497.00000000	0.04921179
498.00000000	0.13326021
499.00000000	0.15993794
500.00000000	0.08823540
501.00000000	0.04363793
502.00000000	0.02139873
503.00000000	0.01139878
504.00000000	0.00699854
505.00000000	0.00539290
506.00000000	0.00378128
507.00000000	0.00360728
508.00000000	0.00326880
509.00000000	0.00268199
510.00000000	0.00326201
511.00000000	0.00292369
512.00000000	0.00303550
513.00000000	0.00328495
514.00000000	0.00540324
515.00000000	0.03016173
516.00000000	0.04090311
517.00000000	0.01578368
518.00000000	0.00827006
519.00000000	0.00409165
520.00000000	0.00270509
521.00000000	0.00244271
522.00000000	0.00249118
523.00000000	0.00282934
524.00000000	0.00242542
525.00000000	0.00215206
526.00000000	0.00206529
527.00000000	0.00301966
528.00000000	0.00259394
529.00000000	0.00264935
530.00000000	0.00286278
531.00000000	0.00229956
532.00000000	0.00249974
533.00000000	0.00312226
534.00000000	0.00306490
535.00000000	0.00295601
536.00000000	0.00277004
537.00000000	0.00325264
538.00000000	0.00295827
539.00000000	0.00337995
540.00000000	0.00275373
541.00000000	0.00309560
542.00000000	0.00335669
543.00000000	0.00405595
544.00000000	0.00410038
545.00000000	0.00505103
546.00000000	0.01563019
547.00000000	0.01410420
548.00000000	0.00969314
549.00000000	0.01077756
550.00000000	0.01297680
551.00000000	0.01699849
552.00000000	0.01985675
553.00000000	0.02274587
554.00000000	0.02505610
555.00000000	0.02638449
556.00000000	0.03270171
557.00000000	0.04144080
558.00000000	0.05356017
559.00000000	0.06751815
560.00000000	0.07888931
561.00000000	0.08436396
562.00000000	0.08698908
563.00000000	0.08685595
564.00000000	0.08802197
565.00000000	0.09431075
566.00000000	0.11482653
567.00000000	0.17420936
