#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1610	0.1279	0.0122
#xyY coordinates: 0.5347	0.4248	0.1279
#sRGB: 81	22	0
#CCT Lindbloom (K):	2005
#CCT McCamy (K):	1995
#CCT Hernández-Andrés (K):	1709
#Melatonin: 0.105
#Chlorophyll a: 0.175
#Chlorophyll b: 0.296
#Beta Carotene: 0.177
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp at Facultad de Físicas
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00000000
305.00000000	0.00423504
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00000000
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00253029
331.00000000	0.00128381
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00000000
335.00000000	0.00078913
336.00000000	0.00000000
337.00000000	0.00038666
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00000000
344.00000000	0.00000000
345.00000000	0.00000000
346.00000000	0.00205832
347.00000000	0.00000000
348.00000000	0.00030056
349.00000000	0.00000000
350.00000000	0.00127199
351.00000000	0.00000000
352.00000000	0.00000000
353.00000000	0.00000000
354.00000000	0.00226441
355.00000000	0.00000000
356.00000000	0.00000000
357.00000000	0.00000000
358.00000000	0.00009235
359.00000000	0.00000000
360.00000000	0.00143183
361.00000000	0.00000000
362.00000000	0.00072309
363.00000000	0.00044525
364.00000000	0.00000000
365.00000000	0.00000000
366.00000000	0.00102099
367.00000000	0.00000000
368.00000000	0.00145787
369.00000000	0.00004292
370.00000000	0.00198139
371.00000000	0.00068057
372.00000000	0.00162768
373.00000000	0.00155102
374.00000000	0.00101568
375.00000000	0.00104092
376.00000000	0.00183736
377.00000000	0.00009261
378.00000000	0.00087018
379.00000000	0.00102298
380.00000000	0.00188838
381.00000000	0.00121605
382.00000000	0.00025405
383.00000000	0.00169784
384.00000000	0.00117658
385.00000000	0.00145150
386.00000000	0.00176999
387.00000000	0.00237615
388.00000000	0.00116024
389.00000000	0.00240605
390.00000000	0.00209167
391.00000000	0.00220568
392.00000000	0.00086912
393.00000000	0.00261280
394.00000000	0.00218575
395.00000000	0.00261918
396.00000000	0.00390166
397.00000000	0.00345986
398.00000000	0.00189170
399.00000000	0.00184626
400.00000000	0.00390352
401.00000000	0.00232566
402.00000000	0.00303972
403.00000000	0.00322002
404.00000000	0.00503692
405.00000000	0.00388877
406.00000000	0.00333841
407.00000000	0.00386565
408.00000000	0.00498922
409.00000000	0.00483934
410.00000000	0.00486724
411.00000000	0.00410854
412.00000000	0.00472414
413.00000000	0.00455313
414.00000000	0.00471470
415.00000000	0.00396278
416.00000000	0.00457864
417.00000000	0.00488890
418.00000000	0.00618228
419.00000000	0.00556681
420.00000000	0.00622613
421.00000000	0.00639899
422.00000000	0.00595520
423.00000000	0.00502190
424.00000000	0.00673516
425.00000000	0.00544298
426.00000000	0.00668759
427.00000000	0.00772266
428.00000000	0.00605871
429.00000000	0.00846476
430.00000000	0.00636896
431.00000000	0.00815968
432.00000000	0.00778086
433.00000000	0.00832059
434.00000000	0.00763696
435.00000000	0.00742304
436.00000000	0.00924644
437.00000000	0.01002786
438.00000000	0.00942649
439.00000000	0.01163176
440.00000000	0.01093857
441.00000000	0.01081792
442.00000000	0.00927129
443.00000000	0.00798708
444.00000000	0.00813576
445.00000000	0.00571350
446.00000000	0.00669928
447.00000000	0.00832790
448.00000000	0.01089964
449.00000000	0.01484169
450.00000000	0.02288883
451.00000000	0.02128480
452.00000000	0.01629584
453.00000000	0.01087134
454.00000000	0.00990230
455.00000000	0.01169368
456.00000000	0.00791187
457.00000000	0.00589155
458.00000000	0.00549360
459.00000000	0.00446344
460.00000000	0.00528539
461.00000000	0.00474420
462.00000000	0.00620314
463.00000000	0.00781169
464.00000000	0.00961875
465.00000000	0.01307436
466.00000000	0.02603737
467.00000000	0.04711874
468.00000000	0.04906718
469.00000000	0.02994328
470.00000000	0.01822236
471.00000000	0.01226849
472.00000000	0.00980278
473.00000000	0.00742410
474.00000000	0.00651858
475.00000000	0.01226490
476.00000000	0.01421586
477.00000000	0.00801153
478.00000000	0.00515092
479.00000000	0.00284134
480.00000000	0.00298351
481.00000000	0.00238745
482.00000000	0.00246411
483.00000000	0.00281662
484.00000000	0.00222096
485.00000000	0.00339927
486.00000000	0.00270063
487.00000000	0.00337934
488.00000000	0.00295574
489.00000000	0.00362861
490.00000000	0.00404689
491.00000000	0.00553001
492.00000000	0.00639859
493.00000000	0.00660295
494.00000000	0.00625483
495.00000000	0.00817310
496.00000000	0.01522410
497.00000000	0.04113378
498.00000000	0.11891145
499.00000000	0.15495795
500.00000000	0.09703245
501.00000000	0.04289128
502.00000000	0.01881537
503.00000000	0.00988091
504.00000000	0.00704661
505.00000000	0.00600795
506.00000000	0.00520646
507.00000000	0.00461319
508.00000000	0.00496849
509.00000000	0.00440551
510.00000000	0.00467312
511.00000000	0.00447726
512.00000000	0.00475310
513.00000000	0.00476174
514.00000000	0.00615251
515.00000000	0.02771927
516.00000000	0.04080067
517.00000000	0.02221822
518.00000000	0.00899066
519.00000000	0.00591786
520.00000000	0.00426055
521.00000000	0.00435688
522.00000000	0.00394405
523.00000000	0.00411877
524.00000000	0.00408183
525.00000000	0.00480067
526.00000000	0.00413684
527.00000000	0.00436126
528.00000000	0.00447341
529.00000000	0.00466408
530.00000000	0.00493859
531.00000000	0.00460628
532.00000000	0.00405327
533.00000000	0.00483548
534.00000000	0.00522400
535.00000000	0.00512807
536.00000000	0.00553891
537.00000000	0.00525948
538.00000000	0.00546317
539.00000000	0.00526865
540.00000000	0.00571377
541.00000000	0.00602934
542.00000000	0.00690005
543.00000000	0.00630053
544.00000000	0.00728605
545.00000000	0.00846143
546.00000000	0.01035048
547.00000000	0.01242674
548.00000000	0.01409362
549.00000000	0.01800153
550.00000000	0.02496815
551.00000000	0.03164564
552.00000000	0.03817139
553.00000000	0.04198429
554.00000000	0.04495638
555.00000000	0.04731486
556.00000000	0.05474733
557.00000000	0.06770822
558.00000000	0.08389962
559.00000000	0.10267633
560.00000000	0.11704114
561.00000000	0.12523390
562.00000000	0.12981148
563.00000000	0.12794769
564.00000000	0.12776167
565.00000000	0.13064326
566.00000000	0.14443713
