#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/26
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1832	0.1533	0.0126
#xyY coordinates: 0.5248	0.4392	0.1533
#sRGB: 90	28	0
#CCT Lindbloom (K):	2176
#CCT McCamy (K):	2172
#CCT Hernández-Andrés (K):	1951
#Melatonin: 0.104
#Chlorophyll a: 0.369
#Chlorophyll b: 0.289
#Beta Carotene: 0.369
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Riba-Roja de Turia streetlamps. Yellowish.
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00046807
311.00000000	0.00008429
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000804
319.00000000	0.00090293
320.00000000	0.00065638
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00042134
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00135913
333.00000000	0.00000000
334.00000000	0.00000000
335.00000000	0.00000000
336.00000000	0.00000000
337.00000000	0.00000000
338.00000000	0.00004063
339.00000000	0.00000000
340.00000000	0.00001133
341.00000000	0.00038424
342.00000000	0.00000000
343.00000000	0.00000000
344.00000000	0.00022679
345.00000000	0.00000005
346.00000000	0.00000000
347.00000000	0.00000000
348.00000000	0.00000000
349.00000000	0.00001168
350.00000000	0.00000000
351.00000000	0.00000000
352.00000000	0.00000000
353.00000000	0.00000000
354.00000000	0.00000513
355.00000000	0.00086877
356.00000000	0.00000000
357.00000000	0.00000000
358.00000000	0.00032435
359.00000000	0.00068931
360.00000000	0.00019812
361.00000000	0.00024211
362.00000000	0.00000000
363.00000000	0.00000328
364.00000000	0.00039210
365.00000000	0.00010412
366.00000000	0.00000000
367.00000000	0.00046304
368.00000000	0.00109079
369.00000000	0.00112935
370.00000000	0.00022953
371.00000000	0.00094513
372.00000000	0.00049054
373.00000000	0.00012755
374.00000000	0.00014986
375.00000000	0.00115681
376.00000000	0.00000278
377.00000000	0.00016901
378.00000000	0.00054002
379.00000000	0.00151369
380.00000000	0.00108972
381.00000000	0.00061807
382.00000000	0.00063107
383.00000000	0.00119492
384.00000000	0.00128772
385.00000000	0.00062820
386.00000000	0.00092831
387.00000000	0.00048515
388.00000000	0.00176851
389.00000000	0.00124305
390.00000000	0.00162355
391.00000000	0.00130302
392.00000000	0.00189023
393.00000000	0.00195848
394.00000000	0.00131626
395.00000000	0.00213001
396.00000000	0.00104287
397.00000000	0.00270196
398.00000000	0.00248498
399.00000000	0.00210141
400.00000000	0.00228568
401.00000000	0.00170202
402.00000000	0.00253416
403.00000000	0.00323381
404.00000000	0.00355526
405.00000000	0.00316108
406.00000000	0.00356258
407.00000000	0.00316391
408.00000000	0.00397002
409.00000000	0.00443393
410.00000000	0.00350675
411.00000000	0.00302531
412.00000000	0.00388405
413.00000000	0.00429376
414.00000000	0.00396465
415.00000000	0.00432820
416.00000000	0.00370368
417.00000000	0.00462614
418.00000000	0.00506627
419.00000000	0.00495586
420.00000000	0.00495740
421.00000000	0.00492174
422.00000000	0.00597073
423.00000000	0.00573545
424.00000000	0.00537196
425.00000000	0.00575595
426.00000000	0.00576874
427.00000000	0.00627653
428.00000000	0.00658351
429.00000000	0.00681938
430.00000000	0.00627483
431.00000000	0.00710399
432.00000000	0.00817967
433.00000000	0.00834599
434.00000000	0.00892096
435.00000000	0.00880230
436.00000000	0.00886584
437.00000000	0.00980711
438.00000000	0.00943762
439.00000000	0.01098201
440.00000000	0.01126827
441.00000000	0.00952268
442.00000000	0.00775075
443.00000000	0.00736092
444.00000000	0.00516730
445.00000000	0.00443907
446.00000000	0.00486588
447.00000000	0.00673634
448.00000000	0.00888667
449.00000000	0.01220444
450.00000000	0.01982642
451.00000000	0.01831214
452.00000000	0.01432963
453.00000000	0.01061422
454.00000000	0.00937316
455.00000000	0.00949858
456.00000000	0.00662940
457.00000000	0.00512227
458.00000000	0.00490976
459.00000000	0.00466044
460.00000000	0.00498717
461.00000000	0.00601226
462.00000000	0.00681751
463.00000000	0.00825454
464.00000000	0.01001378
465.00000000	0.01233051
466.00000000	0.02430090
467.00000000	0.04640760
468.00000000	0.04288815
469.00000000	0.02735083
470.00000000	0.01785718
471.00000000	0.01247401
472.00000000	0.00892541
473.00000000	0.00797876
474.00000000	0.00859954
475.00000000	0.01514294
476.00000000	0.01726303
477.00000000	0.01096339
478.00000000	0.00918892
479.00000000	0.00823538
480.00000000	0.00777311
481.00000000	0.00782728
482.00000000	0.00771260
483.00000000	0.00842671
484.00000000	0.00830692
485.00000000	0.00888896
486.00000000	0.00898702
487.00000000	0.00917831
488.00000000	0.00914555
489.00000000	0.01016228
490.00000000	0.01030075
491.00000000	0.01186158
492.00000000	0.01298584
493.00000000	0.01222370
494.00000000	0.01275907
495.00000000	0.01430202
496.00000000	0.02052816
497.00000000	0.04407464
498.00000000	0.11823213
499.00000000	0.14214184
500.00000000	0.08140228
501.00000000	0.05267979
502.00000000	0.03305028
503.00000000	0.02076958
504.00000000	0.01541997
505.00000000	0.01420169
506.00000000	0.01338018
507.00000000	0.01266532
508.00000000	0.01291515
509.00000000	0.01314751
510.00000000	0.01309644
511.00000000	0.01287877
512.00000000	0.01300061
513.00000000	0.01363404
514.00000000	0.01603363
515.00000000	0.03726085
516.00000000	0.04679287
517.00000000	0.02479455
518.00000000	0.02102624
519.00000000	0.01749871
520.00000000	0.01539406
521.00000000	0.01423296
522.00000000	0.01409593
523.00000000	0.01454642
524.00000000	0.01495779
525.00000000	0.01513706
526.00000000	0.01512075
527.00000000	0.01490849
528.00000000	0.01525991
529.00000000	0.01556187
530.00000000	0.01551979
531.00000000	0.01613516
532.00000000	0.01632342
533.00000000	0.01642876
534.00000000	0.01681316
535.00000000	0.01706083
536.00000000	0.01730465
537.00000000	0.01815882
538.00000000	0.01810644
539.00000000	0.01862844
540.00000000	0.01971038
541.00000000	0.02020715
542.00000000	0.02137046
543.00000000	0.02195891
544.00000000	0.02347750
545.00000000	0.02620329
546.00000000	0.02941296
547.00000000	0.03498052
548.00000000	0.04549132
549.00000000	0.06219073
550.00000000	0.08332568
551.00000000	0.10336714
552.00000000	0.11443525
553.00000000	0.12133946
554.00000000	0.12268654
555.00000000	0.12431471
556.00000000	0.13111294
557.00000000	0.13886688
558.00000000	0.15231044
559.00000000	0.16440808
560.00000000	0.17656539
561.00000000	0.18642960
562.00000000	0.19105372
563.00000000	0.19401901
564.00000000	0.19984625
565.00000000	0.20689292
