# High Pressure Sodium
#
# average spectrum made of:
# HPS_High_Pressure_Sodium_1732K_SFH_Toledo_cor
# HPS_High_Pressure_Sodium_1819K_Riba_Roja_Plaza_Ajuntament_cor
# HPS_High_Pressure_Sodium_1869K_Riba_Roja_cor
# HPS_High_Pressure_Sodium_1895K_Ager_cor
# HPS_High_Pressure_Sodium_1920K_SFH_Alix_cor
# HPS_High_Pressure_Sodium_2005K_F_Fisicas_cor
# HPS_High_Pressure_Sodium_2038K_Riba_Roja_Plaza_Ajuntament_cor
# HPS_High_Pressure_Sodium_2176K_Riba_Roja_cor
# HPS_High_Pressure_Sodium_2255K_Paraninfo_UCM_cor
#
# W	S
300	0.00019843
301	0.000257822
302	0.000665281
303	0.00029968
304	0.002234259
305	0.002315392
306	0
307	0.00061906
308	6.16667E-07
309	0.000260954
310	7.70789E-05
311	0.00150883
312	0
313	0.00000004
314	0
315	0.001132043
316	0.001360282
317	0.000116523
318	1.02833E-05
319	0.002501871
320	7.29311E-05
321	0.000403261
322	0.000928917
323	0.000713941
324	0.0010696
325	9.47444E-05
326	0.00091704
327	0.001034089
328	0.000396857
329	3.92378E-05
330	0.000663402
331	0.000696599
332	0.000635083
333	0.000844499
334	0.001738527
335	0.000268833
336	0.003810269
337	0.001391196
338	0.000904946
339	0.001650176
340	0.000532412
341	0.000499787
342	0.00049465
343	0.000692662
344	0.0002411
345	0.000863427
346	0.00091744
347	0.001153311
348	0.000672964
349	0.000164301
350	0.000573289
351	0.000662351
352	0.000493129
353	0.000512598
354	0.000973541
355	0.000878811
356	0.001106366
357	0.00082373
358	0.000234353
359	0.000132067
360	0.00121257
361	0.001585797
362	0.000976357
363	0.000514559
364	0.001043398
365	0.001790476
366	0.001720613
367	0.001033756
368	0.0015866
369	0.00148656
370	0.002549532
371	0.001683727
372	0.002046724
373	0.001322043
374	0.001549211
375	0.00145082
376	0.000980737
377	0.001406653
378	0.001720626
379	0.001604853
380	0.002006621
381	0.001434299
382	0.00118722
383	0.001807257
384	0.002138988
385	0.001840598
386	0.00175705
387	0.001690804
388	0.001574524
389	0.002190873
390	0.002153524
391	0.002227081
392	0.002291214
393	0.001775337
394	0.002433929
395	0.003468113
396	0.003007324
397	0.003669041
398	0.002905531
399	0.003317468
400	0.00407312
401	0.004306441
402	0.004511497
403	0.004157647
404	0.005587242
405	0.007016202
406	0.006351671
407	0.00585604
408	0.006126151
409	0.006531001
410	0.005854934
411	0.005527372
412	0.006250676
413	0.005693834
414	0.005980113
415	0.006535878
416	0.007353718
417	0.006943396
418	0.007233056
419	0.007175691
420	0.00788623
421	0.007487534
422	0.009529729
423	0.008070747
424	0.008167286
425	0.008379947
426	0.008535279
