#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.4184	0.3832	0.1421
#xyY coordinates: 0.4434	0.4060	0.3832
#sRGB: 177	81	24
#CCT Lindbloom (K):	2911
#CCT McCamy (K):	2913
#CCT Hernández-Andrés (K):	2853
#Melatonin: 0.383
#Chlorophyll a: 3.056
#Chlorophyll b: 0.588
#Beta Carotene: 3.044
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.01666028
301.00000000	0.01682130
302.00000000	0.01932958
303.00000000	0.02002212
304.00000000	0.01680502
305.00000000	0.01758797
306.00000000	0.01431393
307.00000000	0.01910919
308.00000000	0.01102124
309.00000000	0.01989864
310.00000000	0.01807675
311.00000000	0.01487772
312.00000000	0.02120374
313.00000000	0.01913388
314.00000000	0.02089999
315.00000000	0.01474896
316.00000000	0.02020059
317.00000000	0.01805859
318.00000000	0.02468017
319.00000000	0.02279746
320.00000000	0.01743267
321.00000000	0.02799120
322.00000000	0.01899234
323.00000000	0.02028296
324.00000000	0.02581195
325.00000000	0.02298824
326.00000000	0.02678608
327.00000000	0.02369404
328.00000000	0.02667455
329.00000000	0.02862871
330.00000000	0.02625022
331.00000000	0.02754054
332.00000000	0.03328885
333.00000000	0.03212567
334.00000000	0.03175775
335.00000000	0.03245447
336.00000000	0.02969760
337.00000000	0.03515364
338.00000000	0.03437271
339.00000000	0.03434779
340.00000000	0.02970367
341.00000000	0.03807755
342.00000000	0.03393730
343.00000000	0.03820251
344.00000000	0.03457197
345.00000000	0.03944714
346.00000000	0.03562700
347.00000000	0.03791246
348.00000000	0.03794245
349.00000000	0.03376798
350.00000000	0.03645042
351.00000000	0.03803391
352.00000000	0.03782116
353.00000000	0.04046783
354.00000000	0.04317175
355.00000000	0.04103413
356.00000000	0.04228465
357.00000000	0.04272961
358.00000000	0.04191464
359.00000000	0.04322778
360.00000000	0.04349699
361.00000000	0.04400574
362.00000000	0.04304921
363.00000000	0.04517295
364.00000000	0.04209274
365.00000000	0.04343327
366.00000000	0.04470284
367.00000000	0.04631344
368.00000000	0.04400708
369.00000000	0.04706765
370.00000000	0.04861665
371.00000000	0.04669941
372.00000000	0.04886496
373.00000000	0.04940231
374.00000000	0.04863362
375.00000000	0.05043726
376.00000000	0.04989658
377.00000000	0.04742761
378.00000000	0.05122983
379.00000000	0.04996809
380.00000000	0.05046828
381.00000000	0.05464340
382.00000000	0.05392763
383.00000000	0.05459771
384.00000000	0.05842128
385.00000000	0.05771683
386.00000000	0.05732436
387.00000000	0.05806603
388.00000000	0.06217669
389.00000000	0.06028419
390.00000000	0.06063916
391.00000000	0.06226920
392.00000000	0.06605567
393.00000000	0.06573999
394.00000000	0.06299633
395.00000000	0.06795056
396.00000000	0.06499200
397.00000000	0.06956230
398.00000000	0.06943829
399.00000000	0.06909458
400.00000000	0.07392471
401.00000000	0.07628280
402.00000000	0.07709524
403.00000000	0.07885210
404.00000000	0.08142515
405.00000000	0.08036384
406.00000000	0.08189314
407.00000000	0.08197840
408.00000000	0.08270150
409.00000000	0.08821826
410.00000000	0.08855914
411.00000000	0.08833744
412.00000000	0.09343034
413.00000000	0.09140791
414.00000000	0.09613931
415.00000000	0.09383490
416.00000000	0.09782806
417.00000000	0.09859583
418.00000000	0.09964477
419.00000000	0.10032853
420.00000000	0.10308768
421.00000000	0.10655869
422.00000000	0.10437694
423.00000000	0.10989665
424.00000000	0.10981467
425.00000000	0.11217988
426.00000000	0.11461043
427.00000000	0.11781033
428.00000000	0.11977763
