#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.6673	0.5449	0.1462
#xyY coordinates: 0.4912	0.4011	0.5449
#sRGB: 255	78	16
#CCT Lindbloom (K):	2248
#CCT McCamy (K):	2220
#CCT Hernández-Andrés (K):	2043
#Melatonin: 0.249
#Chlorophyll a: 0.709
#Chlorophyll b: 0.592
#Beta Carotene: 0.707
#Manufacturer: MM Electric
#Luminance manufacturer: 120lm 
#Other data: Gold Curve. Vintage LED - Mini Edison 2200K
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00057592
302.00000000	0.00360659
303.00000000	0.00000000
304.00000000	0.00000000
305.00000000	0.00059625
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00336404
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000024
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00000000
320.00000000	0.00020843
321.00000000	0.00000000
322.00000000	0.00000864
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00003472
328.00000000	0.00245225
329.00000000	0.00031738
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00055306
333.00000000	0.00044695
334.00000000	0.00006410
335.00000000	0.00000000
336.00000000	0.00000000
337.00000000	0.00001137
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00000000
344.00000000	0.00000000
345.00000000	0.00000000
346.00000000	0.00000000
347.00000000	0.00000000
348.00000000	0.00008487
349.00000000	0.00012010
350.00000000	0.00000000
351.00000000	0.00039135
352.00000000	0.00000000
353.00000000	0.00000000
354.00000000	0.00000000
355.00000000	0.00004788
356.00000000	0.00000000
357.00000000	0.00000000
358.00000000	0.00000000
359.00000000	0.00000000
360.00000000	0.00000000
361.00000000	0.00014289
362.00000000	0.00000000
363.00000000	0.00026854
364.00000000	0.00000000
365.00000000	0.00000000
366.00000000	0.00000000
367.00000000	0.00000000
368.00000000	0.00000000
369.00000000	0.00004100
370.00000000	0.00118006
371.00000000	0.00000000
372.00000000	0.00000000
373.00000000	0.00000000
374.00000000	0.00000000
375.00000000	0.00000000
376.00000000	0.00000372
377.00000000	0.00000000
378.00000000	0.00000000
379.00000000	0.00000000
380.00000000	0.00000000
381.00000000	0.00000000
382.00000000	0.00023634
383.00000000	0.00011731
384.00000000	0.00000000
385.00000000	0.00001805
386.00000000	0.00000000
387.00000000	0.00000000
388.00000000	0.00001940
389.00000000	0.00000000
390.00000000	0.00000000
391.00000000	0.00028321
392.00000000	0.00051710
393.00000000	0.00074974
394.00000000	0.00000000
395.00000000	0.00000000
396.00000000	0.00000000
397.00000000	0.00000000
398.00000000	0.00021868
399.00000000	0.00021496
400.00000000	0.00000000
401.00000000	0.00003644
402.00000000	0.00032516
403.00000000	0.00056109
404.00000000	0.00052502
405.00000000	0.00070479
406.00000000	0.00029316
407.00000000	0.00021519
408.00000000	0.00104173
409.00000000	0.00098044
410.00000000	0.00140258
411.00000000	0.00127354
412.00000000	0.00198135
413.00000000	0.00175366
414.00000000	0.00168143
415.00000000	0.00296269
416.00000000	0.00244451
417.00000000	0.00335036
418.00000000	0.00326283
419.00000000	0.00454785
420.00000000	0.00429624
421.00000000	0.00470982
422.00000000	0.00643610
423.00000000	0.00562313
424.00000000	0.00685346
425.00000000	0.00781131
426.00000000	0.00932990
427.00000000	0.00948983
428.00000000	0.00972259
429.00000000	0.01252540
430.00000000	0.01437130
431.00000000	0.01576404
432.00000000	0.01672007
433.00000000	0.01844463
434.00000000	0.02215063
435.00000000	0.02357487
436.00000000	0.02702000
437.00000000	0.03000447
438.00000000	0.03428953
439.00000000	0.03825840
440.00000000	0.04220317
441.00000000	0.04869065
442.00000000	0.05273856
443.00000000	0.06054682
444.00000000	0.06768090
445.00000000	0.07584946
446.00000000	0.08427858
447.00000000	0.09627026
448.00000000	0.11075752
449.00000000	0.12494054
450.00000000	0.13865816
451.00000000	0.15617120
452.00000000	0.17559915
453.00000000	0.19405026
454.00000000	0.21788948
455.00000000	0.23876004
456.00000000	0.26069021
457.00000000	0.27195794
458.00000000	0.28909798
459.00000000	0.29328999
460.00000000	0.29622572
461.00000000	0.29426299
462.00000000	0.28789814
463.00000000	0.26948243
464.00000000	0.26249488
465.00000000	0.24942748
466.00000000	0.23438429
467.00000000	0.22696000
468.00000000	0.22170401
469.00000000	0.21581287
470.00000000	0.21070194
471.00000000	0.21372886
472.00000000	0.20916980
473.00000000	0.20839425
474.00000000	0.20346397
475.00000000	0.20266811
476.00000000	0.19816970
477.00000000	0.19365506
478.00000000	0.18331918
479.00000000	0.17932974
480.00000000	0.17214247
481.00000000	0.16866949
482.00000000	0.16343167
483.00000000	0.15906991
484.00000000	0.15610784
485.00000000	0.15467187
486.00000000	0.15546245
487.00000000	0.15483992
488.00000000	0.15535858
489.00000000	0.15783346
490.00000000	0.15993700
491.00000000	0.16216214
492.00000000	0.16290510
493.00000000	0.16604788
494.00000000	0.16868108
495.00000000	0.17009276
496.00000000	0.17514108
497.00000000	0.17634204
498.00000000	0.18054945
499.00000000	0.18327948
500.00000000	0.18609460
501.00000000	0.19216309
502.00000000	0.19555397
503.00000000	0.20110105
504.00000000	0.20535515
505.00000000	0.20934141
506.00000000	0.21334165
507.00000000	0.21929660
508.00000000	0.22470335
509.00000000	0.22777397
510.00000000	0.23346221
511.00000000	0.24072719
512.00000000	0.24443472
513.00000000	0.24389780
514.00000000	0.25249733
515.00000000	0.25977924
516.00000000	0.26307294
517.00000000	0.26662819
518.00000000	0.26852555
519.00000000	0.27317443
520.00000000	0.27670085
521.00000000	0.27920767
522.00000000	0.28334905
523.00000000	0.28840624
524.00000000	0.29336994
525.00000000	0.29754149
526.00000000	0.30214637
527.00000000	0.30443462
528.00000000	0.30960459
529.00000000	0.31461635
530.00000000	0.31836696
531.00000000	0.32219167
532.00000000	0.32461111
533.00000000	0.32649317
534.00000000	0.33087432
535.00000000	0.33356300
536.00000000	0.33755028
537.00000000	0.34141547
538.00000000	0.34437260
539.00000000	0.35233280
540.00000000	0.35402832
541.00000000	0.36173947
542.00000000	0.36375309
543.00000000	0.37018356
544.00000000	0.37376420
545.00000000	0.37646194
546.00000000	0.37987463
547.00000000	0.38602669
548.00000000	0.39098578
549.00000000	0.39483971
550.00000000	0.40119560
551.00000000	0.40961649
552.00000000	0.41153983
553.00000000	0.41953648
554.00000000	0.42659689
555.00000000	0.43265105
556.00000000	0.44309341
557.00000000	0.44778890
558.00000000	0.45625697
559.00000000	0.46141311
560.00000000	0.46647567
561.00000000	0.47202598
562.00000000	0.47640949
563.00000000	0.48034481
564.00000000	0.48876742
565.00000000	0.49265599
566.00000000	0.49957077
567.00000000	0.50884699
568.00000000	0.51125591
569.00000000	0.51804587
570.00000000	0.52357959
571.00000000	0.53106057
572.00000000	0.53806072
573.00000000	0.54550482
574.00000000	0.55341307
575.00000000	0.56146927
576.00000000	0.56983945
577.00000000	0.57670356
578.00000000	0.58603148
579.00000000	0.58938454
580.00000000	0.59899627
581.00000000	0.60730303
582.00000000	0.61494965
583.00000000	0.62914505
584.00000000	0.64465339
585.00000000	0.65596156
586.00000000	0.66226051
587.00000000	0.67418679
588.00000000	0.67920221
589.00000000	0.68768323
590.00000000	0.69868401
591.00000000	0.70819739
592.00000000	0.71475292
593.00000000	0.72918701
594.00000000	0.73924719
595.00000000	0.74696888
596.00000000	0.75772025
597.00000000	0.76606059
598.00000000	0.77817520
599.00000000	0.78540661
600.00000000	0.80269430
601.00000000	0.80721908
602.00000000	0.82083992
603.00000000	0.82949506
604.00000000	0.83695698
605.00000000	0.84327543
606.00000000	0.84777915
607.00000000	0.84845331
608.00000000	0.85852138
609.00000000	0.85945347
610.00000000	0.87565030
611.00000000	0.88150509
612.00000000	0.88303378
613.00000000	0.89703811
614.00000000	0.90952848
615.00000000	0.92177471
616.00000000	0.93447278
617.00000000	0.94549154
618.00000000	0.96139384
619.00000000	0.96752427
620.00000000	0.97284435
621.00000000	0.97321987
622.00000000	0.97604646
623.00000000	0.98160918
624.00000000	0.98116499
625.00000000	0.98623592
626.00000000	0.98678447
627.00000000	0.98547025
628.00000000	0.99721207
629.00000000	0.99490358
630.00000000	0.99427254
631.00000000	1.00000000
632.00000000	0.99370896
633.00000000	0.99861674
634.00000000	0.99663548
635.00000000	0.99912511
636.00000000	0.99610658
637.00000000	0.99503077
638.00000000	0.98996868
639.00000000	0.99148645
640.00000000	0.98477837
641.00000000	0.98377259
642.00000000	0.98430922
643.00000000	0.97937640
644.00000000	0.97451990
645.00000000	0.97702313
646.00000000	0.96943728
647.00000000	0.96456907
648.00000000	0.95833196
649.00000000	0.95958300
650.00000000	0.94738900
651.00000000	0.93993239
652.00000000	0.93535500
653.00000000	0.92332791
654.00000000	0.91573679
655.00000000	0.89961470
656.00000000	0.89798433
657.00000000	0.89095181
658.00000000	0.87963876
659.00000000	0.87210481
660.00000000	0.86187540
661.00000000	0.85656719
662.00000000	0.84367503
663.00000000	0.83779532
664.00000000	0.82075595
665.00000000	0.81342065
666.00000000	0.79489751
667.00000000	0.79156226
668.00000000	0.77551136
669.00000000	0.77216576
670.00000000	0.75967634
671.00000000	0.74763117
672.00000000	0.73490152
673.00000000	0.73011759
674.00000000	0.71574239
675.00000000	0.70368089
676.00000000	0.69337597
677.00000000	0.68225805
678.00000000	0.66810203
679.00000000	0.65507901
680.00000000	0.64870201
681.00000000	0.63514174
682.00000000	0.62692297
683.00000000	0.61589740
684.00000000	0.60068392
685.00000000	0.59346617
686.00000000	0.57959502
687.00000000	0.56545800
688.00000000	0.55570767
689.00000000	0.54553084
690.00000000	0.53231904
691.00000000	0.52559470
692.00000000	0.51642394
693.00000000	0.50455965
694.00000000	0.49332268
695.00000000	0.48565929
696.00000000	0.47282613
697.00000000	0.46187132
698.00000000	0.44981061
699.00000000	0.44306656
700.00000000	0.43722579
701.00000000	0.42778509
702.00000000	0.41824484
703.00000000	0.41041903
704.00000000	0.40067376
705.00000000	0.38868372
706.00000000	0.37851764
707.00000000	0.36974770
708.00000000	0.36350129
709.00000000	0.35184731
710.00000000	0.34721523
711.00000000	0.34153628
712.00000000	0.32969963
713.00000000	0.32097433
