#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.3501	0.3331	0.6619
#xyY coordinates: 0.2603	0.2477	0.3331
#sRGB: 75	80	166
#CCT Lindbloom (K):	23223
#CCT McCamy (K):	18870
#CCT Hernández-Andrés (K):	23110
#Melatonin: 1.291
#Chlorophyll a: 0.095
#Chlorophyll b: 1.717
#Beta Carotene: 0.095
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00203827
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00843339
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00376285
313.00000000	0.00578972
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00117001
319.00000000	0.00122012
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00112295
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00252820
329.00000000	0.00450622
330.00000000	0.00000000
331.00000000	0.00049558
332.00000000	0.00316174
333.00000000	0.00489793
334.00000000	0.00000000
335.00000000	0.00000000
336.00000000	0.00013545
337.00000000	0.00323234
338.00000000	0.00000000
339.00000000	0.00113497
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00000000
344.00000000	0.00000000
345.00000000	0.00236231
346.00000000	0.00000000
347.00000000	0.00009340
348.00000000	0.00125348
349.00000000	0.00000000
350.00000000	0.00000000
351.00000000	0.00000000
352.00000000	0.00000000
353.00000000	0.00113048
354.00000000	0.00000000
355.00000000	0.00000000
356.00000000	0.00000000
357.00000000	0.00094953
358.00000000	0.00000000
359.00000000	0.00225259
360.00000000	0.00169279
361.00000000	0.00004539
362.00000000	0.00017332
363.00000000	0.00000000
364.00000000	0.00045322
365.00000000	0.00124689
366.00000000	0.00058145
367.00000000	0.00000000
368.00000000	0.00107232
369.00000000	0.00153129
370.00000000	0.00000000
371.00000000	0.00117284
372.00000000	0.00000000
373.00000000	0.00138486
374.00000000	0.00078102
375.00000000	0.00000000
376.00000000	0.00000000
377.00000000	0.00000000
378.00000000	0.00039161
379.00000000	0.00029789
380.00000000	0.00123445
381.00000000	0.00000000
382.00000000	0.00034464
383.00000000	0.00000000
384.00000000	0.00358734
385.00000000	0.00023858
386.00000000	0.00171433
387.00000000	0.00169488
388.00000000	0.00120882
389.00000000	0.00086156
390.00000000	0.00149343
391.00000000	0.00236932
392.00000000	0.00285182
393.00000000	0.00325284
394.00000000	0.00204653
395.00000000	0.00436407
396.00000000	0.00324207
397.00000000	0.00665567
398.00000000	0.00460966
399.00000000	0.00565144
400.00000000	0.01130958
401.00000000	0.00975507
402.00000000	0.01106525
403.00000000	0.01485770
404.00000000	0.01705464
405.00000000	0.02135983
406.00000000	0.02308378
407.00000000	0.02558008
408.00000000	0.03061315
409.00000000	0.03895481
410.00000000	0.04452195
411.00000000	0.05037955
412.00000000	0.05677667
413.00000000	0.06621962
414.00000000	0.07738183
415.00000000	0.08531703
416.00000000	0.09538160
417.00000000	0.11085422
418.00000000	0.12860851
419.00000000	0.14404306
420.00000000	0.16548562
421.00000000	0.17821719
422.00000000	0.20380229
423.00000000	0.22808997
424.00000000	0.24544627
425.00000000	0.27101714
426.00000000	0.30435890
427.00000000	0.32953962
428.00000000	0.35742291
429.00000000	0.39230129
430.00000000	0.41713225
431.00000000	0.44874607
432.00000000	0.48122993
433.00000000	0.51871537
434.00000000	0.55191362
435.00000000	0.58454087
436.00000000	0.62310753
437.00000000	0.64816012
438.00000000	0.68938122
439.00000000	0.72298227
440.00000000	0.76161367
441.00000000	0.78068744
442.00000000	0.80382875
443.00000000	0.83817107
444.00000000	0.85522027
445.00000000	0.89193526
446.00000000	0.91670022
447.00000000	0.92700808
448.00000000	0.94678254
449.00000000	0.96988327
450.00000000	0.97536118
451.00000000	0.98937720
452.00000000	0.99121621
453.00000000	1.00000000
454.00000000	0.99531356
455.00000000	0.99844831
456.00000000	0.98887053
457.00000000	0.97583856
458.00000000	0.96629090
459.00000000	0.94254356
460.00000000	0.92920366
461.00000000	0.89806199
462.00000000	0.87817770
463.00000000	0.82718636
464.00000000	0.81417165
465.00000000	0.78155276
466.00000000	0.73145060
467.00000000	0.70226896
468.00000000	0.67239583
469.00000000	0.62897946
470.00000000	0.59624667
471.00000000	0.57223198
472.00000000	0.54139719
473.00000000	0.51222339
474.00000000	0.47763056
475.00000000	0.45615536
476.00000000	0.43164060
477.00000000	0.41546708
478.00000000	0.39260337
479.00000000	0.36939794
480.00000000	0.35369792
481.00000000	0.33654465
482.00000000	0.31836738
483.00000000	0.30704022
484.00000000	0.29654827
485.00000000	0.28610025
486.00000000	0.27395860
487.00000000	0.26451366
488.00000000	0.25328827
489.00000000	0.24716123
490.00000000	0.23973228
491.00000000	0.23737949
492.00000000	0.22997543
493.00000000	0.23333799
494.00000000	0.22703941
495.00000000	0.22287762
496.00000000	0.22397306
497.00000000	0.22431321
498.00000000	0.22478379
499.00000000	0.22732579
500.00000000	0.22677059
501.00000000	0.23064516
502.00000000	0.23522522
503.00000000	0.23586085
504.00000000	0.23739570
505.00000000	0.24260135
506.00000000	0.24500539
507.00000000	0.25098715
508.00000000	0.25608110
509.00000000	0.25964627
510.00000000	0.26544446
511.00000000	0.27345685
512.00000000	0.27832382
513.00000000	0.27671670
514.00000000	0.28635724
515.00000000	0.28978999
516.00000000	0.29480653
517.00000000	0.29876205
518.00000000	0.30179953
519.00000000	0.30568099
520.00000000	0.30834768
521.00000000	0.31085129
522.00000000	0.31609021
523.00000000	0.31847909
524.00000000	0.32399403
525.00000000	0.32740052
526.00000000	0.33297980
527.00000000	0.33506064
528.00000000	0.34039934
529.00000000	0.34147156
530.00000000	0.34418646
531.00000000	0.34604702
532.00000000	0.34522447
533.00000000	0.34678725
534.00000000	0.34693755
535.00000000	0.34793979
536.00000000	0.35281565
537.00000000	0.35669440
538.00000000	0.35485340
539.00000000	0.35701834
540.00000000	0.35617759
541.00000000	0.35952436
542.00000000	0.35765606
543.00000000	0.35992507
544.00000000	0.35825487
545.00000000	0.35979966
546.00000000	0.35708831
547.00000000	0.36090566
548.00000000	0.36173333
549.00000000	0.35898234
550.00000000	0.35913610
551.00000000	0.36040443
552.00000000	0.35826397
553.00000000	0.35527356
554.00000000	0.36069531
555.00000000	0.35725441
556.00000000	0.36009880
557.00000000	0.36395433
558.00000000	0.36127028
559.00000000	0.36063873
560.00000000	0.36339547
561.00000000	0.35981545
562.00000000	0.35552909
563.00000000	0.35556434
564.00000000	0.34792212
565.00000000	0.35386570
566.00000000	0.34990286
567.00000000	0.35186979
