#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/26
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7006	0.5947	0.1684
#xyY coordinates: 0.4787	0.4063	0.5947
#sRGB: 255	89	19
#CCT Lindbloom (K):	2425
#CCT McCamy (K):	2410
#CCT Hernández-Andrés (K):	2277
#Melatonin: 0.259
#Chlorophyll a: 0.214
#Chlorophyll b: 0.549
#Beta Carotene: 0.216
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Riba-Roja de Turia streetlamps
#Begin Processed Spectral Data
W	S
300.00000000	0.00096265
301.00000000	0.00078653
302.00000000	0.00502786
303.00000000	0.00000000
304.00000000	0.00052589
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00060531
308.00000000	0.00000112
309.00000000	0.00014797
310.00000000	0.00077501
311.00000000	0.00161656
312.00000000	0.00104182
313.00000000	0.00000000
314.00000000	0.00021050
315.00000000	0.00000000
316.00000000	0.00284212
317.00000000	0.00000000
318.00000000	0.00002262
319.00000000	0.00187265
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00007266
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00094423
326.00000000	0.00039845
327.00000000	0.00035666
328.00000000	0.00000431
329.00000000	0.00040772
330.00000000	0.00000000
331.00000000	0.00013232
332.00000000	0.00257536
333.00000000	0.00000000
334.00000000	0.00263684
335.00000000	0.00000000
336.00000000	0.00244040
337.00000000	0.00000000
338.00000000	0.00162060
339.00000000	0.00165581
340.00000000	0.00000000
341.00000000	0.00277888
342.00000000	0.00009928
343.00000000	0.00077983
344.00000000	0.00035576
345.00000000	0.00003255
346.00000000	0.00000000
347.00000000	0.00000000
348.00000000	0.00000000
349.00000000	0.00000000
350.00000000	0.00146432
351.00000000	0.00012901
352.00000000	0.00000000
353.00000000	0.00032356
354.00000000	0.00000832
355.00000000	0.00097664
356.00000000	0.00077590
357.00000000	0.00000000
358.00000000	0.00000000
359.00000000	0.00078479
360.00000000	0.00000000
361.00000000	0.00004869
362.00000000	0.00000000
363.00000000	0.00000000
364.00000000	0.00000000
365.00000000	0.00000000
366.00000000	0.00000000
367.00000000	0.00000172
368.00000000	0.00000000
369.00000000	0.00000000
370.00000000	0.00044182
371.00000000	0.00085559
372.00000000	0.00000000
373.00000000	0.00011412
374.00000000	0.00003926
375.00000000	0.00000000
376.00000000	0.00021263
377.00000000	0.00009682
378.00000000	0.00118478
379.00000000	0.00000000
380.00000000	0.00000019
381.00000000	0.00000000
382.00000000	0.00006967
383.00000000	0.00032271
384.00000000	0.00022015
385.00000000	0.00002630
386.00000000	0.00037300
387.00000000	0.00040246
388.00000000	0.00184596
389.00000000	0.00029207
390.00000000	0.00060281
391.00000000	0.00050544
392.00000000	0.00016291
393.00000000	0.00088722
394.00000000	0.00082255
395.00000000	0.00054791
396.00000000	0.00046200
397.00000000	0.00082943
398.00000000	0.00000000
399.00000000	0.00000000
400.00000000	0.00000000
401.00000000	0.00000126
402.00000000	0.00088679
403.00000000	0.00000000
404.00000000	0.00043024
405.00000000	0.00003138
406.00000000	0.00023889
407.00000000	0.00169430
408.00000000	0.00070314
409.00000000	0.00124350
410.00000000	0.00222366
411.00000000	0.00237526
412.00000000	0.00321632
