#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/30
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7458	0.6657	0.2113
#xyY coordinates: 0.4596	0.4102	0.6657
#sRGB: 255	106	26
#CCT Lindbloom (K):	2701
#CCT McCamy (K):	2698
#CCT Hernández-Andrés (K):	2611
#Melatonin: 0.286
#Chlorophyll a: 0.203
#Chlorophyll b: 0.532
#Beta Carotene: 0.203
#Manufacturer: Attralux
#Luminance manufacturer: 470 lm
#Other data: Attralux warm white 5.5 watt 2700K.
#Begin Processed Spectral Data
W	S
300.00000000	0.00114352
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00207875
305.00000000	0.00053169
306.00000000	0.00720796
307.00000000	0.00608899
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00064737
311.00000000	0.00000000
312.00000000	0.00048304
313.00000000	0.00000000
314.00000000	0.00008430
315.00000000	0.00138181
316.00000000	0.00000000
317.00000000	0.00479777
318.00000000	0.00000000
319.00000000	0.00000000
320.00000000	0.00000000
321.00000000	0.00053601
322.00000000	0.00000000
323.00000000	0.00003325
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00081916
327.00000000	0.00000691
328.00000000	0.00000000
329.00000000	0.00009445
330.00000000	0.00174616
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00202978
334.00000000	0.00000000
335.00000000	0.00013792
336.00000000	0.00000000
337.00000000	0.00000000
338.00000000	0.00125292
339.00000000	0.00186596
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00000000
344.00000000	0.00000000
345.00000000	0.00000000
346.00000000	0.00000000
347.00000000	0.00254971
348.00000000	0.00000000
349.00000000	0.00077081
350.00000000	0.00031219
351.00000000	0.00000000
352.00000000	0.00154707
353.00000000	0.00000000
354.00000000	0.00045342
355.00000000	0.00276085
356.00000000	0.00307606
357.00000000	0.00275741
358.00000000	0.00038796
359.00000000	0.00000000
360.00000000	0.00292379
361.00000000	0.00173804
362.00000000	0.00056596
363.00000000	0.00037559
364.00000000	0.00000000
365.00000000	0.00009615
366.00000000	0.00000000
367.00000000	0.00113501
368.00000000	0.00000000
369.00000000	0.00042971
