#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/26
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.8008	0.7186	0.2605
#xyY coordinates: 0.4499	0.4037	0.7186
#sRGB: 255	109	33
#CCT Lindbloom (K):	2790
#CCT McCamy (K):	2790
#CCT Hernández-Andrés (K):	2719
#Melatonin: 0.307
#Chlorophyll a: 0.328
#Chlorophyll b: 0.599
#Beta Carotene: 0.328
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Riba-Roja de Turia streetlamps. Plaça de la Torre.
#Begin Processed Spectral Data
W	S
300.00000000	0.00167820
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00076855
304.00000000	0.00091622
305.00000000	0.00467621
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00002080
309.00000000	0.00000000
310.00000000	0.00223484
311.00000000	0.00250452
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00466583
315.00000000	0.00143430
316.00000000	0.00390159
317.00000000	0.00000000
318.00000000	0.00001300
319.00000000	0.00107532
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00027068
323.00000000	0.00000000
324.00000000	0.00244845
325.00000000	0.00000000
326.00000000	0.00036693
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00356242
330.00000000	0.00021994
331.00000000	0.00000000
332.00000000	0.00173970
333.00000000	0.00009285
334.00000000	0.00154126
335.00000000	0.00000000
336.00000000	0.00464859
337.00000000	0.00003376
338.00000000	0.00000000
339.00000000	0.00089192
340.00000000	0.00259294
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00043465
344.00000000	0.00000000
345.00000000	0.00441171
346.00000000	0.00096758
347.00000000	0.00088740
348.00000000	0.00000000
349.00000000	0.00000000
350.00000000	0.00172125
351.00000000	0.00000000
352.00000000	0.00020619
353.00000000	0.00000000
354.00000000	0.00058488
355.00000000	0.00000565
356.00000000	0.00000000
357.00000000	0.00000000
358.00000000	0.00003636
359.00000000	0.00000000
360.00000000	0.00068074
361.00000000	0.00056065
362.00000000	0.00122821
363.00000000	0.00000003
364.00000000	0.00002868
365.00000000	0.00005066
366.00000000	0.00000000
367.00000000	0.00000000
368.00000000	0.00002282
369.00000000	0.00000000
370.00000000	0.00032090
371.00000000	0.00000486
372.00000000	0.00005182
373.00000000	0.00000000
374.00000000	0.00000000
375.00000000	0.00000000
376.00000000	0.00000183
377.00000000	0.00003853
378.00000000	0.00071536
379.00000000	0.00000000
380.00000000	0.00129715
381.00000000	0.00015936
382.00000000	0.00000000
383.00000000	0.00003963
384.00000000	0.00176575
385.00000000	0.00005237
386.00000000	0.00000000
387.00000000	0.00005453
388.00000000	0.00001696
389.00000000	0.00000013
390.00000000	0.00045462
391.00000000	0.00033207
392.00000000	0.00000000
393.00000000	0.00006741
394.00000000	0.00045971
395.00000000	0.00044419
396.00000000	0.00003368
397.00000000	0.00099845
398.00000000	0.00000000
399.00000000	0.00000000
400.00000000	0.00000000
401.00000000	0.00007058
402.00000000	0.00069992
403.00000000	0.00016884
404.00000000	0.00149460
405.00000000	0.00014878
406.00000000	0.00074902
407.00000000	0.00112860
408.00000000	0.00185588
409.00000000	0.00166771
410.00000000	0.00144310
411.00000000	0.00182362
412.00000000	0.00262128
413.00000000	0.00263654
414.00000000	0.00320027
415.00000000	0.00452586
416.00000000	0.00603475
417.00000000	0.00649146
418.00000000	0.00702893
419.00000000	0.00827751
420.00000000	0.01039894
421.00000000	0.01129706
422.00000000	0.01681979
423.00000000	0.01732376
424.00000000	0.02030029
425.00000000	0.02240624
426.00000000	0.02745525
427.00000000	0.03308174
428.00000000	0.03611883
429.00000000	0.04177013
430.00000000	0.04748280
431.00000000	0.05385718
432.00000000	0.06004104
433.00000000	0.06934789
434.00000000	0.07821298
435.00000000	0.08849148
436.00000000	0.09887824
437.00000000	0.10886910
438.00000000	0.12277806
439.00000000	0.13681160
440.00000000	0.15139398
441.00000000	0.17126057
442.00000000	0.18872014
443.00000000	0.21377958
444.00000000	0.23515863
445.00000000	0.26978439
446.00000000	0.29972359
447.00000000	0.33660933
448.00000000	0.37552297
449.00000000	0.42389854
450.00000000	0.44283525
451.00000000	0.48137134
452.00000000	0.50747519
453.00000000	0.52663852
454.00000000	0.53536401
455.00000000	0.53362888
456.00000000	0.51907186
457.00000000	0.49871155
458.00000000	0.47547028
459.00000000	0.45307506
460.00000000	0.42316242
461.00000000	0.39376070
462.00000000	0.36354093
463.00000000	0.33866583
464.00000000	0.32553821
465.00000000	0.31031081
466.00000000	0.29327780
467.00000000	0.28589695
468.00000000	0.28210755
469.00000000	0.27060468
470.00000000	0.26095502
471.00000000	0.25206153
472.00000000	0.24218159
473.00000000	0.23126334
474.00000000	0.21972083
475.00000000	0.21103113
476.00000000	0.19760676
477.00000000	0.19138800
478.00000000	0.17992940
479.00000000	0.17645245
480.00000000	0.17237185
481.00000000	0.16906711
482.00000000	0.16568198
483.00000000	0.16648457
484.00000000	0.16756067
485.00000000	0.16722601
486.00000000	0.17212885
487.00000000	0.17330550
488.00000000	0.17468425
489.00000000	0.17877649
490.00000000	0.18379809
491.00000000	0.18771198
492.00000000	0.19248874
493.00000000	0.19868477
494.00000000	0.20469127
495.00000000	0.21132017
496.00000000	0.21608699
497.00000000	0.22722947
498.00000000	0.23580761
499.00000000	0.24287995
500.00000000	0.25241419
501.00000000	0.26088264
502.00000000	0.27409251
503.00000000	0.28360737
504.00000000	0.29008421
505.00000000	0.29896031
506.00000000	0.30851669
507.00000000	0.31784477
508.00000000	0.32817864
509.00000000	0.33882637
510.00000000	0.34707783
511.00000000	0.35821649
512.00000000	0.36521151
513.00000000	0.37366052
514.00000000	0.38259595
515.00000000	0.39051879
516.00000000	0.39684166
517.00000000	0.40481263
518.00000000	0.41146139
519.00000000	0.41575191
520.00000000	0.42371102
521.00000000	0.42877634
522.00000000	0.43514565
523.00000000	0.44292993
524.00000000	0.45342132
525.00000000	0.45604135
526.00000000	0.46022205
527.00000000	0.46885409
528.00000000	0.47606892
529.00000000	0.48033344
530.00000000	0.48797323
531.00000000	0.49218989
532.00000000	0.49727214
533.00000000	0.50270735
534.00000000	0.50645911
535.00000000	0.51448055
536.00000000	0.51752867
537.00000000	0.52448237
538.00000000	0.53080323
539.00000000	0.53792035
540.00000000	0.54372854
541.00000000	0.55319735
542.00000000	0.55825036
543.00000000	0.56579760
544.00000000	0.57095520
545.00000000	0.57759649
546.00000000	0.58357423
547.00000000	0.58934732
548.00000000	0.59939555
549.00000000	0.60365732
550.00000000	0.61206109
551.00000000	0.62038160
552.00000000	0.62848522
553.00000000	0.63794712
554.00000000	0.64508992
555.00000000	0.64920855
556.00000000	0.66410046
557.00000000	0.67157055
558.00000000	0.68223288
559.00000000	0.69073381
560.00000000	0.69892185
561.00000000	0.70914204
562.00000000	0.71504044
563.00000000	0.72521510
564.00000000	0.72831485
565.00000000	0.73777259
566.00000000	0.75143130
567.00000000	0.75912363
568.00000000	0.76685694
569.00000000	0.77536219
570.00000000	0.77935116
571.00000000	0.79084820
572.00000000	0.79963542
573.00000000	0.80450937
574.00000000	0.81213742
575.00000000	0.82036952
576.00000000	0.82492524
577.00000000	0.83347858
578.00000000	0.84173042
579.00000000	0.85394100
580.00000000	0.86202621
581.00000000	0.86692114
582.00000000	0.88021644
583.00000000	0.88385421
584.00000000	0.88685145
