#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7618	0.6875	0.2381
#xyY coordinates: 0.4515	0.4074	0.6875
#sRGB: 255	111	30
#CCT Lindbloom (K):	2796
#CCT McCamy (K):	2796
#CCT Hernández-Andrés (K):	2723
#Melatonin: 0.305
#Chlorophyll a: 0.239
#Chlorophyll b: 0.554
#Beta Carotene: 0.239
#Manufacturer: LAES
#Luminance manufacturer: 470lm
#Other data: Manufacturer 2700K
#Begin Processed Spectral Data
W	S
300.00000000	0.00186570
301.00000000	0.00223492
302.00000000	0.00531596
303.00000000	0.01160446
304.00000000	0.00011501
305.00000000	0.00008321
306.00000000	0.00000000
307.00000000	0.00554908
308.00000000	0.00001960
309.00000000	0.00086612
310.00000000	0.00252698
311.00000000	0.00000000
312.00000000	0.00248473
313.00000000	0.00277644
314.00000000	0.00008098
315.00000000	0.00173264
316.00000000	0.00643523
317.00000000	0.00000000
318.00000000	0.00096566
319.00000000	0.00000000
320.00000000	0.00243543
321.00000000	0.00292363
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00581878
325.00000000	0.00000000
326.00000000	0.00019156
327.00000000	0.00574028
328.00000000	0.00638530
329.00000000	0.00445455
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00615921
334.00000000	0.00023277
335.00000000	0.00000000
336.00000000	0.00000000
337.00000000	0.00000000
338.00000000	0.00164774
339.00000000	0.00249778
340.00000000	0.00000000
341.00000000	0.00000189
342.00000000	0.00005048
343.00000000	0.00000000
344.00000000	0.00000000
345.00000000	0.00082850
346.00000000	0.00000000
347.00000000	0.00000000
348.00000000	0.00209676
349.00000000	0.00000000
350.00000000	0.00000000
351.00000000	0.00010329
352.00000000	0.00011359
353.00000000	0.00000000
354.00000000	0.00001781
355.00000000	0.00000000
356.00000000	0.00000000
357.00000000	0.00285330
358.00000000	0.00217785
359.00000000	0.00002218
360.00000000	0.00000000
361.00000000	0.00070087
362.00000000	0.00012250
363.00000000	0.00051930
364.00000000	0.00015097
365.00000000	0.00062591
366.00000000	0.00016211
367.00000000	0.00124207
368.00000000	0.00002076
369.00000000	0.00095153
370.00000000	0.00061884
371.00000000	0.00000000
372.00000000	0.00000000
373.00000000	0.00000000
374.00000000	0.00000000
375.00000000	0.00107787
376.00000000	0.00130049
377.00000000	0.00069644
378.00000000	0.00000000
379.00000000	0.00034725
380.00000000	0.00222209
381.00000000	0.00010321
382.00000000	0.00003013
383.00000000	0.00000000
384.00000000	0.00000257
385.00000000	0.00000000
386.00000000	0.00000000
387.00000000	0.00030599
388.00000000	0.00005241
389.00000000	0.00170722
390.00000000	0.00015752
391.00000000	0.00107021
392.00000000	0.00333099
393.00000000	0.00134481
394.00000000	0.00069350
395.00000000	0.00046877
396.00000000	0.00000000
397.00000000	0.00229317
398.00000000	0.00046888
399.00000000	0.00000000
400.00000000	0.00162347
401.00000000	0.00187946
402.00000000	0.00058482
403.00000000	0.00214166
404.00000000	0.00221653
405.00000000	0.00378211
406.00000000	0.00381799
407.00000000	0.00292194
408.00000000	0.00472212
409.00000000	0.00374938
410.00000000	0.00634007
411.00000000	0.00692176
412.00000000	0.00917515
413.00000000	0.00786880
414.00000000	0.01126701
415.00000000	0.01313472
416.00000000	0.01340144
417.00000000	0.01344613
418.00000000	0.01826025
419.00000000	0.02020993
420.00000000	0.02304080
421.00000000	0.02533607
422.00000000	0.03077426
423.00000000	0.03305103
424.00000000	0.03623428
425.00000000	0.04035209
426.00000000	0.04468363
427.00000000	0.04879292
428.00000000	0.05287996
429.00000000	0.05610059
430.00000000	0.06470700
431.00000000	0.06834649
432.00000000	0.07213378
433.00000000	0.08271306
434.00000000	0.09163562
435.00000000	0.09996162
436.00000000	0.11019465
437.00000000	0.11252562
438.00000000	0.12497334
439.00000000	0.13338718
440.00000000	0.14705473
441.00000000	0.16337012
442.00000000	0.17464675
443.00000000	0.19356961
444.00000000	0.21146511
445.00000000	0.23195551
446.00000000	0.26231620
447.00000000	0.28251569
448.00000000	0.30674986
449.00000000	0.33848454
450.00000000	0.35797285
451.00000000	0.38467848
452.00000000	0.40079669
453.00000000	0.41025327
454.00000000	0.41803535
455.00000000	0.42010267
456.00000000	0.40546783
457.00000000	0.39267859
458.00000000	0.37715284
459.00000000	0.35861058
460.00000000	0.34243821
461.00000000	0.32809752
462.00000000	0.31050639
463.00000000	0.30631623
464.00000000	0.29529898
465.00000000	0.29123858
466.00000000	0.27899651
467.00000000	0.27300038
468.00000000	0.26873241
469.00000000	0.26085234
470.00000000	0.25621069
471.00000000	0.25014757
472.00000000	0.24159352
473.00000000	0.23853178
474.00000000	0.22428523
475.00000000	0.22587423
476.00000000	0.21614887
477.00000000	0.21302748
478.00000000	0.20689224
479.00000000	0.20308193
480.00000000	0.19666776
481.00000000	0.19670098
482.00000000	0.19471026
483.00000000	0.20148484
484.00000000	0.20040018
485.00000000	0.20180314
486.00000000	0.20598504
487.00000000	0.20588707
488.00000000	0.20829565
489.00000000	0.21388096
490.00000000	0.21382625
491.00000000	0.22097565
492.00000000	0.22106067
493.00000000	0.22682308
494.00000000	0.23426145
495.00000000	0.24135251
496.00000000	0.24718192
497.00000000	0.25222093
498.00000000	0.25888011
499.00000000	0.26302000
500.00000000	0.27069972
501.00000000	0.28205417
502.00000000	0.28970570
503.00000000	0.29445847
504.00000000	0.30854582
505.00000000	0.31164875
506.00000000	0.31427346
507.00000000	0.32519501
508.00000000	0.33630413
509.00000000	0.34315483
510.00000000	0.34641929
511.00000000	0.35979119
512.00000000	0.36329593
513.00000000	0.36656083
514.00000000	0.37797756
515.00000000	0.38144295
516.00000000	0.39387396
517.00000000	0.39485323
518.00000000	0.40019173
519.00000000	0.40430852
520.00000000	0.41048023
521.00000000	0.41196773
522.00000000	0.41730932
523.00000000	0.42558619
524.00000000	0.43116270
525.00000000	0.43595579
526.00000000	0.43830161
527.00000000	0.44721772
528.00000000	0.45225014
529.00000000	0.46108343
530.00000000	0.46332163
531.00000000	0.46782157
532.00000000	0.46810599
533.00000000	0.47123121
534.00000000	0.47583339
535.00000000	0.47905847
536.00000000	0.48542803
537.00000000	0.49086352
538.00000000	0.49355101
539.00000000	0.49859168
540.00000000	0.50530261
541.00000000	0.51704685
542.00000000	0.51996510
543.00000000	0.52720819
544.00000000	0.52709905
545.00000000	0.53256308
546.00000000	0.53677020
547.00000000	0.54701949
548.00000000	0.55221822
549.00000000	0.55721462
550.00000000	0.56507194
551.00000000	0.57367358
552.00000000	0.57840585
553.00000000	0.59077000
554.00000000	0.60102222
555.00000000	0.60443510
556.00000000	0.61842104
557.00000000	0.62170530
558.00000000	0.63373905
559.00000000	0.64520603
560.00000000	0.65123245
561.00000000	0.66525136
562.00000000	0.66624396
563.00000000	0.67505378
564.00000000	0.68105080
565.00000000	0.69102288
566.00000000	0.70135818
567.00000000	0.71229576
568.00000000	0.71981604
569.00000000	0.72603237
570.00000000	0.73462215
571.00000000	0.74720161
572.00000000	0.75613158
573.00000000	0.76115579
574.00000000	0.77553442
575.00000000	0.78838519
576.00000000	0.79705611
577.00000000	0.80024535
578.00000000	0.80644712
579.00000000	0.81563450
580.00000000	0.82782390
581.00000000	0.84102304
582.00000000	0.84871194
583.00000000	0.86681877
584.00000000	0.87551682
585.00000000	0.88584941
586.00000000	0.89317544
587.00000000	0.90192508
588.00000000	0.91528088
589.00000000	0.91457723
590.00000000	0.91990292
591.00000000	0.93104218
592.00000000	0.94064746
593.00000000	0.95072168
594.00000000	0.95034743
595.00000000	0.95582850
596.00000000	0.96106945
597.00000000	0.96232203
598.00000000	0.97210306
599.00000000	0.97975962
600.00000000	0.98587177
601.00000000	0.98576659
602.00000000	0.99357276
603.00000000	0.98992494
604.00000000	1.00000000
605.00000000	0.99316573
606.00000000	0.98912376
607.00000000	0.97930048
608.00000000	0.97441924
609.00000000	0.98003747
610.00000000	0.97710137
611.00000000	0.96776743
612.00000000	0.96989818
613.00000000	0.96452376
614.00000000	0.96395661
615.00000000	0.97626372
616.00000000	0.97570008
617.00000000	0.97380301
618.00000000	0.97307217
619.00000000	0.97039989
620.00000000	0.96191905
621.00000000	0.94450452
622.00000000	0.94640717
623.00000000	0.93750654
624.00000000	0.92921781
625.00000000	0.92172333
626.00000000	0.90974521
627.00000000	0.90512484
628.00000000	0.89621735
629.00000000	0.88629948
630.00000000	0.87604162
631.00000000	0.86554892
632.00000000	0.84696068
633.00000000	0.84475128
634.00000000	0.83618029
635.00000000	0.83527375
636.00000000	0.80567756
637.00000000	0.80358597
638.00000000	0.78842349
639.00000000	0.77205143
640.00000000	0.76870355
641.00000000	0.75912810
642.00000000	0.74992811
643.00000000	0.73086314
644.00000000	0.72580906
645.00000000	0.70806273
646.00000000	0.69890502
647.00000000	0.69558078
648.00000000	0.67122214
649.00000000	0.66475367
650.00000000	0.65843884
651.00000000	0.64169034
652.00000000	0.62714369
653.00000000	0.62418533
654.00000000	0.60241348
655.00000000	0.59377045
656.00000000	0.58368454
657.00000000	0.56662597
658.00000000	0.55256776
659.00000000	0.54644374
660.00000000	0.53447799
661.00000000	0.52619057
662.00000000	0.51658141
663.00000000	0.51008166
664.00000000	0.49194545
665.00000000	0.48040343
666.00000000	0.46765098
667.00000000	0.46628564
668.00000000	0.45111601
669.00000000	0.44085007
670.00000000	0.43522869
671.00000000	0.42388053
672.00000000	0.41681844
673.00000000	0.41005605
674.00000000	0.39535342
675.00000000	0.39001122
676.00000000	0.37793890
677.00000000	0.36990620
678.00000000	0.35743757
679.00000000	0.35274660
680.00000000	0.34422258
681.00000000	0.33310785
682.00000000	0.32318703
683.00000000	0.31889704
684.00000000	0.30963403
685.00000000	0.29712567
686.00000000	0.29380583
687.00000000	0.28473100
688.00000000	0.27695671
689.00000000	0.27150494
690.00000000	0.26322937
691.00000000	0.26025427
692.00000000	0.25239985
693.00000000	0.24627680
694.00000000	0.23778807
695.00000000	0.23421495
696.00000000	0.22915499
697.00000000	0.22268733
698.00000000	0.21379843
699.00000000	0.20715639
700.00000000	0.20422276
701.00000000	0.20437446
