#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7549	0.6893	0.2475
#xyY coordinates: 0.4462	0.4075	0.6893
#sRGB: 255	115	33
#CCT Lindbloom (K):	2877
#CCT McCamy (K):	2879
#CCT Hernández-Andrés (K):	2814
#Melatonin: 0.313
#Chlorophyll a: 0.159
#Chlorophyll b: 0.557
#Beta Carotene: 0.160
#Manufacturer: Prilux
#Luminance manufacturer: 480lm
#Other data: Prilux Basic esSENSE BALL. 3000K. 5W
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00099020
303.00000000	0.00591126
304.00000000	0.00000000
305.00000000	0.00042089
306.00000000	0.00412782
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00016540
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00379974
313.00000000	0.00000000
314.00000000	0.00020959
315.00000000	0.00000000
316.00000000	0.00095356
317.00000000	0.00416898
318.00000000	0.00243616
319.00000000	0.00103827
320.00000000	0.00000000
321.00000000	0.00413343
322.00000000	0.01196537
323.00000000	0.00000877
324.00000000	0.00432685
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00001204
328.00000000	0.00230824
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00156394
333.00000000	0.00000000
334.00000000	0.00024066
335.00000000	0.00572965
336.00000000	0.00000000
337.00000000	0.00013028
338.00000000	0.00000000
339.00000000	0.00336482
340.00000000	0.00000426
341.00000000	0.00000105
342.00000000	0.00000000
343.00000000	0.00000000
344.00000000	0.00000000
345.00000000	0.00000000
346.00000000	0.00228340
347.00000000	0.00037050
348.00000000	0.00000000
349.00000000	0.00163332
350.00000000	0.00000649
351.00000000	0.00022248
352.00000000	0.00086067
353.00000000	0.00000000
354.00000000	0.00002739
355.00000000	0.00015025
356.00000000	0.00187379
357.00000000	0.00000000
358.00000000	0.00000000
359.00000000	0.00074009
360.00000000	0.00017239
361.00000000	0.00270868
362.00000000	0.00000000
363.00000000	0.00059190
364.00000000	0.00155135
365.00000000	0.00116921
366.00000000	0.00116834
367.00000000	0.00225427
368.00000000	0.00007203
369.00000000	0.00000000
370.00000000	0.00084410
371.00000000	0.00122097
372.00000000	0.00001869
373.00000000	0.00132360
374.00000000	0.00272177
375.00000000	0.00018511
376.00000000	0.00000000
377.00000000	0.00134814
378.00000000	0.00049593
379.00000000	0.00000000
380.00000000	0.00000032
381.00000000	0.00000000
382.00000000	0.00090431
383.00000000	0.00066804
384.00000000	0.00145211
385.00000000	0.00000209
386.00000000	0.00098562
387.00000000	0.00003158
388.00000000	0.00274187
389.00000000	0.00191261
390.00000000	0.00022302
391.00000000	0.00149895
392.00000000	0.00000000
393.00000000	0.00090597
394.00000000	0.00000000
395.00000000	0.00078628
396.00000000	0.00004195
397.00000000	0.00039023
398.00000000	0.00060107
399.00000000	0.00070555
400.00000000	0.00000000
401.00000000	0.00089755
402.00000000	0.00033158
403.00000000	0.00039958
404.00000000	0.00000000
405.00000000	0.00383539
406.00000000	0.00033648
407.00000000	0.00006453
408.00000000	0.00006327
409.00000000	0.00075651
410.00000000	0.00286978
411.00000000	0.00426029
412.00000000	0.00559802
413.00000000	0.00670406
414.00000000	0.00569406
415.00000000	0.00774864
416.00000000	0.00865771
417.00000000	0.01217033
418.00000000	0.01244019
419.00000000	0.01308844
420.00000000	0.02096090
421.00000000	0.02367691
422.00000000	0.02261536
423.00000000	0.03388128
424.00000000	0.03219731
425.00000000	0.03870918
426.00000000	0.04597971
427.00000000	0.04968171
428.00000000	0.05752579
429.00000000	0.06738204
430.00000000	0.07905427
431.00000000	0.08629858
432.00000000	0.09489796
433.00000000	0.11237751
434.00000000	0.12902369
435.00000000	0.14098918
436.00000000	0.16301445
437.00000000	0.17975420
438.00000000	0.20543389
439.00000000	0.23927917
440.00000000	0.26911330
441.00000000	0.29250394
442.00000000	0.31880284
443.00000000	0.36169978
444.00000000	0.38184791
445.00000000	0.40731042
446.00000000	0.43296623
447.00000000	0.44503190
448.00000000	0.45310734
449.00000000	0.46085071
450.00000000	0.44681109
451.00000000	0.44235579
452.00000000	0.41617191
453.00000000	0.39203072
454.00000000	0.36694784
455.00000000	0.35011659
456.00000000	0.32212226
457.00000000	0.30713899
458.00000000	0.29136229
459.00000000	0.27767935
460.00000000	0.26579853
461.00000000	0.26629990
462.00000000	0.25812865
463.00000000	0.23884010
464.00000000	0.23295598
465.00000000	0.22743206
466.00000000	0.21267790
467.00000000	0.20268979
468.00000000	0.19331812
469.00000000	0.18247439
470.00000000	0.17761456
471.00000000	0.17128478
472.00000000	0.16720303
473.00000000	0.15874387
474.00000000	0.14883180
475.00000000	0.15104355
476.00000000	0.14835449
477.00000000	0.14707768
478.00000000	0.14444483
479.00000000	0.14845718
480.00000000	0.14900218
481.00000000	0.15241073
482.00000000	0.15446558
483.00000000	0.15734046
484.00000000	0.16287436
485.00000000	0.16685522
486.00000000	0.16997688
487.00000000	0.17365538
488.00000000	0.18181216
489.00000000	0.18242638
490.00000000	0.19157892
491.00000000	0.20007093
492.00000000	0.20718157
493.00000000	0.22031968
494.00000000	0.22465732
495.00000000	0.23457683
496.00000000	0.24414095
497.00000000	0.25152167
498.00000000	0.26240382
499.00000000	0.27132336
500.00000000	0.27784639
501.00000000	0.29308917
502.00000000	0.30043331
503.00000000	0.31132401
504.00000000	0.31778374
505.00000000	0.33011248
506.00000000	0.33513397
507.00000000	0.34889908
508.00000000	0.35501349
509.00000000	0.36428356
510.00000000	0.36866915
511.00000000	0.38388543
512.00000000	0.39294310
513.00000000	0.39319483
514.00000000	0.41155708
515.00000000	0.41906639
516.00000000	0.42285852
517.00000000	0.42690461
518.00000000	0.43881125
519.00000000	0.43842427
520.00000000	0.44479316
521.00000000	0.44897484
522.00000000	0.45321416
523.00000000	0.45987859
524.00000000	0.47180153
525.00000000	0.47227380
526.00000000	0.48096505
527.00000000	0.48651306
528.00000000	0.48416313
529.00000000	0.49301086
530.00000000	0.49657445
531.00000000	0.50169345
532.00000000	0.49812943
533.00000000	0.50294407
534.00000000	0.50848362
535.00000000	0.51093901
536.00000000	0.51529673
537.00000000	0.52265074
538.00000000	0.52610775
539.00000000	0.52529720
540.00000000	0.52911409
541.00000000	0.54077516
542.00000000	0.54540165
543.00000000	0.55432696
544.00000000	0.54758725
545.00000000	0.55245137
546.00000000	0.55629944
547.00000000	0.56314971
548.00000000	0.56625033
549.00000000	0.56804553
550.00000000	0.57817118
551.00000000	0.58278658
552.00000000	0.58562636
553.00000000	0.59475159
554.00000000	0.59957079
555.00000000	0.61373290
556.00000000	0.61590787
557.00000000	0.62768867
558.00000000	0.63828383
559.00000000	0.64400357
560.00000000	0.64449229
561.00000000	0.65334251
562.00000000	0.65897222
563.00000000	0.66681008
564.00000000	0.66951281
565.00000000	0.67952072
