#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7978	0.7191	0.3654
#xyY coordinates: 0.4239	0.3820	0.7191
#sRGB: 255	116	56
#CCT Lindbloom (K):	3045
#CCT McCamy (K):	3053
#CCT Hernández-Andrés (K):	3025
#Melatonin: 0.380
#Chlorophyll a: 0.175
#Chlorophyll b: 0.681
#Beta Carotene: 0.176
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp at Moncloa intermodal transportation hub
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00867403
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00189230
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00189173
315.00000000	0.00000000
316.00000000	0.00053015
317.00000000	0.00112363
318.00000000	0.00325000
319.00000000	0.00000000
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00053776
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00019874
333.00000000	0.00029423
334.00000000	0.00173693
335.00000000	0.00100115
336.00000000	0.00468365
337.00000000	0.00000000
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00000000
344.00000000	0.00000000
345.00000000	0.00098090
346.00000000	0.00176895
347.00000000	0.00000000
348.00000000	0.00131232
349.00000000	0.00138842
350.00000000	0.00000000
351.00000000	0.00000000
352.00000000	0.00307036
353.00000000	0.00327268
354.00000000	0.00188613
355.00000000	0.00368767
356.00000000	0.00000000
357.00000000	0.00000000
358.00000000	0.00000000
359.00000000	0.00228733
360.00000000	0.00000000
361.00000000	0.00053116
362.00000000	0.00000000
363.00000000	0.00064403
364.00000000	0.00000000
365.00000000	0.00000000
366.00000000	0.00000000
367.00000000	0.00316255
368.00000000	0.00192590
369.00000000	0.00000000
370.00000000	0.00434735
371.00000000	0.00274727
372.00000000	0.00420634
373.00000000	0.00277771
374.00000000	0.00025000
375.00000000	0.00224870
376.00000000	0.00000000
377.00000000	0.00000000
378.00000000	0.00196869
379.00000000	0.00067906
380.00000000	0.00000000
381.00000000	0.00000000
382.00000000	0.00000000
383.00000000	0.00000000
384.00000000	0.00038067
385.00000000	0.00000000
386.00000000	0.00000000
387.00000000	0.00169873
388.00000000	0.00000000
389.00000000	0.00000000
390.00000000	0.00000000
391.00000000	0.00252369
392.00000000	0.00254954
393.00000000	0.00129135
394.00000000	0.00078188
395.00000000	0.00214503
396.00000000	0.00118222
397.00000000	0.00370275
398.00000000	0.00264790
399.00000000	0.00246683
400.00000000	0.00195749
401.00000000	0.00213670
402.00000000	0.00330528
403.00000000	0.00220347
404.00000000	0.00601406
405.00000000	0.00685467
406.00000000	0.00586760
407.00000000	0.00694313
408.00000000	0.00873663
409.00000000	0.01016972
410.00000000	0.01033600
411.00000000	0.01423318
412.00000000	0.01553085
413.00000000	0.01925083
414.00000000	0.02226634
415.00000000	0.02749479
416.00000000	0.03265346
417.00000000	0.03523272
418.00000000	0.04553784
419.00000000	0.05402232
420.00000000	0.05885962
421.00000000	0.07152273
422.00000000	0.08435600
423.00000000	0.10007596
424.00000000	0.11169901
425.00000000	0.12793161
426.00000000	0.14662644
427.00000000	0.16781682
428.00000000	0.19052888
429.00000000	0.21836026
430.00000000	0.23755609
431.00000000	0.25821100
432.00000000	0.28233934
433.00000000	0.31068924
434.00000000	0.33213522
435.00000000	0.36531395
436.00000000	0.38459436
437.00000000	0.40817001
438.00000000	0.43790761
439.00000000	0.46391748
440.00000000	0.50166887
441.00000000	0.53493131
442.00000000	0.56323598
443.00000000	0.61240736
444.00000000	0.63949004
445.00000000	0.67890741
446.00000000	0.70527081
447.00000000	0.72366438
448.00000000	0.74113621
449.00000000	0.74928052
450.00000000	0.73099378
451.00000000	0.72408727
452.00000000	0.69893323
453.00000000	0.65820957
454.00000000	0.60718236
455.00000000	0.56826685
456.00000000	0.51328775
457.00000000	0.46343213
458.00000000	0.42133684
459.00000000	0.37618111
460.00000000	0.34703741
461.00000000	0.31440176
462.00000000	0.28830085
463.00000000	0.26315025
464.00000000	0.25010504
465.00000000	0.23178858
466.00000000	0.21540463
467.00000000	0.20170232
468.00000000	0.19475747
469.00000000	0.18268727
470.00000000	0.16634927
471.00000000	0.15898254
472.00000000	0.14678425
473.00000000	0.14053598
474.00000000	0.13249220
475.00000000	0.12627552
476.00000000	0.11947700
477.00000000	0.11239530
478.00000000	0.10807164
479.00000000	0.10644830
480.00000000	0.10230212
481.00000000	0.10077498
482.00000000	0.09763642
483.00000000	0.09988613
484.00000000	0.10006878
485.00000000	0.10010138
486.00000000	0.09963196
487.00000000	0.10111602
488.00000000	0.10476866
489.00000000	0.10468394
490.00000000	0.11055943
491.00000000	0.11473605
492.00000000	0.11832723
493.00000000	0.12458067
494.00000000	0.12968936
495.00000000	0.13524636
496.00000000	0.14362688
497.00000000	0.15327663
498.00000000	0.15718099
499.00000000	0.16924933
500.00000000	0.17808016
501.00000000	0.18954941
502.00000000	0.20191413
503.00000000	0.20820892
504.00000000	0.21984920
505.00000000	0.22546880
506.00000000	0.24062918
507.00000000	0.25148600
508.00000000	0.26690556
509.00000000	0.27903564
510.00000000	0.28828075
511.00000000	0.29877413
512.00000000	0.31372959
513.00000000	0.31751333
514.00000000	0.33611798
515.00000000	0.34626415
516.00000000	0.35633737
517.00000000	0.36499258
518.00000000	0.37071931
519.00000000	0.38258546
520.00000000	0.39554194
521.00000000	0.40560625
522.00000000	0.41745359
523.00000000	0.42062016
524.00000000	0.43472181
525.00000000	0.44783738
526.00000000	0.45145426
527.00000000	0.46100609
528.00000000	0.47525032
529.00000000	0.48019417
530.00000000	0.49146397
531.00000000	0.49686675
532.00000000	0.50753546
533.00000000	0.50733170
534.00000000	0.51695058
535.00000000	0.53055021
536.00000000	0.53248832
537.00000000	0.54016307
538.00000000	0.54509988
539.00000000	0.56629471
540.00000000	0.56778796
541.00000000	0.57869719
542.00000000	0.58664505
543.00000000	0.59863441
544.00000000	0.60289015
545.00000000	0.61130082
546.00000000	0.61451879
547.00000000	0.62763724
548.00000000	0.64028125
549.00000000	0.64218030
550.00000000	0.65252189
551.00000000	0.66050925
552.00000000	0.66731912
553.00000000	0.68307398
554.00000000	0.69315969
555.00000000	0.69629710
556.00000000	0.71494857
557.00000000	0.72576533
558.00000000	0.73931054
559.00000000	0.74689396
560.00000000	0.76358951
561.00000000	0.76662670
562.00000000	0.78063975
563.00000000	0.78534767
564.00000000	0.79422430
565.00000000	0.80371539
