#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.8057	0.7208	0.4124
#xyY coordinates: 0.4155	0.3718	0.7208
#sRGB: 255	116	66
#CCT Lindbloom (K):	3114
#CCT McCamy (K):	3126
#CCT Hernández-Andrés (K):	3114
#Melatonin: 0.416
#Chlorophyll a: 0.175
#Chlorophyll b: 0.733
#Beta Carotene: 0.175
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.00164905
301.00000000	0.00000000
302.00000000	0.00367504
303.00000000	0.00000000
304.00000000	0.00287980
305.00000000	0.00073470
306.00000000	0.00315641
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00211535
311.00000000	0.00315372
312.00000000	0.00044705
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00065096
317.00000000	0.00000000
318.00000000	0.00395925
319.00000000	0.00000000
320.00000000	0.00318869
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00065464
325.00000000	0.00000000
326.00000000	0.00056464
327.00000000	0.01125969
328.00000000	0.00000000
329.00000000	0.00384439
330.00000000	0.00000000
331.00000000	0.00119444
332.00000000	0.00000000
333.00000000	0.00024737
334.00000000	0.00027172
335.00000000	0.00000000
336.00000000	0.00708026
337.00000000	0.00033912
338.00000000	0.00000000
339.00000000	0.00102467
340.00000000	0.00044897
341.00000000	0.00074084
342.00000000	0.00062255
343.00000000	0.00000000
344.00000000	0.00000000
345.00000000	0.00018935
346.00000000	0.00000000
347.00000000	0.00000000
348.00000000	0.00115002
349.00000000	0.00016314
350.00000000	0.00141369
351.00000000	0.00000000
352.00000000	0.00184029
353.00000000	0.00224197
354.00000000	0.00000000
355.00000000	0.00000000
356.00000000	0.00155430
357.00000000	0.00068230
358.00000000	0.00079430
359.00000000	0.00007502
360.00000000	0.00148461
361.00000000	0.00034238
362.00000000	0.00000000
363.00000000	0.00135176
364.00000000	0.00003665
365.00000000	0.00006143
366.00000000	0.00032366
367.00000000	0.00000000
368.00000000	0.00140553
369.00000000	0.00000000
370.00000000	0.00021112
371.00000000	0.00064581
372.00000000	0.00001784
373.00000000	0.00000000
374.00000000	0.00019702
375.00000000	0.00085615
376.00000000	0.00000862
377.00000000	0.00042814
378.00000000	0.00079720
379.00000000	0.00010183
380.00000000	0.00065092
381.00000000	0.00008979
382.00000000	0.00076832
383.00000000	0.00000000
384.00000000	0.00000000
385.00000000	0.00054396
386.00000000	0.00000000
387.00000000	0.00000000
388.00000000	0.00002167
389.00000000	0.00000000
390.00000000	0.00104814
391.00000000	0.00000000
392.00000000	0.00012982
393.00000000	0.00217855
394.00000000	0.00276913
395.00000000	0.00178248
396.00000000	0.00132928
397.00000000	0.00031753
398.00000000	0.00118792
399.00000000	0.00185899
400.00000000	0.00311059
401.00000000	0.00480223
402.00000000	0.00333632
403.00000000	0.00092838
404.00000000	0.00004625
405.00000000	0.00214244
406.00000000	0.00363074
407.00000000	0.00662308
408.00000000	0.00712598
409.00000000	0.00925704
410.00000000	0.01150140
411.00000000	0.01317238
412.00000000	0.01721980
413.00000000	0.01903580
414.00000000	0.02221829
415.00000000	0.02831757
416.00000000	0.03773906
417.00000000	0.04194842
418.00000000	0.04782849
419.00000000	0.05584948
420.00000000	0.06799011
421.00000000	0.07920275
422.00000000	0.09450992
423.00000000	0.11446530
424.00000000	0.12680666
425.00000000	0.15468566
426.00000000	0.17412582
427.00000000	0.19732374
428.00000000	0.22021835
429.00000000	0.24913211
430.00000000	0.27919465
431.00000000	0.31441651
432.00000000	0.34077070
433.00000000	0.37045611
434.00000000	0.40058624
435.00000000	0.43313444
436.00000000	0.46655601
437.00000000	0.49843589
438.00000000	0.52790918
439.00000000	0.56774746
440.00000000	0.59799423
441.00000000	0.62653905
442.00000000	0.66621573
443.00000000	0.70818775
444.00000000	0.73955891
445.00000000	0.78374898
446.00000000	0.81033876
447.00000000	0.84584612
448.00000000	0.86476735
449.00000000	0.87222425
450.00000000	0.86479351
451.00000000	0.83169924
452.00000000	0.79666049
453.00000000	0.73562222
454.00000000	0.68812297
455.00000000	0.62047846
456.00000000	0.55942048
457.00000000	0.49349399
458.00000000	0.44994628
459.00000000	0.39271073
460.00000000	0.36038092
461.00000000	0.32973636
462.00000000	0.30627820
463.00000000	0.28006907
464.00000000	0.26654985
465.00000000	0.23914775
466.00000000	0.22293348
467.00000000	0.21137177
468.00000000	0.20488204
469.00000000	0.19050454
470.00000000	0.17623159
471.00000000	0.16685264
472.00000000	0.15152034
473.00000000	0.14191689
474.00000000	0.12971299
475.00000000	0.12237468
476.00000000	0.11490366
477.00000000	0.11497524
478.00000000	0.10547903
479.00000000	0.10399725
480.00000000	0.10272373
481.00000000	0.10458085
482.00000000	0.09997957
483.00000000	0.10298411
484.00000000	0.10008911
485.00000000	0.10223988
486.00000000	0.10325979
487.00000000	0.10243106
488.00000000	0.10566321
489.00000000	0.10792406
490.00000000	0.10909125
491.00000000	0.11381903
492.00000000	0.12147987
493.00000000	0.12440221
494.00000000	0.13580668
495.00000000	0.13405463
496.00000000	0.14369903
497.00000000	0.15852049
498.00000000	0.16104314
499.00000000	0.17469837
500.00000000	0.18460811
501.00000000	0.19444509
502.00000000	0.20674372
503.00000000	0.21665678
504.00000000	0.22569553
505.00000000	0.24197171
506.00000000	0.24530610
507.00000000	0.26081580
508.00000000	0.27325655
509.00000000	0.28289132
510.00000000	0.29283907
511.00000000	0.30464443
512.00000000	0.32000186
513.00000000	0.32309698
514.00000000	0.34187561
515.00000000	0.35541557
516.00000000	0.36374845
517.00000000	0.37205698
518.00000000	0.37869890
519.00000000	0.39145916
520.00000000	0.39791149
521.00000000	0.41043182
