#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.8006	0.7304	0.3794
#xyY coordinates: 0.4191	0.3823	0.7304
#sRGB: 255	121	59
#CCT Lindbloom (K):	3140
#CCT McCamy (K):	3150
#CCT Hernández-Andrés (K):	3129
#Melatonin: 0.387
#Chlorophyll a: 0.182
#Chlorophyll b: 0.686
#Beta Carotene: 0.183
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp at Calle Espoz y Mina
#Begin Processed Spectral Data
W	S
300.00000000	0.00022841
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00024612
313.00000000	0.00098125
314.00000000	0.00098320
315.00000000	0.00709747
316.00000000	0.00248482
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00387882
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00431434
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00273956
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00181944
333.00000000	0.00357401
334.00000000	0.00000000
335.00000000	0.00000000
336.00000000	0.00000000
337.00000000	0.00000000
338.00000000	0.00291903
339.00000000	0.00000000
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00000000
344.00000000	0.00000000
345.00000000	0.00000000
346.00000000	0.00000000
347.00000000	0.00000000
348.00000000	0.00173620
349.00000000	0.00228763
350.00000000	0.00000000
351.00000000	0.00000000
352.00000000	0.00000000
353.00000000	0.00164874
354.00000000	0.00237720
355.00000000	0.00000000
356.00000000	0.00000000
357.00000000	0.00000000
358.00000000	0.00111423
359.00000000	0.00000000
360.00000000	0.00023166
361.00000000	0.00116316
362.00000000	0.00082161
363.00000000	0.00000000
364.00000000	0.00140717
365.00000000	0.00000000
366.00000000	0.00000000
367.00000000	0.00000000
368.00000000	0.00000000
369.00000000	0.00068083
370.00000000	0.00000000
371.00000000	0.00000000
372.00000000	0.00129484
373.00000000	0.00000000
374.00000000	0.00071968
375.00000000	0.00000000
376.00000000	0.00000000
377.00000000	0.00151170
378.00000000	0.00000000
379.00000000	0.00000000
380.00000000	0.00222927
381.00000000	0.00000000
382.00000000	0.00000000
383.00000000	0.00000000
384.00000000	0.00130866
385.00000000	0.00210084
386.00000000	0.00000000
387.00000000	0.00051078
388.00000000	0.00169995
389.00000000	0.00164533
390.00000000	0.00000000
391.00000000	0.00000000
392.00000000	0.00000000
393.00000000	0.00000000
394.00000000	0.00000000
395.00000000	0.00088241
396.00000000	0.00071090
397.00000000	0.00000650
398.00000000	0.00000000
399.00000000	0.00204394
400.00000000	0.00226194
401.00000000	0.00115844
402.00000000	0.00006308
403.00000000	0.00162761
404.00000000	0.00092630
405.00000000	0.00343453
406.00000000	0.00166858
407.00000000	0.00536354
408.00000000	0.00743544
409.00000000	0.00930983
410.00000000	0.00876702
411.00000000	0.01115105
412.00000000	0.01435831
413.00000000	0.01523503
414.00000000	0.01864956
415.00000000	0.02158941
416.00000000	0.02775586
417.00000000	0.03117364
418.00000000	0.03589245
419.00000000	0.04753363
420.00000000	0.05340600
421.00000000	0.06166370
422.00000000	0.07227714
423.00000000	0.08774822
424.00000000	0.09942549
425.00000000	0.10845375
426.00000000	0.12637063
427.00000000	0.14463232
428.00000000	0.16455802
429.00000000	0.18293529
430.00000000	0.20322141
431.00000000	0.23309225
432.00000000	0.25371374
433.00000000	0.28013981
434.00000000	0.29588334
435.00000000	0.32851390
436.00000000	0.35427833
437.00000000	0.37493152
438.00000000	0.40572687
439.00000000	0.44026173
440.00000000	0.45846001
441.00000000	0.49337804
442.00000000	0.52481748
443.00000000	0.55878791
444.00000000	0.58322645
445.00000000	0.62565274
446.00000000	0.65360921
447.00000000	0.69068643
448.00000000	0.72011542
449.00000000	0.73629610
450.00000000	0.75507393
451.00000000	0.74840238
452.00000000	0.74159233
453.00000000	0.72152861
454.00000000	0.68672649
455.00000000	0.65098295
456.00000000	0.61232998
457.00000000	0.55572500
458.00000000	0.51143017
459.00000000	0.46934738
460.00000000	0.42574085
461.00000000	0.39378462
462.00000000	0.35924521
463.00000000	0.32690141
464.00000000	0.30948589
465.00000000	0.29088623
466.00000000	0.26737757
467.00000000	0.25391629
468.00000000	0.24822762
469.00000000	0.22784381
470.00000000	0.21606997
471.00000000	0.20481634
472.00000000	0.19401107
473.00000000	0.18016159
474.00000000	0.17053606
475.00000000	0.15822543
476.00000000	0.15114682
477.00000000	0.14348346
478.00000000	0.13553334
479.00000000	0.13073374
480.00000000	0.12802328
481.00000000	0.12661936
482.00000000	0.12342364
483.00000000	0.12191178
484.00000000	0.11975745
485.00000000	0.12260967
486.00000000	0.12157152
487.00000000	0.12236420
488.00000000	0.12369626
489.00000000	0.12498070
490.00000000	0.12511107
491.00000000	0.13211360
492.00000000	0.13692344
493.00000000	0.14123404
494.00000000	0.14585286
495.00000000	0.15421379
496.00000000	0.15739439
497.00000000	0.16845099
498.00000000	0.17811814
499.00000000	0.18651792
500.00000000	0.19441245
501.00000000	0.20048526
502.00000000	0.21464020
503.00000000	0.22633129
504.00000000	0.23152511
505.00000000	0.24567420
506.00000000	0.25505247
507.00000000	0.26777146
508.00000000	0.27973030
509.00000000	0.29601795
510.00000000	0.30324238
511.00000000	0.31739147
512.00000000	0.32728718
513.00000000	0.33367440
514.00000000	0.34925000
515.00000000	0.36317768
516.00000000	0.37010754
517.00000000	0.37879506
518.00000000	0.39112553
519.00000000	0.39800044
520.00000000	0.40552139
521.00000000	0.41268128
522.00000000	0.42524470
523.00000000	0.43632438
524.00000000	0.44752908
525.00000000	0.45846538
526.00000000	0.46782105
527.00000000	0.47427426
528.00000000	0.48394580
529.00000000	0.49495607
530.00000000	0.50144359
531.00000000	0.50524064
532.00000000	0.51987954
533.00000000	0.52338820
534.00000000	0.53348793
535.00000000	0.54547099
536.00000000	0.55067652
537.00000000	0.55599047
538.00000000	0.56458631
539.00000000	0.57822706
540.00000000	0.58834321
541.00000000	0.59588188
542.00000000	0.60203711
543.00000000	0.61580271
544.00000000	0.61522040
545.00000000	0.62602388
546.00000000	0.63056809
547.00000000	0.64758760
548.00000000	0.65551009
549.00000000	0.66358653
550.00000000	0.67276598
551.00000000	0.68377754
552.00000000	0.68531314
553.00000000	0.70334707
554.00000000	0.71611809
555.00000000	0.72587887
556.00000000	0.73157437
557.00000000	0.74289172
558.00000000	0.75697318
559.00000000	0.76757427
560.00000000	0.78290001
561.00000000	0.79097694
562.00000000	0.80266055
563.00000000	0.81203768
564.00000000	0.81178245
565.00000000	0.82466402
566.00000000	0.84115926
567.00000000	0.85343803
568.00000000	0.85664984
569.00000000	0.87168898
570.00000000	0.87211685
571.00000000	0.88610029
572.00000000	0.88044917
573.00000000	0.89289278
574.00000000	0.90406919
575.00000000	0.90837426
576.00000000	0.92260333
577.00000000	0.92598080
578.00000000	0.92595593
579.00000000	0.93570891
580.00000000	0.94168597
581.00000000	0.95247937
582.00000000	0.95538508
583.00000000	0.95707056
584.00000000	0.96832208
585.00000000	0.98419355
586.00000000	0.97623042
587.00000000	0.98684630
588.00000000	0.98236387
589.00000000	0.98913897
590.00000000	0.98292993
591.00000000	0.99425833
592.00000000	0.98440993
593.00000000	0.99340925
594.00000000	0.98710543
595.00000000	0.98898437
596.00000000	0.99629675
597.00000000	0.98836044
598.00000000	0.98995001
599.00000000	0.99137165
600.00000000	1.00000000
601.00000000	0.98231787
602.00000000	0.98122640
603.00000000	0.98747478
604.00000000	0.97168459
605.00000000	0.96496558
606.00000000	0.95689304
607.00000000	0.95094248
608.00000000	0.93657978
609.00000000	0.93347867
610.00000000	0.92288798
