#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/22
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7574	0.7579	0.4594
#xyY coordinates: 0.3836	0.3838	0.7579
#sRGB: 255	170	90
#CCT Lindbloom (K):	3969
#CCT McCamy (K):	3975
#CCT Hernández-Andrés (K):	3968
#Melatonin: 0.465
#Chlorophyll a: 0.094
#Chlorophyll b: 0.673
#Beta Carotene: 0.095
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data: New street lights on Villarrubia de los Ojos (Ciudad Real, Spain)
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00506135
302.00000000	0.00077177
303.00000000	0.01342965
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.01114980
307.00000000	0.00375814
308.00000000	0.00002839
309.00000000	0.00664557
310.00000000	0.00434618
311.00000000	0.00475578
312.00000000	0.00000000
313.00000000	0.00000199
314.00000000	0.00131874
315.00000000	0.00181839
316.00000000	0.00110997
317.00000000	0.00252700
318.00000000	0.00295955
319.00000000	0.00833007
320.00000000	0.00168750
321.00000000	0.00005609
322.00000000	0.00012999
323.00000000	0.00202175
324.00000000	0.00615565
325.00000000	0.00258420
326.00000000	0.00793519
327.00000000	0.00001091
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00157696
332.00000000	0.00079136
333.00000000	0.00000000
334.00000000	0.00262339
335.00000000	0.00000000
336.00000000	0.00013325
337.00000000	0.00140745
338.00000000	0.00541060
339.00000000	0.00315418
340.00000000	0.00227278
341.00000000	0.00106300
342.00000000	0.00000000
343.00000000	0.00182861
344.00000000	0.00000000
345.00000000	0.00417218
346.00000000	0.00000000
347.00000000	0.00004135
348.00000000	0.00121862
349.00000000	0.00017373
350.00000000	0.00126114
351.00000000	0.00088574
352.00000000	0.00398496
353.00000000	0.00059413
354.00000000	0.00083728
355.00000000	0.00012193
356.00000000	0.00227107
357.00000000	0.00000000
358.00000000	0.00400782
359.00000000	0.00001647
360.00000000	0.00078437
361.00000000	0.00084806
362.00000000	0.00145004
363.00000000	0.00000099
364.00000000	0.00000000
365.00000000	0.00110500
366.00000000	0.00000000
367.00000000	0.00312361
368.00000000	0.00008980
369.00000000	0.00164125
370.00000000	0.00101349
371.00000000	0.00003178
372.00000000	0.00118922
373.00000000	0.00263944
374.00000000	0.00013635
375.00000000	0.00311510
376.00000000	0.00148563
377.00000000	0.00205247
378.00000000	0.00123967
379.00000000	0.00022152
380.00000000	0.00259730
381.00000000	0.00000000
382.00000000	0.00109963
383.00000000	0.00024028
384.00000000	0.00373818
385.00000000	0.00368815
386.00000000	0.00011509
387.00000000	0.00090898
388.00000000	0.00092639
389.00000000	0.00093274
390.00000000	0.00032102
391.00000000	0.00252559
392.00000000	0.00000000
393.00000000	0.00013999
394.00000000	0.00227384
395.00000000	0.00240616
396.00000000	0.00053356
397.00000000	0.00222111
398.00000000	0.00329101
399.00000000	0.00443683
400.00000000	0.00481300
401.00000000	0.00506659
402.00000000	0.00296502
403.00000000	0.00407556
404.00000000	0.00675766
405.00000000	0.00853671
406.00000000	0.00769767
407.00000000	0.01086810
408.00000000	0.01142619
409.00000000	0.01702992
410.00000000	0.01749853
411.00000000	0.02164145
412.00000000	0.02717153
413.00000000	0.03062210
414.00000000	0.03737901
415.00000000	0.04751069
416.00000000	0.05777933
417.00000000	0.06694681
418.00000000	0.08023520
419.00000000	0.09645482
420.00000000	0.11220235
421.00000000	0.12261758
422.00000000	0.15154442
423.00000000	0.17866441
424.00000000	0.21074556
425.00000000	0.23482661
426.00000000	0.27038707
427.00000000	0.30816454
428.00000000	0.34830501
429.00000000	0.38945978
430.00000000	0.43702590
431.00000000	0.48054471
432.00000000	0.52759226
433.00000000	0.56895253
434.00000000	0.61492738
435.00000000	0.67360557
436.00000000	0.72147917
437.00000000	0.75650194
438.00000000	0.81101326
439.00000000	0.85765786
440.00000000	0.89016063
441.00000000	0.93834813
442.00000000	0.96639817
443.00000000	0.99769033
444.00000000	0.99452196
445.00000000	1.00000000
446.00000000	0.97739488
447.00000000	0.94168035
448.00000000	0.89967526
449.00000000	0.86218252
450.00000000	0.77578751
451.00000000	0.69539513
452.00000000	0.61645661
453.00000000	0.54717617
454.00000000	0.47782858
455.00000000	0.42868718
456.00000000	0.38406772
457.00000000	0.34077025
458.00000000	0.31075001
459.00000000	0.28786495
460.00000000	0.26415906
461.00000000	0.24761381
462.00000000	0.22101191
463.00000000	0.20750314
464.00000000	0.18832220
465.00000000	0.18039425
466.00000000	0.16096898
467.00000000	0.15340272
468.00000000	0.13943534
469.00000000	0.12971387
470.00000000	0.11876975
471.00000000	0.11307348
472.00000000	0.11201717
473.00000000	0.10151390
474.00000000	0.10358893
475.00000000	0.09937234
476.00000000	0.09877552
477.00000000	0.09817015
478.00000000	0.09243290
479.00000000	0.09482021
480.00000000	0.09436484
481.00000000	0.09830562
482.00000000	0.10114210
483.00000000	0.10191077
484.00000000	0.10399259
485.00000000	0.10860194
486.00000000	0.11280909
487.00000000	0.11656048
488.00000000	0.12506023
489.00000000	0.12976757
490.00000000	0.13708477
491.00000000	0.14855578
492.00000000	0.15642331
493.00000000	0.16528772
494.00000000	0.17646766
495.00000000	0.18995411
496.00000000	0.20464034
497.00000000	0.21640928
498.00000000	0.23631759
499.00000000	0.24890590
500.00000000	0.26247553
501.00000000	0.27968765
502.00000000	0.29575241
503.00000000	0.31473161
504.00000000	0.32755761
505.00000000	0.34233305
506.00000000	0.35926791
507.00000000	0.37859946
508.00000000	0.39904646
509.00000000	0.41646331
510.00000000	0.43152793
511.00000000	0.44976036
512.00000000	0.46836087
513.00000000	0.47995945
514.00000000	0.50220273
515.00000000	0.51839289
516.00000000	0.52932970
517.00000000	0.53889904
518.00000000	0.55426915
519.00000000	0.56481471
520.00000000	0.57440050
521.00000000	0.57595071
522.00000000	0.59613904
523.00000000	0.60889069
524.00000000	0.62149222
525.00000000	0.62303170
526.00000000	0.63868249
527.00000000	0.64815392
528.00000000	0.65947202
529.00000000	0.66843596
530.00000000	0.67126987
531.00000000	0.67553386
532.00000000	0.68614000
533.00000000	0.68787326
534.00000000	0.68607050
535.00000000	0.70052320
536.00000000	0.70257160
537.00000000	0.70854828
538.00000000	0.72014414
539.00000000	0.72381051
540.00000000	0.72849331
541.00000000	0.73817291
542.00000000	0.73601438
543.00000000	0.75429378
544.00000000	0.74304377
545.00000000	0.75145554
546.00000000	0.75944204
547.00000000	0.76030272
548.00000000	0.76518620
549.00000000	0.76518195
550.00000000	0.77445004
551.00000000	0.77898622
552.00000000	0.79042727
553.00000000	0.79385221
554.00000000	0.79903608
555.00000000	0.81187559
556.00000000	0.82012234
557.00000000	0.82191391
558.00000000	0.82822145
559.00000000	0.83579482
560.00000000	0.84532860
561.00000000	0.85616933
562.00000000	0.85702851
563.00000000	0.85361988
564.00000000	0.86117256
565.00000000	0.86818458
566.00000000	0.87403485
567.00000000	0.87935730
568.00000000	0.87909918
569.00000000	0.88644382
570.00000000	0.88759025
571.00000000	0.89124699
572.00000000	0.89571783
573.00000000	0.90209781
574.00000000	0.89691041
