# LED 4225K-9089K
# average spectrum 
# W	S
300	0.000321923
301	0.000668842
302	0.000114803
303	0.001391073
304	0.001186838
305	0.000828362
306	0.000680879
307	0.001032651
308	0.000392392
309	0.000790624
310	0.001483015
311	0.001991993
312	0.000108626
313	0.001688906
314	0.00077997
315	0.000159592
316	0.001256243
317	0.000156683
318	0.0017252
319	0.001282854
320	0.001087069
321	0.000714682
322	0.000560048
323	0.000381918
324	0.000685305
325	0.000595372
326	0.000530899
327	0.001849
328	0.000455715
329	0.000978428
330	0.000989041
331	0.000320175
332	0.001796031
333	0.000387074
334	0.00135618
335	0.000934282
336	0.001816435
337	0.000262801
338	0.000441866
339	0.000808029
340	0.00057669
341	0.000405311
342	0.000635085
343	0.000386509
344	0.000519591
345	0.000204418
346	0.00088301
347	0.000132422
348	0.000216436
349	0.00027215
350	0.000384373
351	0.000181155
352	0.000355277
353	0.000565287
354	0.000280409
355	0.000837244
356	0.000321245
357	0.000393331
358	0.000296665
359	0.00078447
360	0.000691762
361	0.000956604
362	0.000393391
363	0.000767152
364	0.000704119
365	0.000540241
366	0.000715821
367	0.000359255
368	0.000617531
369	0.000452384
370	0.001031129
371	0.000516579
372	0.000248012
373	0.000466831
374	0.00032354
375	0.000560509
376	0.000549431
377	0.000542795
378	0.000409065
379	0.000478517
380	0.000512077
381	0.000721249
382	0.000461114
383	0.00041451
384	0.000587014
385	0.000651497
386	0.000445367
387	0.000541737
388	0.000821889
389	0.000403475
390	0.000977755
391	0.000875683
392	0.001126736
393	0.000955541
394	0.000925877
395	0.001252501
396	0.00145502
397	0.001913599
398	0.001593908
399	0.001462856
400	0.002475761
401	0.003273176
402	0.003349312
403	0.004675902
404	0.005286497
405	0.005914616
406	0.006755028
407	0.008749294
408	0.010855635
409	0.013118903
410	0.015998217
411	0.019288791
412	0.023441904
413	0.027291928
414	0.033142504
415	0.038769966
416	0.044326567
417	0.053057353
418	0.061699367
419	0.071468476
420	0.082734354
421	0.095246415
422	0.10948317
423	0.125621328
424	0.142963046
425	0.158391745
426	0.179979734
427	0.201121479
428	0.224142705
429	0.250224168
430	0.27595212
431	0.301620513
432	0.332930954
433	0.362443344
434	0.391893893
435	0.429272561
436	0.46427225
437	0.498112851
438	0.542868751
439	0.586695062
440	0.620206239
441	0.665031739
442	0.698938386
443	0.739057806
444	0.765942657
445	0.798216801
446	0.816776082
447	0.832568974
448	0.845392058
449	0.862948933
450	0.839829677
451	0.832125942
452	0.814621563
453	0.789294004
454	0.754429794
455	0.724442902
456	0.685282925
457	0.645397352
458	0.608223896
459	0.572156085
460	0.53681115
461	0.503950896
462	0.47002633
463	0.435505724
464	0.413339549
465	0.385286682
466	0.356158767
467	0.335551144
468	0.314654313
469	0.291806712
470	0.271836867
471	0.255757347
472	0.238217855
473	0.22373193
474	0.209450085
475	0.198153966
476	0.185614488
477	0.175860559
478	0.165476025
479	0.158670587
480	0.152184898
481	0.146585095
482	0.139911799
483	0.13601087
484	0.132513348
485	0.130450577
486	0.129206477
487	0.126532929
488	0.125754632
489	0.125883694
490	0.126783563
491	0.128690253
492	0.13115065
493	0.134147517
494	0.137835631
495	0.142508697
496	0.148398134
497	0.155724909
498	0.162439021
499	0.169295821
500	0.177653729
501	0.186701398
502	0.195606546
503	0.206284798
504	0.214165286
505	0.224291071
506	0.234090125
507	0.244935932
508	0.256735747
509	0.267175614
510	0.278031441
511	0.29079261
512	0.301735876
513	0.309855647
514	0.322301243
515	0.332671347
516	0.341303796
517	0.349118153
518	0.356738736
519	0.364451987
520	0.372509847
521	0.378812325
522	0.387054826
523	0.394815247
524	0.403310595
525	0.40779957
526	0.415732837
527	0.422177851
528	0.427397689
529	0.433265447
530	0.437155755
531	0.439886202
532	0.443833048
533	0.445928069
534	0.448437792
535	0.453553534
536	0.454960211
537	0.45869806
538	0.462389188
539	0.466257332
540	0.467966862
541	0.47177724
542	0.471460133
543	0.475047173
544	0.475540883
545	0.477808894
546	0.477316025
547	0.480132876
548	0.48200033
549	0.481143496
550	0.483040697
551	0.485002725
552	0.485511104
553	0.488692471
554	0.489828363
555	0.48981775
556	0.493919484
557	0.49593869
558	0.497727545
559	0.497470491
560	0.499000677
561	0.500819998
562	0.498524942
563	0.497601076
564	0.497140333
565	0.497097044
566	0.498946524
567	0.498952962
568	0.49766902
569	0.49837419
570	0.494564526
571	0.493201591
572	0.493623677
573	0.4919519
574	0.490332986
575	0.489223151
576	0.48864991
577	0.487220589
578	0.48607583
579	0.482713988
580	0.480475117
581	0.480385212
582	0.478380756
583	0.47892473
584	0.47825537
585	0.480576092
586	0.477252097
587	0.474599091
588	0.472210482
589	0.467111907
590	0.465357427
591	0.462804786
592	0.460117356
593	0.456925331
594	0.453246158
595	0.449054439
596	0.446539376
597	0.442537601
598	0.439455999
599	0.437406467
600	0.433965282
601	0.430318195
602	0.427958785
603	0.424741651
604	0.420917731
605	0.41382504
606	0.408733849
607	0.40248271
608	0.39679712
609	0.391211029
610	0.385916208
611	0.381854869
612	0.376266018
613	0.372844857
614	0.368923659
615	0.367781143
616	0.364661902
617	0.361172611
618	0.359940506
619	0.3540041
620	0.350389641
621	0.343263427
622	0.336353296
623	0.33273167
624	0.327715391
625	0.323138688
626	0.317404798
627	0.312632066
628	0.306909288
629	0.300584131
630	0.294536512
631	0.289999662
632	0.284124472
633	0.277908556
634	0.274452359
635	0.268713875
636	0.263087043
637	0.258580826
638	0.253434776
639	0.247429449
640	0.24308238
641	0.23868745
642	0.235055657
643	0.229086877
644	0.225888988
645	0.220021227
646	0.216154399
647	0.212052627
648	0.20782732
649	0.203501211
650	0.199061201
651	0.194186515
652	0.190074873
653	0.185286169
654	0.18131532
655	0.177212264
656	0.171574746
657	0.167862707
658	0.164736332
659	0.160888755
660	0.158164752
661	0.153769564
662	0.149791599
663	0.145981892
664	0.142551271
665	0.139526842
666	0.135097114
667	0.132245672
668	0.129003294
669	0.126642514
670	0.123784002
671	0.120415037
672	0.117405468
673	0.114458139
674	0.112193947
675	0.10839778
676	0.106800849
677	0.103284475
678	0.100737545
679	0.097863832
680	0.095927075
681	0.092860586
682	0.092159655
683	0.088831955
684	0.085635806
685	0.08473576
686	0.082714571
687	0.079661549
688	0.078424446
689	0.074907282
690	0.074010735
691	0.072128985
692	0.070906642
693	0.068808363
694	0.066766271
695	0.064861362
696	0.063634687
697	0.061167147
698	0.060158562
699	0.058391675
700	0.058011533
701	0.056472947
702	0.055183782
703	0.053276263
704	0.051690166
705	0.049398857
706	0.049425628
707	0.048191363
708	0.046015929
709	0.045519861
710	0.043741985
711	0.042803075
712	0.042003413
713	0.040574213
714	0.039523426
715	0.037639561
716	0.037574493
717	0.035979345
718	0.035840123
719	0.034815348
720	0.034190949
721	0.032213895
722	0.032174765
723	0.029782882
724	0.029982918
725	0.029300619
726	0.02820845
727	0.028616112
728	0.026159044
729	0.026442785
730	0.025631074
731	0.024222037
732	0.023901862
733	0.022808851
734	0.02295018
735	0.021716508
736	0.020774356
737	0.021064637
738	0.020134523
739	0.019747539
740	0.018642889
741	0.019028148
742	0.018131577
743	0.017304656
744	0.016801616
745	0.016473495
746	0.016464437
747	0.014502123
748	0.014891417
749	0.015000083
750	0.014451397
751	0.013044337
752	0.013722445
753	0.011617692
754	0.012368799
755	0.011483502
756	0.01120305
757	0.01041035
758	0.010287055
759	0.009985261
760	0.010211349
761	0.009606563
762	0.008678848
763	0.010002049
764	0.009009482
