#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/25
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.4014	0.4071	0.4655
#xyY coordinates: 0.3151	0.3195	0.4071
#sRGB: 113	100	110
#CCT Lindbloom (K):	6442
#CCT McCamy (K):	6442
#CCT Hernández-Andrés (K):	6449
#Melatonin: 0.784
#Chlorophyll a: 0.086
#Chlorophyll b: 1.101
#Beta Carotene: 0.087
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: LED projector on ADIF parking in Almería train station
#Begin Processed Spectral Data
W	S
300.00000000	0.00033351
301.00000000	0.00253293
302.00000000	0.00063444
303.00000000	0.00415398
304.00000000	0.00441308
305.00000000	0.00271340
306.00000000	0.00000000
307.00000000	0.00071374
308.00000000	0.00227523
309.00000000	0.00251757
310.00000000	0.00081619
311.00000000	0.00596487
312.00000000	0.00058568
313.00000000	0.00000192
314.00000000	0.00031711
315.00000000	0.00052540
316.00000000	0.00732423
317.00000000	0.00010157
318.00000000	0.00275821
319.00000000	0.00248430
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00163589
325.00000000	0.00360346
326.00000000	0.00219631
327.00000000	0.00000000
328.00000000	0.00006412
329.00000000	0.00365134
330.00000000	0.00083549
331.00000000	0.00105842
332.00000000	0.00319061
333.00000000	0.00025623
334.00000000	0.00183476
335.00000000	0.00052676
336.00000000	0.00333768
337.00000000	0.00000361
338.00000000	0.00441866
339.00000000	0.00386269
340.00000000	0.00031521
341.00000000	0.00000078
342.00000000	0.00408310
343.00000000	0.00051434
344.00000000	0.00000000
345.00000000	0.00003529
346.00000000	0.00167489
347.00000000	0.00000000
348.00000000	0.00069407
349.00000000	0.00047192
350.00000000	0.00053573
351.00000000	0.00060158
352.00000000	0.00054622
353.00000000	0.00096448
354.00000000	0.00032154
355.00000000	0.00208011
356.00000000	0.00003756
357.00000000	0.00206719
358.00000000	0.00091279
359.00000000	0.00231163
360.00000000	0.00017056
361.00000000	0.00140905
362.00000000	0.00133239
363.00000000	0.00234349
364.00000000	0.00000038
365.00000000	0.00033951
366.00000000	0.00209132
367.00000000	0.00090498
368.00000000	0.00015244
369.00000000	0.00146501
370.00000000	0.00255704
371.00000000	0.00101350
372.00000000	0.00049231
373.00000000	0.00171058
374.00000000	0.00139281
375.00000000	0.00114325
376.00000000	0.00000457
377.00000000	0.00018288
378.00000000	0.00062646
379.00000000	0.00058671
380.00000000	0.00160237
381.00000000	0.00022883
382.00000000	0.00020644
383.00000000	0.00138634
384.00000000	0.00143660
385.00000000	0.00138454
386.00000000	0.00109612
387.00000000	0.00042812
388.00000000	0.00008783
389.00000000	0.00111496
390.00000000	0.00200419
391.00000000	0.00297549
392.00000000	0.00381052
393.00000000	0.00133155
394.00000000	0.00248912
395.00000000	0.00326307
396.00000000	0.00168287
397.00000000	0.00218568
398.00000000	0.00247669
399.00000000	0.00377481
400.00000000	0.00486447
401.00000000	0.00652935
402.00000000	0.00701182
403.00000000	0.00800836
404.00000000	0.00986040
405.00000000	0.01011163
406.00000000	0.01213045
407.00000000	0.01619357
408.00000000	0.01953678
409.00000000	0.02241273
410.00000000	0.02762310
411.00000000	0.03293097
412.00000000	0.03675398
413.00000000	0.04089217
414.00000000	0.04997784
415.00000000	0.05730965
416.00000000	0.06497670
417.00000000	0.07275814
418.00000000	0.08343313
419.00000000	0.09865841
420.00000000	0.10705364
421.00000000	0.12695273
422.00000000	0.14060108
423.00000000	0.16111530
424.00000000	0.18216897
425.00000000	0.20054287
426.00000000	0.22887899
427.00000000	0.25181383
428.00000000	0.28662999
429.00000000	0.32170238
430.00000000	0.35191319
431.00000000	0.38758308
432.00000000	0.42681299
433.00000000	0.46427665
434.00000000	0.50931097
435.00000000	0.55500236
436.00000000	0.60301750
437.00000000	0.65383399
438.00000000	0.71244948
439.00000000	0.77261986
440.00000000	0.81186082
441.00000000	0.86298215
442.00000000	0.90502594
443.00000000	0.95033885
444.00000000	0.97351068
445.00000000	1.00000000
446.00000000	0.99623625
447.00000000	0.98755804
448.00000000	0.96700218
449.00000000	0.94958354
450.00000000	0.87996656
451.00000000	0.82054778
452.00000000	0.76027791
453.00000000	0.70173742
454.00000000	0.62898431
455.00000000	0.57161493
456.00000000	0.51813445
457.00000000	0.46817652
458.00000000	0.43809912
459.00000000	0.40374504
460.00000000	0.36577839
461.00000000	0.34123661
462.00000000	0.31312069
463.00000000	0.28822711
464.00000000	0.26899357
465.00000000	0.24594699
466.00000000	0.22415098
467.00000000	0.20686882
468.00000000	0.19426771
469.00000000	0.17386888
470.00000000	0.16205949
471.00000000	0.14894201
472.00000000	0.13776550
473.00000000	0.12963484
474.00000000	0.12251370
475.00000000	0.11632963
476.00000000	0.10975900
477.00000000	0.10580317
478.00000000	0.09892533
479.00000000	0.10177659
480.00000000	0.09693489
481.00000000	0.09454523
482.00000000	0.09199265
483.00000000	0.09052255
484.00000000	0.09467461
485.00000000	0.09247073
486.00000000	0.09713568
487.00000000	0.09783165
488.00000000	0.09881047
489.00000000	0.10357015
490.00000000	0.10580949
491.00000000	0.11147808
492.00000000	0.11682554
493.00000000	0.12373910
494.00000000	0.12759047
495.00000000	0.13479967
496.00000000	0.14530470
497.00000000	0.15649747
498.00000000	0.16254890
499.00000000	0.17054989
500.00000000	0.18330865
501.00000000	0.19326566
502.00000000	0.20189568
503.00000000	0.21669513
504.00000000	0.22104761
505.00000000	0.23317031
506.00000000	0.24167344
507.00000000	0.25537691
508.00000000	0.26272891
509.00000000	0.27618596
510.00000000	0.28616654
511.00000000	0.29946982
512.00000000	0.30753958
513.00000000	0.31573492
514.00000000	0.32844971
515.00000000	0.33943771
516.00000000	0.34467405
517.00000000	0.35551878
518.00000000	0.35768619
519.00000000	0.36173447
520.00000000	0.37209941
521.00000000	0.37465704
522.00000000	0.38026000
523.00000000	0.39008244
524.00000000	0.40209289
525.00000000	0.40158310
526.00000000	0.41110275
527.00000000	0.41711146
528.00000000	0.41385358
529.00000000	0.41712957
530.00000000	0.42368312
531.00000000	0.42798974
532.00000000	0.42885716
533.00000000	0.43178941
534.00000000	0.43447260
535.00000000	0.43497180
536.00000000	0.43594554
537.00000000	0.43982242
538.00000000	0.44652455
539.00000000	0.44752276
540.00000000	0.44910111
541.00000000	0.45136947
542.00000000	0.44868184
543.00000000	0.45339936
544.00000000	0.45570272
545.00000000	0.45308783
546.00000000	0.45300979
547.00000000	0.45739365
548.00000000	0.45770094
549.00000000	0.45062219
550.00000000	0.45619251
551.00000000	0.45654648
552.00000000	0.45729762
553.00000000	0.46176293
554.00000000	0.46328505
555.00000000	0.46346408
556.00000000	0.46381196
557.00000000	0.46966585
558.00000000	0.46890177
559.00000000	0.46718652
560.00000000	0.46940729
561.00000000	0.46992901
562.00000000	0.46676502
563.00000000	0.46477533
564.00000000	0.46458083
565.00000000	0.46108774
566.00000000	0.46054293
567.00000000	0.45612628
568.00000000	0.45739034
569.00000000	0.46108283
570.00000000	0.45179592
571.00000000	0.45060449
572.00000000	0.44615204
573.00000000	0.44454173
574.00000000	0.44641099
575.00000000	0.44737045
576.00000000	0.44298326
577.00000000	0.44229475
578.00000000	0.44190630
579.00000000	0.43688027
580.00000000	0.42708234
581.00000000	0.43092056
582.00000000	0.43079692
583.00000000	0.43093974
584.00000000	0.43041713
585.00000000	0.42926191
586.00000000	0.41887763
587.00000000	0.42210108
588.00000000	0.41863929
589.00000000	0.41232680
590.00000000	0.40898648
591.00000000	0.40511713
592.00000000	0.40363417
593.00000000	0.40220118
594.00000000	0.40482289
595.00000000	0.39725266
596.00000000	0.38874796
597.00000000	0.38741829
598.00000000	0.38167758
599.00000000	0.38037874
600.00000000	0.37412110
601.00000000	0.37219285
602.00000000	0.37117842
603.00000000	0.36540165
604.00000000	0.35857897
605.00000000	0.35962474
606.00000000	0.35051533
607.00000000	0.34373613
608.00000000	0.33518693
609.00000000	0.32876844
610.00000000	0.32516208
611.00000000	0.32245964
612.00000000	0.31274749
613.00000000	0.31255299
614.00000000	0.30635486
615.00000000	0.30592222
616.00000000	0.30494447
617.00000000	0.30156772
618.00000000	0.29862668
619.00000000	0.29517605
620.00000000	0.29434997
621.00000000	0.28927916
622.00000000	0.28381083
623.00000000	0.27498212
624.00000000	0.26963640
625.00000000	0.26657647
626.00000000	0.25944415
627.00000000	0.25776920
628.00000000	0.24924208
629.00000000	0.24114370
630.00000000	0.24107224
631.00000000	0.23379389
632.00000000	0.23375335
633.00000000	0.22565103
634.00000000	0.22150527
635.00000000	0.21663887
636.00000000	0.21374057
637.00000000	0.21109605
638.00000000	0.20277269
639.00000000	0.20066070
640.00000000	0.19432811
641.00000000	0.19042666
642.00000000	0.19330251
643.00000000	0.18415223
644.00000000	0.18159248
645.00000000	0.17429822
646.00000000	0.17151837
647.00000000	0.16982662
648.00000000	0.16317334
649.00000000	0.16100678
650.00000000	0.15709344
651.00000000	0.15421727
652.00000000	0.14983018
653.00000000	0.14555889
654.00000000	0.14434308
655.00000000	0.14334719
656.00000000	0.13570413
657.00000000	0.13475440
658.00000000	0.13347050
659.00000000	0.13069677
660.00000000	0.12396001
661.00000000	0.12104086
662.00000000	0.12203265
663.00000000	0.11166304
664.00000000	0.11012395
665.00000000	0.10808959
666.00000000	0.10423666
667.00000000	0.10429265
668.00000000	0.09627111
669.00000000	0.10070936
670.00000000	0.09973370
671.00000000	0.09359463
672.00000000	0.09374817
673.00000000	0.08702340
674.00000000	0.08845428
675.00000000	0.08359149
676.00000000	0.08294719
677.00000000	0.08084538
678.00000000	0.08082513
679.00000000	0.07841301
680.00000000	0.07449163
681.00000000	0.07159020
682.00000000	0.06974021
683.00000000	0.06840858
684.00000000	0.06786787
685.00000000	0.06534511
686.00000000	0.06260939
687.00000000	0.05986134
688.00000000	0.06038953
689.00000000	0.05629458
690.00000000	0.05757355
691.00000000	0.05435791
692.00000000	0.05488189
693.00000000	0.05290631
694.00000000	0.05246296
695.00000000	0.05057343
696.00000000	0.04763674
697.00000000	0.04518463
698.00000000	0.04528813
699.00000000	0.04452087
700.00000000	0.04377138
701.00000000	0.04395692
702.00000000	0.04113387
703.00000000	0.03952772
704.00000000	0.03978699
705.00000000	0.03429076
706.00000000	0.03809692
707.00000000	0.03510769
708.00000000	0.03583635
709.00000000	0.03562197
710.00000000	0.03282028
711.00000000	0.03207517
712.00000000	0.03134510
713.00000000	0.02971388
714.00000000	0.03166895
715.00000000	0.02907316
716.00000000	0.03112781
717.00000000	0.02820755
718.00000000	0.02772865
719.00000000	0.02728399
720.00000000	0.02509077
721.00000000	0.02280969
722.00000000	0.02217024
723.00000000	0.02182082
724.00000000	0.02205535
725.00000000	0.02257603
726.00000000	0.02461246
727.00000000	0.02106544
728.00000000	0.02153203
729.00000000	0.02072918
730.00000000	0.01852839
731.00000000	0.02028974
732.00000000	0.01651441
733.00000000	0.01619850
734.00000000	0.01767818
735.00000000	0.01611172
736.00000000	0.01242964
737.00000000	0.01592669
738.00000000	0.01489537
739.00000000	0.01425555
740.00000000	0.01226933
741.00000000	0.01363710
742.00000000	0.01463053
743.00000000	0.01208806
744.00000000	0.01202451
745.00000000	0.01170623
746.00000000	0.01058576
747.00000000	0.01135246
748.00000000	0.00783662
749.00000000	0.01103423
750.00000000	0.00902700
751.00000000	0.00980770
752.00000000	0.01074787
753.00000000	0.00694289
754.00000000	0.00727520
755.00000000	0.00816112
756.00000000	0.00980534
757.00000000	0.00516915
758.00000000	0.00325489
759.00000000	0.00804674
760.00000000	0.00705343
761.00000000	0.00635401
762.00000000	0.00542541
763.00000000	0.00994108
764.00000000	0.00725635
765.00000000	0.00369378
766.00000000	0.00479832
767.00000000	0.00615905
768.00000000	0.00643823
769.00000000	0.00696372
770.00000000	0.00537513
771.00000000	0.00837274
772.00000000	0.00475214
773.00000000	0.00577959
774.00000000	0.00708738
775.00000000	0.00213815
776.00000000	0.00373254
777.00000000	0.00083762
778.00000000	0.00435098
779.00000000	0.00128538
780.00000000	0.00746759
781.00000000	0.00348623
782.00000000	0.00774754
783.00000000	0.00246096
784.00000000	0.00390147
785.00000000	0.00231485
786.00000000	0.00860966
787.00000000	0.00378698
788.00000000	0.00000000
789.00000000	0.00533688
790.00000000	0.00004968
791.00000000	0.00227101
792.00000000	0.00668557
793.00000000	0.00110615
794.00000000	0.00000000
795.00000000	0.00673860
796.00000000	0.00494509
797.00000000	0.00333578
798.00000000	0.00128437
799.00000000	0.00496090
800.00000000	0.00323899
801.00000000	0.00139937
802.00000000	0.00523581
803.00000000	0.00495522
804.00000000	0.00115218
805.00000000	0.00015003
806.00000000	0.00201826
807.00000000	0.00105220
808.00000000	0.00636658
809.00000000	0.00447601
810.00000000	0.00000000
811.00000000	0.00000555
812.00000000	0.00204278
813.00000000	0.00000000
814.00000000	0.00046649
815.00000000	0.00078353
816.00000000	0.00228929
817.00000000	0.00532602
818.00000000	0.00438968
819.00000000	0.00338295
820.00000000	0.00267689
821.00000000	0.00417161
822.00000000	0.00578108
823.00000000	0.00054092
824.00000000	0.00000409
825.00000000	0.00236637
826.00000000	0.00000000
827.00000000	0.00223748
828.00000000	0.00017204
829.00000000	0.00079147
830.00000000	0.00022774
831.00000000	0.00001631
832.00000000	0.00988432
833.00000000	0.00000000
834.00000000	0.00000000
835.00000000	0.00200420
836.00000000	0.00091352
837.00000000	0.00003738
838.00000000	0.00028081
839.00000000	0.00027966
840.00000000	0.00012167
841.00000000	0.00001109
842.00000000	0.00023390
843.00000000	0.00091058
844.00000000	0.00454774
845.00000000	0.00082604
846.00000000	0.00000008
847.00000000	0.00056178
848.00000000	0.00696427
849.00000000	0.00000000
850.00000000	0.00360553
851.00000000	0.00238113
852.00000000	0.00157462
853.00000000	0.00062290
854.00000000	0.00192012
855.00000000	0.00435280
856.00000000	0.00114491
857.00000000	0.00007036
858.00000000	0.00013608
859.00000000	0.00000000
860.00000000	0.00000000
861.00000000	0.00175609
862.00000000	0.00801144
863.00000000	0.00101896
864.00000000	0.00133605
865.00000000	0.00008995
866.00000000	0.00049625
867.00000000	0.00000299
868.00000000	0.00386013
869.00000000	0.00194895
870.00000000	0.01267684
871.00000000	0.00132800
872.00000000	0.00000000
873.00000000	0.00000000
874.00000000	0.00000000
875.00000000	0.00113552
876.00000000	0.00000000
877.00000000	0.00000000
878.00000000	0.00439152
879.00000000	0.00000000
880.00000000	0.00000000
881.00000000	0.00034337
882.00000000	0.00000000
883.00000000	0.00395029
884.00000000	0.00000000
885.00000000	0.00000000
886.00000000	0.00000000
887.00000000	0.00500730
888.00000000	0.00000000
889.00000000	0.02167109
