#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.3868	0.3945	0.4660
#xyY coordinates: 0.3101	0.3136	0.3945
#sRGB: 106	98	111
#CCT Lindbloom (K):	6770
#CCT McCamy (K):	6766
#CCT Hernández-Andrés (K):	6770
#Melatonin: 0.784
#Chlorophyll a: 0.092
#Chlorophyll b: 1.195
#Beta Carotene: 0.092
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp at Faro de Moncloa
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00280017
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00043092
308.00000000	0.00023722
309.00000000	0.00000000
310.00000000	0.00485425
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00401004
315.00000000	0.00000000
316.00000000	0.00015103
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00149959
320.00000000	0.00248214
321.00000000	0.00123801
322.00000000	0.00338877
323.00000000	0.00156091
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00059867
327.00000000	0.00312316
328.00000000	0.00000000
329.00000000	0.00021403
330.00000000	0.00075828
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00000000
335.00000000	0.00000000
336.00000000	0.00277119
337.00000000	0.00192555
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00145103
343.00000000	0.00000000
344.00000000	0.00104086
345.00000000	0.00010777
346.00000000	0.00090410
347.00000000	0.00000000
348.00000000	0.00000000
349.00000000	0.00000000
350.00000000	0.00114099
351.00000000	0.00050434
352.00000000	0.00000000
353.00000000	0.00300858
354.00000000	0.00000000
355.00000000	0.00204198
356.00000000	0.00126035
357.00000000	0.00000000
358.00000000	0.00000000
359.00000000	0.00000000
360.00000000	0.00102414
361.00000000	0.00261571
362.00000000	0.00000000
363.00000000	0.00121289
364.00000000	0.00250004
365.00000000	0.00250541
366.00000000	0.00116283
367.00000000	0.00000000
368.00000000	0.00155309
369.00000000	0.00012693
370.00000000	0.00144809
371.00000000	0.00068872
372.00000000	0.00000000
373.00000000	0.00177234
374.00000000	0.00025242
375.00000000	0.00006258
376.00000000	0.00000000
377.00000000	0.00134301
378.00000000	0.00055231
379.00000000	0.00125287
380.00000000	0.00137115
381.00000000	0.00000000
382.00000000	0.00064160
383.00000000	0.00075718
384.00000000	0.00000000
385.00000000	0.00068427
386.00000000	0.00083211
387.00000000	0.00184903
388.00000000	0.00108470
389.00000000	0.00000000
390.00000000	0.00203996
391.00000000	0.00136107
392.00000000	0.00254170
393.00000000	0.00085857
394.00000000	0.00161761
395.00000000	0.00114485
396.00000000	0.00369403
397.00000000	0.00171076
398.00000000	0.00241007
399.00000000	0.00041236
400.00000000	0.00189330
401.00000000	0.00374342
402.00000000	0.00443937
403.00000000	0.00532910
404.00000000	0.00653628
405.00000000	0.00622523
406.00000000	0.00772305
407.00000000	0.00779873
408.00000000	0.00951134
409.00000000	0.01008406
410.00000000	0.01241358
411.00000000	0.01283333
412.00000000	0.01735762
413.00000000	0.02102393
414.00000000	0.02345853
415.00000000	0.02974734
416.00000000	0.03408289
417.00000000	0.04219074
418.00000000	0.04652670
419.00000000	0.05179743
420.00000000	0.05975366
421.00000000	0.06970106
422.00000000	0.08142784
423.00000000	0.09139657
424.00000000	0.10659016
425.00000000	0.11687431
426.00000000	0.13182472
427.00000000	0.14906189
428.00000000	0.16776546
429.00000000	0.18678319
430.00000000	0.21122192
431.00000000	0.23639877
432.00000000	0.25586482
433.00000000	0.28548415
434.00000000	0.31188010
435.00000000	0.34847294
436.00000000	0.37725259
437.00000000	0.41342819
438.00000000	0.45922862
439.00000000	0.50918559
440.00000000	0.55228530
441.00000000	0.60393665
442.00000000	0.65795263
443.00000000	0.72237196
444.00000000	0.77495967
445.00000000	0.82981423
446.00000000	0.87742370
447.00000000	0.92362658
448.00000000	0.96557826
449.00000000	0.99839315
450.00000000	0.99916024
451.00000000	1.00000000
452.00000000	0.98502901
453.00000000	0.94787270
454.00000000	0.91359241
455.00000000	0.86451074
456.00000000	0.80165517
457.00000000	0.74528792
458.00000000	0.68841852
459.00000000	0.63117119
460.00000000	0.58446708
461.00000000	0.53151531
462.00000000	0.49208081
463.00000000	0.44525170
464.00000000	0.41980546
465.00000000	0.38599323
466.00000000	0.35106991
467.00000000	0.33175414
468.00000000	0.30596081
469.00000000	0.28271363
470.00000000	0.25855999
471.00000000	0.24074818
472.00000000	0.22108977
473.00000000	0.20557622
474.00000000	0.18609690
475.00000000	0.17422059
476.00000000	0.16274598
477.00000000	0.15055752
478.00000000	0.13836277
479.00000000	0.12793438
480.00000000	0.12389587
481.00000000	0.11608916
482.00000000	0.11167289
483.00000000	0.10688240
484.00000000	0.10252233
485.00000000	0.10167384
486.00000000	0.09661303
487.00000000	0.09423799
488.00000000	0.09238031
489.00000000	0.09210151
490.00000000	0.09243222
491.00000000	0.09363133
492.00000000	0.09507397
493.00000000	0.09685798
494.00000000	0.09949956
495.00000000	0.10436892
496.00000000	0.10788630
497.00000000	0.11496674
498.00000000	0.12162978
499.00000000	0.12688488
500.00000000	0.13408250
501.00000000	0.14304044
502.00000000	0.14949600
503.00000000	0.16200274
504.00000000	0.16968647
505.00000000	0.18082340
506.00000000	0.18813073
507.00000000	0.20212176
508.00000000	0.21392894
509.00000000	0.22693380
510.00000000	0.23680139
511.00000000	0.25217424
512.00000000	0.26400082
513.00000000	0.27206029
514.00000000	0.28629627
515.00000000	0.29775509
516.00000000	0.30906792
517.00000000	0.31822688
518.00000000	0.32610357
519.00000000	0.33943309
520.00000000	0.34557440
521.00000000	0.35445129
522.00000000	0.36467597
523.00000000	0.37266278
524.00000000	0.38323220
525.00000000	0.38793130
526.00000000	0.39442003
527.00000000	0.40579032
528.00000000	0.41064986
529.00000000	0.41552343
530.00000000	0.41994734
531.00000000	0.42377409
532.00000000	0.42692101
533.00000000	0.43207876
534.00000000	0.43092853
535.00000000	0.43598228
536.00000000	0.43486028
537.00000000	0.44101738
538.00000000	0.44165747
539.00000000	0.44785640
540.00000000	0.44853026
541.00000000	0.45298231
542.00000000	0.44990216
543.00000000	0.45465368
544.00000000	0.45368347
545.00000000	0.45510779
546.00000000	0.45109699
547.00000000	0.45473886
548.00000000	0.45664022
549.00000000	0.45672514
550.00000000	0.45398847
551.00000000	0.45507620
552.00000000	0.45783647
553.00000000	0.45794517
554.00000000	0.45595401
555.00000000	0.45874142
556.00000000	0.46161291
557.00000000	0.45851739
558.00000000	0.45944938
559.00000000	0.45680813
560.00000000	0.45871798
561.00000000	0.45889127
562.00000000	0.45700352
563.00000000	0.45922988
564.00000000	0.45588874
565.00000000	0.45585506
566.00000000	0.45990164
