#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0536	0.0313	0.3373
#xyY coordinates: 0.1269	0.0743	0.0313
#sRGB: 0	5	90
#CCT Lindbloom (K):	0
#CCT McCamy (K):	2101
#CCT Hernández-Andrés (K):	0
#Melatonin: 6.435
#Chlorophyll a: -0.001
#Chlorophyll b: 6.904
#Beta Carotene: -0.020
#Manufacturer: Kingbright
#Luminance manufacturer: 1100mc
#Other data: Kingbright Blue 465nm
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00264943
302.00000000	0.00043964
303.00000000	0.00047907
304.00000000	0.00007379
305.00000000	0.00157077
306.00000000	0.00000000
307.00000000	0.00011112
308.00000000	0.00000000
309.00000000	0.00000616
310.00000000	0.00157334
311.00000000	0.00092305
312.00000000	0.00183961
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00172812
316.00000000	0.00010799
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00000000
320.00000000	0.00284698
321.00000000	0.00000000
322.00000000	0.00002241
323.00000000	0.00216798
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00002040
327.00000000	0.00000785
328.00000000	0.00208901
329.00000000	0.00127726
330.00000000	0.00181443
331.00000000	0.00000000
332.00000000	0.00143806
333.00000000	0.00009134
334.00000000	0.00000000
335.00000000	0.00000000
336.00000000	0.00001211
337.00000000	0.00019338
338.00000000	0.00195596
339.00000000	0.00071891
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00058041
343.00000000	0.00000000
344.00000000	0.00012262
345.00000000	0.00183895
346.00000000	0.00018253
347.00000000	0.00172139
348.00000000	0.00082588
349.00000000	0.00015459
350.00000000	0.00043941
351.00000000	0.00026450
352.00000000	0.00116926
353.00000000	0.00000000
