#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0661	0.0408	0.4123
#xyY coordinates: 0.1273	0.0786	0.0408
#sRGB: 0	8	110
#CCT Lindbloom (K):	0
#CCT McCamy (K):	2216
#CCT Hernández-Andrés (K):	0
#Melatonin: 6.093
#Chlorophyll a: -0.003
#Chlorophyll b: 6.746
#Beta Carotene: -0.021
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00084321
304.00000000	0.00002309
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00032026
313.00000000	0.00000019
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000101
317.00000000	0.00000000
318.00000000	0.00001334
319.00000000	0.00037483
320.00000000	0.00070601
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00296549
325.00000000	0.00006766
326.00000000	0.00056608
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00008306
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00063903
335.00000000	0.00000000
336.00000000	0.00006529
337.00000000	0.00028456
338.00000000	0.00000000
339.00000000	0.00127723
340.00000000	0.00004175
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00045147
344.00000000	0.00144018
345.00000000	0.00000000
346.00000000	0.00000000
347.00000000	0.00000000
348.00000000	0.00000000
349.00000000	0.00000000
350.00000000	0.00000000
351.00000000	0.00000000
352.00000000	0.00000000
353.00000000	0.00099009
354.00000000	0.00000000
355.00000000	0.00018759
356.00000000	0.00000000
357.00000000	0.00000000
358.00000000	0.00009396
359.00000000	0.00000000
360.00000000	0.00000000
361.00000000	0.00000000
362.00000000	0.00000000
363.00000000	0.00000000
364.00000000	0.00003531
365.00000000	0.00000000
366.00000000	0.00028983
367.00000000	0.00003108
368.00000000	0.00002788
369.00000000	0.00000000
370.00000000	0.00038458
371.00000000	0.00000000
372.00000000	0.00000000
373.00000000	0.00000000
374.00000000	0.00000000
375.00000000	0.00000000
376.00000000	0.00000039
377.00000000	0.00027261
378.00000000	0.00047194
379.00000000	0.00008612
380.00000000	0.00176870
381.00000000	0.00049654
382.00000000	0.00000000
383.00000000	0.00044799
384.00000000	0.00124563
385.00000000	0.00000000
386.00000000	0.00000000
387.00000000	0.00024594
388.00000000	0.00065726
389.00000000	0.00000001
390.00000000	0.00017450
391.00000000	0.00000000
392.00000000	0.00000000
393.00000000	0.00006227
394.00000000	0.00051714
395.00000000	0.00015908
396.00000000	0.00000000
397.00000000	0.00063103
398.00000000	0.00000000
399.00000000	0.00000000
400.00000000	0.00000000
401.00000000	0.00006382
402.00000000	0.00046810
403.00000000	0.00069897
404.00000000	0.00000000
405.00000000	0.00029055
406.00000000	0.00000000
407.00000000	0.00067175
408.00000000	0.00114654
409.00000000	0.00000000
410.00000000	0.00048590
411.00000000	0.00058534
412.00000000	0.00004140
413.00000000	0.00119169
414.00000000	0.00060633
415.00000000	0.00041450
416.00000000	0.00080645
417.00000000	0.00087538
418.00000000	0.00178619
419.00000000	0.00243474
420.00000000	0.00228200
421.00000000	0.00350828
422.00000000	0.00415233
423.00000000	0.00516828
424.00000000	0.00574298
425.00000000	0.00679408
426.00000000	0.00859289
427.00000000	0.01107641
428.00000000	0.01201804
429.00000000	0.01550954
430.00000000	0.01838390
431.00000000	0.02050530
432.00000000	0.02482687
433.00000000	0.03042209
434.00000000	0.03416289
435.00000000	0.04265849
436.00000000	0.04869280
437.00000000	0.05865816
438.00000000	0.06837040
439.00000000	0.07895000
440.00000000	0.09196107
441.00000000	0.10734319
442.00000000	0.12163161
443.00000000	0.14386202
444.00000000	0.16297739
445.00000000	0.18747237
446.00000000	0.21360704
447.00000000	0.24160179
448.00000000	0.27818715
449.00000000	0.31838999
450.00000000	0.34956305
451.00000000	0.39180935
452.00000000	0.43577898
453.00000000	0.47746967
454.00000000	0.51919116
455.00000000	0.57374520
456.00000000	0.61999689
457.00000000	0.66215486
458.00000000	0.71340483
459.00000000	0.76189574
460.00000000	0.81690302
461.00000000	0.84938031
462.00000000	0.89375324
463.00000000	0.91702176
464.00000000	0.96310293
465.00000000	0.98968248
466.00000000	0.98579024
467.00000000	0.99607400
468.00000000	1.00000000
469.00000000	0.98300632
470.00000000	0.97389076
471.00000000	0.95848709
472.00000000	0.93045540
473.00000000	0.89936777
474.00000000	0.86521755
475.00000000	0.82756001
476.00000000	0.78678988
477.00000000	0.75701944
478.00000000	0.70938161
479.00000000	0.67101903
480.00000000	0.63077108
481.00000000	0.58782173
482.00000000	0.55090847
483.00000000	0.51683341
484.00000000	0.47626260
485.00000000	0.44356518
486.00000000	0.41418784
487.00000000	0.38159671
488.00000000	0.35490617
489.00000000	0.32813753
490.00000000	0.30012953
491.00000000	0.27757736
492.00000000	0.25249874
493.00000000	0.23541582
494.00000000	0.21519212
495.00000000	0.19839738
496.00000000	0.18322958
497.00000000	0.17095257
498.00000000	0.15470210
499.00000000	0.14237449
500.00000000	0.13152784
501.00000000	0.12027546
502.00000000	0.10985225
503.00000000	0.10062169
504.00000000	0.09301972
505.00000000	0.08637428
506.00000000	0.07931742
507.00000000	0.07220858
508.00000000	0.06692149
509.00000000	0.06055587
510.00000000	0.05593539
511.00000000	0.05040688
512.00000000	0.04623776
513.00000000	0.04322874
514.00000000	0.03948252
515.00000000	0.03672896
516.00000000	0.03410411
517.00000000	0.03123811
518.00000000	0.02791362
519.00000000	0.02603220
520.00000000	0.02414850
521.00000000	0.02187467
522.00000000	0.02011334
523.00000000	0.01824939
524.00000000	0.01674794
525.00000000	0.01536189
526.00000000	0.01402671
527.00000000	0.01312617
528.00000000	0.01249804
529.00000000	0.01092103
530.00000000	0.00978500
531.00000000	0.00923804
532.00000000	0.00862577
533.00000000	0.00828712
534.00000000	0.00777908
535.00000000	0.00645828
536.00000000	0.00653196
537.00000000	0.00615181
538.00000000	0.00533118
539.00000000	0.00528877
540.00000000	0.00458090
541.00000000	0.00416719
542.00000000	0.00389756
543.00000000	0.00391366
544.00000000	0.00304675
545.00000000	0.00315623
546.00000000	0.00257539
547.00000000	0.00267788
548.00000000	0.00245758
549.00000000	0.00168567
550.00000000	0.00295808
551.00000000	0.00169276
552.00000000	0.00166119
553.00000000	0.00141255
554.00000000	0.00151790
555.00000000	0.00173951
556.00000000	0.00129034
557.00000000	0.00110643
558.00000000	0.00100246
559.00000000	0.00129775
560.00000000	0.00101017
561.00000000	0.00087083
562.00000000	0.00084035
563.00000000	0.00072146
564.00000000	0.00085328
565.00000000	0.00080713
566.00000000	0.00099806
567.00000000	0.00082206
