#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0866	0.3223	0.0495
#xyY coordinates: 0.1889	0.7032	0.3223
#sRGB: 0	133	0
#CCT Lindbloom (K):	7613
#CCT McCamy (K):	7686
#CCT Hernández-Andrés (K):	7629
#Melatonin: 0.437
#Chlorophyll a: -0.002
#Chlorophyll b: 0.114
#Beta Carotene: 0.000
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00000000
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00000000
335.00000000	0.00000000
336.00000000	0.00000000
337.00000000	0.00000000
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00000000
344.00000000	0.00000000
345.00000000	0.00000000
346.00000000	0.00000000
347.00000000	0.00000000
348.00000000	0.00000000
349.00000000	0.00000000
350.00000000	0.00000000
351.00000000	0.00000000
352.00000000	0.00000000
353.00000000	0.00000000
354.00000000	0.00000000
355.00000000	0.00000000
356.00000000	0.00000000
357.00000000	0.00000000
358.00000000	0.00000000
359.00000000	0.00000000
360.00000000	0.00000000
361.00000000	0.00000000
362.00000000	0.00000000
363.00000000	0.00000000
364.00000000	0.00000000
365.00000000	0.00000000
366.00000000	0.00000000
367.00000000	0.00000000
368.00000000	0.00000000
369.00000000	0.00000000
370.00000000	0.00000000
371.00000000	0.00000000
372.00000000	0.00000000
373.00000000	0.00000000
374.00000000	0.00000000
375.00000000	0.00000000
376.00000000	0.00000000
377.00000000	0.00000000
378.00000000	0.00000000
379.00000000	0.00000000
380.00000000	0.00000000
381.00000000	0.00000000
382.00000000	0.00000000
383.00000000	0.00000000
384.00000000	0.00000000
385.00000000	0.00000000
386.00000000	0.00000000
387.00000000	0.00000000
388.00000000	0.00000000
389.00000000	0.00000000
390.00000000	0.00000000
391.00000000	0.00000000
392.00000000	0.00000000
393.00000000	0.00000000
394.00000000	0.00000000
395.00000000	0.00000000
396.00000000	0.00000000
397.00000000	0.00000000
398.00000000	0.00000000
399.00000000	0.00000000
400.00000000	0.00000000
401.00000000	0.00000000
402.00000000	0.00000000
403.00000000	0.00000000
404.00000000	0.00000000
405.00000000	0.00000000
406.00000000	0.00000000
407.00000000	0.00000000
408.00000000	0.00000000
409.00000000	0.00000000
410.00000000	0.00000000
411.00000000	0.00000000
412.00000000	0.00000000
413.00000000	0.00000000
414.00000000	0.00000000
415.00000000	0.00000000
416.00000000	0.00000000
417.00000000	0.00000000
418.00000000	0.00000000
419.00000000	0.00000000
420.00000000	0.00000000
421.00000000	0.00000000
422.00000000	0.00000000
423.00000000	0.00000000
424.00000000	0.00000000
425.00000000	0.00000000
426.00000000	0.00000000
427.00000000	0.00000000
428.00000000	0.00000000
429.00000000	0.00000000
430.00000000	0.00000000
431.00000000	0.00000000
432.00000000	0.00000000
433.00000000	0.00000000
434.00000000	0.00000000
435.00000000	0.00000000
436.00000000	0.00000000
437.00000000	0.00000000
438.00000000	0.00000000
439.00000000	0.00000000
440.00000000	0.00000000
441.00000000	0.00359712
442.00000000	0.00000000
443.00000000	0.00000000
444.00000000	0.00359712
445.00000000	0.00359712
446.00000000	0.00359712
447.00000000	0.00359712
448.00000000	0.00359712
449.00000000	0.00359712
450.00000000	0.00359712
451.00000000	0.00359712
452.00000000	0.00359712
453.00000000	0.00719424
454.00000000	0.00359712
455.00000000	0.00719424
456.00000000	0.01079137
457.00000000	0.00719424
458.00000000	0.01079137
459.00000000	0.00359712
460.00000000	0.00719424
461.00000000	0.00719424
462.00000000	0.01079137
463.00000000	0.01079137
464.00000000	0.01438849
465.00000000	0.01079137
466.00000000	0.01798561
467.00000000	0.01438849
468.00000000	0.01798561
469.00000000	0.02158273
470.00000000	0.02158273
471.00000000	0.02158273
472.00000000	0.02877698
473.00000000	0.02877698
474.00000000	0.03237410
475.00000000	0.03597122
476.00000000	0.03956835
477.00000000	0.04316547
478.00000000	0.04316547
479.00000000	0.05035971
480.00000000	0.05395683
481.00000000	0.06115108
482.00000000	0.06474820
483.00000000	0.07553957
484.00000000	0.07913669
485.00000000	0.08633094
486.00000000	0.09352518
487.00000000	0.10071942
488.00000000	0.10791367
489.00000000	0.12230216
490.00000000	0.13309353
491.00000000	0.14388489
492.00000000	0.15467626
493.00000000	0.17266187
494.00000000	0.19064748
495.00000000	0.20863309
496.00000000	0.23021583
497.00000000	0.25179856
498.00000000	0.27697842
499.00000000	0.30215827
500.00000000	0.33453237
501.00000000	0.36330935
502.00000000	0.40287770
503.00000000	0.43884892
504.00000000	0.47482014
505.00000000	0.51079137
506.00000000	0.55395683
507.00000000	0.60431655
508.00000000	0.64388489
509.00000000	0.69424460
510.00000000	0.73381295
511.00000000	0.78776978
512.00000000	0.82733813
513.00000000	0.85251799
514.00000000	0.89208633
515.00000000	0.92805755
516.00000000	0.94964029
517.00000000	0.96402878
518.00000000	0.98201439
519.00000000	0.99280576
520.00000000	1.00000000
521.00000000	0.99640288
522.00000000	0.99280576
523.00000000	0.98561151
524.00000000	0.97482014
525.00000000	0.95323741
526.00000000	0.93165468
527.00000000	0.91007194
528.00000000	0.88848921
529.00000000	0.86330935
530.00000000	0.83453237
531.00000000	0.80575540
532.00000000	0.77697842
533.00000000	0.75179856
534.00000000	0.71942446
535.00000000	0.69784173
536.00000000	0.66906475
537.00000000	0.64388489
538.00000000	0.61870504
539.00000000	0.59352518
540.00000000	0.56474820
541.00000000	0.54676259
542.00000000	0.51798561
543.00000000	0.49280576
544.00000000	0.47482014
545.00000000	0.44964029
546.00000000	0.42446043
547.00000000	0.40647482
548.00000000	0.38489209
549.00000000	0.36690647
550.00000000	0.34532374
551.00000000	0.32733813
552.00000000	0.30935252
553.00000000	0.29496403
554.00000000	0.27697842
555.00000000	0.26258993
556.00000000	0.24820144
557.00000000	0.23741007
558.00000000	0.22302158
559.00000000	0.21223022
560.00000000	0.19784173
561.00000000	0.18705036
562.00000000	0.17625899
563.00000000	0.16546763
564.00000000	0.15467626
565.00000000	0.14388489
566.00000000	0.13669065
567.00000000	0.12589928
