#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/01/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1734	0.0751	0.0004
#xyY coordinates: 0.6967	0.3018	0.0751
#sRGB: 114	0	0
#CCT Lindbloom (K):	0
#CCT McCamy (K):	4957
#CCT Hernández-Andrés (K):	0
#Melatonin: 0.014
#Chlorophyll a: -0.002
#Chlorophyll b: 1.312
#Beta Carotene: 0.004
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Traffic light in Spain
#Begin Processed Spectral Data
W	S
300.00000000	0.00008100
301.00000000	0.00017629
302.00000000	0.00000000
303.00000000	0.00029479
304.00000000	0.00010405
305.00000000	0.00000000
306.00000000	0.00014979
307.00000000	0.00007495
308.00000000	0.00000047
309.00000000	0.00054206
310.00000000	0.00074049
311.00000000	0.00000000
312.00000000	0.00004156
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00010170
316.00000000	0.00025950
317.00000000	0.00015940
318.00000000	0.00000000
319.00000000	0.00140702
320.00000000	0.00037594
321.00000000	0.00064682
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00053206
325.00000000	0.00025783
326.00000000	0.00016952
327.00000000	0.00114657
328.00000000	0.00000000
329.00000000	0.00021754
330.00000000	0.00000000
331.00000000	0.00085561
332.00000000	0.00000181
333.00000000	0.00000000
334.00000000	0.00013394
335.00000000	0.00054521
336.00000000	0.00000000
337.00000000	0.00000000
338.00000000	0.00024864
339.00000000	0.00057753
340.00000000	0.00061175
341.00000000	0.00000000
342.00000000	0.00004718
343.00000000	0.00019472
344.00000000	0.00076146
345.00000000	0.00005213
346.00000000	0.00000000
347.00000000	0.00000000
348.00000000	0.00000000
349.00000000	0.00010012
350.00000000	0.00047232
351.00000000	0.00018827
352.00000000	0.00000000
353.00000000	0.00055300
354.00000000	0.00060909
355.00000000	0.00031478
356.00000000	0.00068223
357.00000000	0.00000700
358.00000000	0.00117409
359.00000000	0.00054902
360.00000000	0.00000000
361.00000000	0.00000000
362.00000000	0.00000000
363.00000000	0.00000025
364.00000000	0.00142728
365.00000000	0.00023977
366.00000000	0.00035981
367.00000000	0.00002396
368.00000000	0.00100810
369.00000000	0.00000000
370.00000000	0.00000000
371.00000000	0.00044519
372.00000000	0.00003886
373.00000000	0.00000000
374.00000000	0.00000000
375.00000000	0.00043923
376.00000000	0.00000000
377.00000000	0.00000000
378.00000000	0.00000000
379.00000000	0.00002820
380.00000000	0.00014691
381.00000000	0.00060792
382.00000000	0.00058129
383.00000000	0.00000000
384.00000000	0.00081566
385.00000000	0.00000000
386.00000000	0.00039548
387.00000000	0.00000000
388.00000000	0.00102776
389.00000000	0.00000284
390.00000000	0.00001381
391.00000000	0.00016253
392.00000000	0.00000044
393.00000000	0.00000000
394.00000000	0.00066157
395.00000000	0.00000000
396.00000000	0.00006080
397.00000000	0.00000000
398.00000000	0.00020972
399.00000000	0.00000000
400.00000000	0.00071456
401.00000000	0.00000000
402.00000000	0.00069599
403.00000000	0.00026097
404.00000000	0.00029535
405.00000000	0.00000000
406.00000000	0.00007357
407.00000000	0.00006460
408.00000000	0.00036993
409.00000000	0.00002511
410.00000000	0.00000000
411.00000000	0.00000000
412.00000000	0.00079975
413.00000000	0.00002321
414.00000000	0.00010199
415.00000000	0.00000000
416.00000000	0.00063019
417.00000000	0.00000000
418.00000000	0.00000000
419.00000000	0.00000000
