#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.8060	0.7209	0.4103
#xyY coordinates: 0.4160	0.3722	0.7209
#sRGB: 255	116	65
#CCT Lindbloom (K):	2973
#CCT McCamy (K):	3119
#CCT Hernández-Andrés (K):	3106
#Melatonin: 0.414
#Chlorophyll a: 0.175
#Chlorophyll b: 0.731
#Beta Carotene: 0.176
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp tested in laboratory
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00316838
303.00000000	0.00000000
304.00000000	0.00149508
305.00000000	0.00000000
306.00000000	0.00181537
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00138008
311.00000000	0.00325560
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00350583
319.00000000	0.00000000
320.00000000	0.00186281
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.01058614
328.00000000	0.00000000
329.00000000	0.00001075
330.00000000	0.00000000
331.00000000	0.00012490
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00000000
335.00000000	0.00000000
336.00000000	0.00627744
337.00000000	0.00000000
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00039481
341.00000000	0.00061852
342.00000000	0.00054414
343.00000000	0.00000000
344.00000000	0.00000000
345.00000000	0.00000000
346.00000000	0.00000000
347.00000000	0.00000000
348.00000000	0.00035936
349.00000000	0.00000000
350.00000000	0.00139083
351.00000000	0.00000000
352.00000000	0.00170428
353.00000000	0.00147177
354.00000000	0.00000000
355.00000000	0.00000000
356.00000000	0.00012895
357.00000000	0.00064169
358.00000000	0.00072570
359.00000000	0.00000000
360.00000000	0.00058935
361.00000000	0.00000000
362.00000000	0.00000000
363.00000000	0.00130584
364.00000000	0.00006168
365.00000000	0.00000000
366.00000000	0.00000000
367.00000000	0.00000000
368.00000000	0.00098639
369.00000000	0.00000000
370.00000000	0.00000000
371.00000000	0.00059773
372.00000000	0.00000000
373.00000000	0.00000000
374.00000000	0.00000000
375.00000000	0.00071035
376.00000000	0.00000000
377.00000000	0.00038029
378.00000000	0.00078613
379.00000000	0.00000000
380.00000000	0.00064364
381.00000000	0.00000000
382.00000000	0.00078557
383.00000000	0.00000000
384.00000000	0.00000000
385.00000000	0.00020389
386.00000000	0.00000000
387.00000000	0.00000000
388.00000000	0.00000000
389.00000000	0.00000000
390.00000000	0.00099477
391.00000000	0.00000000
392.00000000	0.00022427
393.00000000	0.00158914
394.00000000	0.00266025
395.00000000	0.00174628
396.00000000	0.00129635
397.00000000	0.00000000
398.00000000	0.00114046
399.00000000	0.00186365
400.00000000	0.00308031
401.00000000	0.00448078
402.00000000	0.00328323
403.00000000	0.00108032
404.00000000	0.00000000
405.00000000	0.00218645
406.00000000	0.00361133
407.00000000	0.00666792
408.00000000	0.00721778
409.00000000	0.00947317
410.00000000	0.01159472
411.00000000	0.01325420
412.00000000	0.01704473
413.00000000	0.01901277
414.00000000	0.02204228
415.00000000	0.02782387
416.00000000	0.03727178
417.00000000	0.04170204
418.00000000	0.04755704
419.00000000	0.05579735
420.00000000	0.06768989
421.00000000	0.07999622
422.00000000	0.09414610
423.00000000	0.11304778
424.00000000	0.12653937
425.00000000	0.15398532
426.00000000	0.17361201
427.00000000	0.19725250
428.00000000	0.22050670
429.00000000	0.24897338
430.00000000	0.27877939
431.00000000	0.31317922
432.00000000	0.33973954
433.00000000	0.36909771
434.00000000	0.39897894
435.00000000	0.43150479
436.00000000	0.46520711
437.00000000	0.49641791
438.00000000	0.52617982
439.00000000	0.56499734
440.00000000	0.59478032
441.00000000	0.62229815
442.00000000	0.66290815
443.00000000	0.70503291
444.00000000	0.73548688
445.00000000	0.77928270
446.00000000	0.80662720
447.00000000	0.84108606
448.00000000	0.86017656
449.00000000	0.86550487
450.00000000	0.86081559
451.00000000	0.82804943
452.00000000	0.79350083
453.00000000	0.73351828
454.00000000	0.68441997
455.00000000	0.61858271
456.00000000	0.55770546
457.00000000	0.49278704
458.00000000	0.44837842
459.00000000	0.39271155
460.00000000	0.35830795
461.00000000	0.32706771
462.00000000	0.30205411
463.00000000	0.27788608
464.00000000	0.26394051
465.00000000	0.23688644
466.00000000	0.22131963
467.00000000	0.20993131
468.00000000	0.20209375
469.00000000	0.18771304
470.00000000	0.17418601
471.00000000	0.16456700
472.00000000	0.14954014
473.00000000	0.13998407
474.00000000	0.12819090
475.00000000	0.12054356
476.00000000	0.11342124
477.00000000	0.11294549
478.00000000	0.10411121
479.00000000	0.10272303
480.00000000	0.10153037
481.00000000	0.10307444
482.00000000	0.09895093
483.00000000	0.10174460
484.00000000	0.09908281
485.00000000	0.10127861
486.00000000	0.10235139
487.00000000	0.10182777
488.00000000	0.10485519
489.00000000	0.10712929
490.00000000	0.10879770
491.00000000	0.11320897
492.00000000	0.12084473
493.00000000	0.12437553
494.00000000	0.13469651
495.00000000	0.13356540
496.00000000	0.14367914
497.00000000	0.15704289
498.00000000	0.16060412
499.00000000	0.17400765
500.00000000	0.18397457
501.00000000	0.19374682
502.00000000	0.20615642
503.00000000	0.21575156
504.00000000	0.22514141
505.00000000	0.24099013
506.00000000	0.24462058
507.00000000	0.25957599
508.00000000	0.27217887
509.00000000	0.28222590
510.00000000	0.29191636
511.00000000	0.30424725
512.00000000	0.31923239
513.00000000	0.32334068
514.00000000	0.34102947
515.00000000	0.35443537
516.00000000	0.36264568
517.00000000	0.37126615
518.00000000	0.37768957
519.00000000	0.39036377
520.00000000	0.39733132
521.00000000	0.41008758
522.00000000	0.42204474
523.00000000	0.43206539
524.00000000	0.43896400
525.00000000	0.45136788
526.00000000	0.46200719
527.00000000	0.46646341
528.00000000	0.47576310
529.00000000	0.48706769
530.00000000	0.49327186
531.00000000	0.49957568
532.00000000	0.51120515
533.00000000	0.51361266
534.00000000	0.52091263
535.00000000	0.52877001
536.00000000	0.53987642
537.00000000	0.54448321
538.00000000	0.55050205
539.00000000	0.56142885
540.00000000	0.56866938
541.00000000	0.57946486
542.00000000	0.58605393
543.00000000	0.59444678
544.00000000	0.59654880
545.00000000	0.61299287
546.00000000	0.61586594
547.00000000	0.62706306
548.00000000	0.63156296
549.00000000	0.64664997
550.00000000	0.65488498
551.00000000	0.66408518
552.00000000	0.67219696
553.00000000	0.68501728
554.00000000	0.68658940
555.00000000	0.70568450
556.00000000	0.71223575
557.00000000	0.72597576
558.00000000	0.73542939
559.00000000	0.75249072
560.00000000	0.76496131
561.00000000	0.77625068
562.00000000	0.78184931
563.00000000	0.78742310
564.00000000	0.79454333
565.00000000	0.80714203
566.00000000	0.81747236
