#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.2100	0.2073	0.1841
#xyY coordinates: 0.3492	0.3447	0.2073
#sRGB: 69	49	42
#CCT Lindbloom (K):	4813
#CCT McCamy (K):	4821
#CCT Hernández-Andrés (K):	4842
#Melatonin: 0.843
#Chlorophyll a: 0.212
#Chlorophyll b: 0.766
#Beta Carotene: 0.217
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00000000
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00153337
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00000000
335.00000000	0.00000000
336.00000000	0.00000000
337.00000000	0.00000000
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00195897
343.00000000	0.00118202
344.00000000	0.00000000
345.00000000	0.00266307
346.00000000	0.00150560
347.00000000	0.00489028
348.00000000	0.00300879
349.00000000	0.00277395
350.00000000	0.00225538
351.00000000	0.00000000
352.00000000	0.00408536
353.00000000	0.00511908
354.00000000	0.00710341
355.00000000	0.00861223
356.00000000	0.01924802
357.00000000	0.03583418
358.00000000	0.04415422
359.00000000	0.03780401
360.00000000	0.02608319
361.00000000	0.03328701
362.00000000	0.04007751
363.00000000	0.05524559
364.00000000	0.10869340
365.00000000	0.20005590
366.00000000	0.18049457
367.00000000	0.09612379
368.00000000	0.04523220
369.00000000	0.02912699
370.00000000	0.02968741
371.00000000	0.02846052
372.00000000	0.03409434
373.00000000	0.03217964
374.00000000	0.03283203
375.00000000	0.03173553
376.00000000	0.03148983
377.00000000	0.03194461
378.00000000	0.03302702
379.00000000	0.03731321
380.00000000	0.03995053
381.00000000	0.04335071
382.00000000	0.04309977
383.00000000	0.05375489
384.00000000	0.05747462
385.00000000	0.04820517
386.00000000	0.04615766
387.00000000	0.05394525
388.00000000	0.06047897
389.00000000	0.05953098
390.00000000	0.10054984
391.00000000	0.21688172
392.00000000	0.20217908
393.00000000	0.15288364
394.00000000	0.11713298
395.00000000	0.10257401
396.00000000	0.10045043
397.00000000	0.09436122
398.00000000	0.07586560
399.00000000	0.08824364
400.00000000	0.11293392
401.00000000	0.12904497
402.00000000	0.26709577
403.00000000	0.30947816
404.00000000	0.31535527
405.00000000	0.39302993
406.00000000	0.27767220
407.00000000	0.18257367
408.00000000	0.20900016
409.00000000	0.20151482
410.00000000	0.14434124
411.00000000	0.10596533
412.00000000	0.09097372
413.00000000	0.12027779
414.00000000	0.16655337
415.00000000	0.17763529
416.00000000	0.19490261
417.00000000	0.18393781
418.00000000	0.13345975
419.00000000	0.10524533
420.00000000	0.09950968
421.00000000	0.11756582
422.00000000	0.13558433
423.00000000	0.17061218
424.00000000	0.23467646
425.00000000	0.28001411
426.00000000	0.20593120
427.00000000	0.14828474
428.00000000	0.13390466
429.00000000	0.13953024
430.00000000	0.14788007
431.00000000	0.20117293
432.00000000	0.28561292
433.00000000	0.23822313
434.00000000	0.18792397
435.00000000	0.28903081
436.00000000	0.61871263
437.00000000	0.48277856
438.00000000	0.36306401
439.00000000	0.22671521
440.00000000	0.21218824
441.00000000	0.20561930
442.00000000	0.20333715
443.00000000	0.17937331
444.00000000	0.16591628
445.00000000	0.15205880
446.00000000	0.13375958
447.00000000	0.11827355
448.00000000	0.12847126
449.00000000	0.13439184
450.00000000	0.12514433
451.00000000	0.11581633
452.00000000	0.12456499
453.00000000	0.13125105
454.00000000	0.12912767
455.00000000	0.13518207
456.00000000	0.13986670
457.00000000	0.14275515
458.00000000	0.12984948
459.00000000	0.10544314
460.00000000	0.12974283
461.00000000	0.12750355
462.00000000	0.09085158
463.00000000	0.06722460
464.00000000	0.05829282
465.00000000	0.05772313
466.00000000	0.06389465
467.00000000	0.09050063
468.00000000	0.09235396
469.00000000	0.08960939
470.00000000	0.10071746
471.00000000	0.15308044
472.00000000	0.16942130
473.00000000	0.33715972
474.00000000	0.57042737
475.00000000	0.47775708
476.00000000	0.29827510
477.00000000	0.16844896
478.00000000	0.14198444
479.00000000	0.11433065
480.00000000	0.09836710
481.00000000	0.09284294
482.00000000	0.09032657
483.00000000	0.11426767
484.00000000	0.14085977
485.00000000	0.12916269
486.00000000	0.10350450
487.00000000	0.08256916
488.00000000	0.07962477
489.00000000	0.07054670
490.00000000	0.06727450
491.00000000	0.07977267
492.00000000	0.08346745
493.00000000	0.08166705
494.00000000	0.08654908
495.00000000	0.08981826
496.00000000	0.08643277
497.00000000	0.08709804
498.00000000	0.12948043
499.00000000	0.13520904
500.00000000	0.11050024
501.00000000	0.08662394
502.00000000	0.10779290
503.00000000	0.11908611
504.00000000	0.10416372
505.00000000	0.08703847
506.00000000	0.11871907
507.00000000	0.25485819
508.00000000	0.56910529
509.00000000	0.75777662
510.00000000	0.53411688
511.00000000	0.37714627
512.00000000	0.21800458
513.00000000	0.11118040
514.00000000	0.07463548
515.00000000	0.06164812
516.00000000	0.06191857
517.00000000	0.05071169
518.00000000	0.04781901
519.00000000	0.04388276
520.00000000	0.05289966
521.00000000	0.09115201
522.00000000	0.10928884
523.00000000	0.08420778
524.00000000	0.07669527
525.00000000	0.06181675
526.00000000	0.08163747
527.00000000	0.05844998
528.00000000	0.06375781
529.00000000	0.07541746
530.00000000	0.06068866
531.00000000	0.05983806
532.00000000	0.05756034
533.00000000	0.06480320
534.00000000	0.12087565
535.00000000	0.24070550
536.00000000	0.24422340
537.00000000	0.16540013
538.00000000	0.15486374
539.00000000	0.13956224
540.00000000	0.12721901
541.00000000	0.08489518
542.00000000	0.08334410
543.00000000	0.08765404
544.00000000	0.11933664
545.00000000	0.20920803
546.00000000	0.74581573
547.00000000	0.67245202
548.00000000	0.53811994
549.00000000	0.45905439
550.00000000	0.20003397
551.00000000	0.19594377
552.00000000	0.29106585
553.00000000	0.22317759
554.00000000	0.15949806
555.00000000	0.12610480
556.00000000	0.09164965
557.00000000	0.08061985
558.00000000	0.07047647
559.00000000	0.08607499
560.00000000	0.07500051
561.00000000	0.06545720
562.00000000	0.05940481
563.00000000	0.05575571
564.00000000	0.05979318
565.00000000	0.07793545
566.00000000	0.09687197
567.00000000	0.26907184
