#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1504	0.1489	0.1391
#xyY coordinates: 0.3431	0.3396	0.1489
#sRGB: 48	36	32
#CCT Lindbloom (K):	5040
#CCT McCamy (K):	5046
#CCT Hernández-Andrés (K):	5067
#Melatonin: 0.963
#Chlorophyll a: 0.077
#Chlorophyll b: 0.771
#Beta Carotene: 0.085
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.02174101
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00546279
305.00000000	0.00918253
306.00000000	0.00000000
307.00000000	0.00194296
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00005460
311.00000000	0.00189287
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00450793
320.00000000	0.00016144
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00526076
325.00000000	0.00631581
326.00000000	0.00089076
327.00000000	0.00077206
328.00000000	0.01602419
329.00000000	0.00531607
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.01263137
335.00000000	0.00000000
336.00000000	0.02557755
337.00000000	0.00471638
338.00000000	0.00016524
339.00000000	0.00949140
340.00000000	0.02241051
341.00000000	0.01521415
342.00000000	0.00857547
343.00000000	0.01489602
344.00000000	0.02171490
345.00000000	0.02024866
346.00000000	0.02011049
347.00000000	0.01865754
348.00000000	0.01378946
349.00000000	0.00000000
350.00000000	0.01311260
351.00000000	0.01901080
352.00000000	0.01172874
353.00000000	0.02385586
354.00000000	0.04098733
355.00000000	0.05304465
356.00000000	0.08281200
357.00000000	0.14471179
358.00000000	0.18182151
359.00000000	0.15881795
360.00000000	0.10439728
361.00000000	0.11678388
362.00000000	0.14770528
363.00000000	0.16588420
364.00000000	0.34595030
365.00000000	0.88993908
366.00000000	1.00000000
367.00000000	0.52748336
368.00000000	0.18118454
369.00000000	0.08421604
370.00000000	0.08050652
371.00000000	0.06667504
372.00000000	0.07610423
373.00000000	0.07692306
374.00000000	0.07194055
375.00000000	0.06441894
376.00000000	0.06299211
377.00000000	0.06409464
378.00000000	0.05577224
379.00000000	0.06097555
380.00000000	0.06044826
381.00000000	0.06677926
382.00000000	0.06150236
383.00000000	0.08000131
384.00000000	0.08345989
385.00000000	0.07743847
386.00000000	0.06222836
387.00000000	0.07180095
388.00000000	0.08038473
389.00000000	0.07500764
390.00000000	0.13006053
391.00000000	0.29575695
392.00000000	0.30257369
393.00000000	0.19945534
394.00000000	0.17290037
395.00000000	0.16802231
396.00000000	0.17460331
397.00000000	0.16209396
398.00000000	0.10704392
399.00000000	0.09828398
400.00000000	0.12918046
401.00000000	0.14995569
402.00000000	0.31170066
403.00000000	0.38570714
404.00000000	0.42079389
405.00000000	0.61909019
406.00000000	0.47618747
407.00000000	0.25705278
408.00000000	0.23944554
409.00000000	0.23892562
410.00000000	0.15602767
411.00000000	0.10312072
412.00000000	0.08022685
413.00000000	0.08629171
414.00000000	0.11497648
415.00000000	0.12956577
416.00000000	0.14814473
417.00000000	0.13356398
418.00000000	0.10750473
419.00000000	0.07979856
420.00000000	0.07255330
421.00000000	0.08356910
422.00000000	0.09576934
423.00000000	0.10429638
424.00000000	0.16356068
425.00000000	0.22496641
426.00000000	0.18441829
427.00000000	0.11982225
428.00000000	0.09282902
429.00000000	0.09060901
430.00000000	0.09361817
431.00000000	0.15034789
432.00000000	0.23880478
433.00000000	0.22771205
434.00000000	0.18866365
435.00000000	0.35219109
436.00000000	0.86039655
437.00000000	0.76891032
