#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1040	0.1169	0.0806
#xyY coordinates: 0.3451	0.3877	0.1169
#sRGB: 30	31	17
#CCT Lindbloom (K):	5106
#CCT McCamy (K):	5094
#CCT Hernández-Andrés (K):	5065
#Melatonin: 0.846
#Chlorophyll a: 0.194
#Chlorophyll b: 0.707
#Beta Carotene: 0.202
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp at Paraninfo Universidad Complutense
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00114086
302.00000000	0.00000000
303.00000000	0.00266279
304.00000000	0.00000000
305.00000000	0.00010588
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00479808
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00883305
315.00000000	0.00000000
316.00000000	0.00561676
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00950078
320.00000000	0.00519848
321.00000000	0.00000000
322.00000000	0.01348758
323.00000000	0.00000000
324.00000000	0.00651867
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00255691
330.00000000	0.00114896
331.00000000	0.00774490
332.00000000	0.02119814
333.00000000	0.00517416
334.00000000	0.00448068
335.00000000	0.01014824
336.00000000	0.02611880
337.00000000	0.01725021
338.00000000	0.02599384
339.00000000	0.02460497
340.00000000	0.04088555
341.00000000	0.04642695
342.00000000	0.05027234
343.00000000	0.04936661
344.00000000	0.04667807
345.00000000	0.07644241
346.00000000	0.08501576
347.00000000	0.06613511
348.00000000	0.06626007
349.00000000	0.08468285
350.00000000	0.08773961
351.00000000	0.16091063
352.00000000	0.37759805
353.00000000	0.44877615
354.00000000	0.30546414
355.00000000	0.17360290
356.00000000	0.13066291
357.00000000	0.11870895
358.00000000	0.10797908
359.00000000	0.11707088
360.00000000	0.10870142
361.00000000	0.09210105
362.00000000	0.07880425
363.00000000	0.09022378
364.00000000	0.13565511
365.00000000	0.27552047
366.00000000	0.28633571
367.00000000	0.21726953
368.00000000	0.15238783
369.00000000	0.13425146
