#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/01/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1025	0.1025	0.1033
#xyY coordinates: 0.3324	0.3326	0.1025
#sRGB: 31	25	24
#CCT Lindbloom (K):	5494
#CCT McCamy (K):	5501
#CCT Hernández-Andrés (K):	5517
#Melatonin: 0.863
#Chlorophyll a: 0.192
#Chlorophyll b: 1.072
#Beta Carotene: 0.197
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000506
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00000000
320.00000000	0.00122461
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00104217
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00000000
335.00000000	0.00000000
336.00000000	0.00000000
337.00000000	0.00036162
338.00000000	0.00120687
339.00000000	0.00000000
340.00000000	0.00000000
341.00000000	0.00299945
342.00000000	0.00117945
343.00000000	0.00471450
344.00000000	0.00638386
345.00000000	0.00535099
346.00000000	0.00031389
347.00000000	0.00738644
348.00000000	0.00732951
349.00000000	0.01055267
350.00000000	0.02290000
351.00000000	0.04786410
352.00000000	0.19233210
353.00000000	0.23793673
354.00000000	0.12597310
355.00000000	0.06095854
356.00000000	0.04004743
357.00000000	0.03626385
358.00000000	0.02789041
359.00000000	0.03276877
360.00000000	0.03374493
361.00000000	0.03744466
362.00000000	0.03824574
363.00000000	0.03578755
364.00000000	0.06939473
365.00000000	0.28695697
366.00000000	0.34343927
367.00000000	0.16642474
368.00000000	0.06582004
369.00000000	0.05149117
370.00000000	0.04227989
371.00000000	0.04627697
372.00000000	0.04358735
373.00000000	0.04153012
374.00000000	0.04406199
375.00000000	0.05468713
376.00000000	0.05767251
377.00000000	0.11374371
378.00000000	0.29690345
379.00000000	0.27838980
380.00000000	0.18253329
381.00000000	0.10838519
382.00000000	0.06494535
383.00000000	0.05047873
384.00000000	0.04849097
385.00000000	0.04666523
386.00000000	0.04615170
387.00000000	0.04645641
388.00000000	0.04665272
389.00000000	0.04852419
390.00000000	0.04896995
391.00000000	0.05254485
392.00000000	0.04934698
393.00000000	0.05218782
394.00000000	0.04963336
395.00000000	0.05188624
396.00000000	0.05546056
397.00000000	0.05141933
398.00000000	0.05595726
399.00000000	0.05436139
400.00000000	0.05482273
401.00000000	0.05608920
402.00000000	0.05579412
403.00000000	0.05527634
404.00000000	0.09208673
405.00000000	0.20893779
406.00000000	0.12839146
407.00000000	0.06374267
408.00000000	0.07197610
409.00000000	0.07246481
410.00000000	0.22519566
411.00000000	0.36145046
412.00000000	0.23950882
413.00000000	0.14545185
414.00000000	0.09018629
415.00000000	0.05971938
416.00000000	0.05182356
417.00000000	0.05054096
418.00000000	0.04827798
419.00000000	0.05224032
420.00000000	0.05054040
421.00000000	0.05362194
422.00000000	0.05283298
423.00000000	0.05400589
424.00000000	0.05643619
425.00000000	0.05789010
426.00000000	0.05745707
427.00000000	0.06015288
428.00000000	0.06044625
429.00000000	0.06298152
430.00000000	0.06563328
431.00000000	0.06697546
432.00000000	0.06634467
433.00000000	0.07270019
434.00000000	0.08989551
435.00000000	0.13947395
436.00000000	0.40057036
437.00000000	0.31240924
438.00000000	0.19117410
439.00000000	0.13986351
440.00000000	0.14090672
441.00000000	0.14610046
442.00000000	0.15526724
443.00000000	0.15921850
444.00000000	0.16222340
445.00000000	0.14765402
446.00000000	0.11512221
447.00000000	0.08543949
448.00000000	0.06304877
449.00000000	0.05848213
450.00000000	0.07227877
451.00000000	0.40752286
452.00000000	0.64695677
453.00000000	0.43151753
454.00000000	0.25572497
455.00000000	0.14318682
456.00000000	0.07244973
457.00000000	0.04125186
458.00000000	0.02627068
459.00000000	0.02143892
460.00000000	0.02027230
461.00000000	0.01831326
462.00000000	0.01701917
463.00000000	0.01720331
464.00000000	0.01856837
465.00000000	0.01519745
466.00000000	0.01840683
467.00000000	0.01795704
468.00000000	0.02073688
469.00000000	0.01729360
470.00000000	0.01775572
471.00000000	0.01527600
472.00000000	0.01616821
473.00000000	0.01634441
474.00000000	0.01701490
475.00000000	0.01582703
476.00000000	0.01598457
477.00000000	0.01467722
478.00000000	0.01549505
479.00000000	0.01472228
480.00000000	0.01345297
481.00000000	0.01394608
482.00000000	0.01442517
483.00000000	0.01420880
484.00000000	0.01560954
485.00000000	0.01538820
486.00000000	0.01454702
487.00000000	0.01664548
488.00000000	0.01624062
489.00000000	0.01514412
490.00000000	0.01664618
491.00000000	0.01711477
492.00000000	0.02003196
493.00000000	0.01847139
494.00000000	0.01698950
495.00000000	0.01675205
496.00000000	0.01657239
497.00000000	0.01765702
498.00000000	0.02452090
499.00000000	0.02737278
500.00000000	0.02195413
501.00000000	0.01835552
502.00000000	0.01654068
503.00000000	0.01581653
504.00000000	0.01504433
505.00000000	0.01473794
506.00000000	0.01652829
507.00000000	0.01563257
508.00000000	0.01713204
509.00000000	0.01651703
510.00000000	0.01623919
511.00000000	0.01805921
512.00000000	0.01700401
513.00000000	0.01618546
514.00000000	0.01734061
515.00000000	0.01865815
516.00000000	0.01923903
517.00000000	0.01929375
518.00000000	0.01868438
519.00000000	0.01934718
520.00000000	0.01933458
521.00000000	0.02169359
522.00000000	0.02290419
523.00000000	0.02228200
524.00000000	0.02046099
525.00000000	0.02043191
526.00000000	0.01860216
527.00000000	0.01838189
528.00000000	0.01876477
529.00000000	0.01865163
530.00000000	0.02136337
531.00000000	0.02206676
532.00000000	0.02505382
533.00000000	0.03122467
534.00000000	0.07285982
535.00000000	0.72736761
536.00000000	0.91726108
537.00000000	0.63734283
538.00000000	0.42534394
539.00000000	0.26139895
540.00000000	0.16869716
541.00000000	0.10059545
542.00000000	0.05650070
543.00000000	0.03629457
544.00000000	0.02788688
545.00000000	0.03763842
546.00000000	0.40271510
547.00000000	0.35640995
548.00000000	0.21659640
549.00000000	0.10684549
550.00000000	0.04401934
551.00000000	0.02713250
552.00000000	0.02210880
553.00000000	0.02310843
554.00000000	0.02251050
555.00000000	0.02015864
556.00000000	0.02038771
557.00000000	0.01806471
558.00000000	0.01860084
559.00000000	0.01729921
560.00000000	0.01869788
561.00000000	0.01754443
562.00000000	0.01714395
563.00000000	0.01688711
564.00000000	0.01791304
565.00000000	0.01683435
566.00000000	0.01815167
567.00000000	0.02063763
