#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1107	0.1148	0.1094
#xyY coordinates: 0.3306	0.3428	0.1148
#sRGB: 33	29	25
#CCT Lindbloom (K):	5582
#CCT McCamy (K):	5583
#CCT Hernández-Andrés (K):	5585
#Melatonin: 0.804
#Chlorophyll a: 0.182
#Chlorophyll b: 1.007
#Beta Carotene: 0.186
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00000000
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00058218
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00070154
333.00000000	0.00044333
334.00000000	0.00000000
335.00000000	0.00207636
336.00000000	0.00534558
337.00000000	0.00000000
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00297034
341.00000000	0.00000000
342.00000000	0.00460653
343.00000000	0.00392131
344.00000000	0.00480213
345.00000000	0.00424407
346.00000000	0.00528444
347.00000000	0.00779366
348.00000000	0.00964348
349.00000000	0.01435841
350.00000000	0.01956758
351.00000000	0.04727254
352.00000000	0.14624875
353.00000000	0.19877065
354.00000000	0.12360560
355.00000000	0.05844284
356.00000000	0.04219856
357.00000000	0.03653046
358.00000000	0.03236580
359.00000000	0.03126063
360.00000000	0.03166987
361.00000000	0.03104798
362.00000000	0.03193270
363.00000000	0.03831378
364.00000000	0.08356282
365.00000000	0.24840674
366.00000000	0.29190192
367.00000000	0.14701630
368.00000000	0.06119054
369.00000000	0.04068123
370.00000000	0.03595413
371.00000000	0.03643790
372.00000000	0.03499682
373.00000000	0.03673167
374.00000000	0.03747461
375.00000000	0.04382817
376.00000000	0.04826906
377.00000000	0.10029136
378.00000000	0.21074748
379.00000000	0.23782032
380.00000000	0.17471589
381.00000000	0.10782925
382.00000000	0.06464513
383.00000000	0.04553647
384.00000000	0.04108730
385.00000000	0.03793549
386.00000000	0.03909668
387.00000000	0.03724540
388.00000000	0.03759081
389.00000000	0.03889280
390.00000000	0.04084931
391.00000000	0.04111750
392.00000000	0.04521176
393.00000000	0.04168482
394.00000000	0.04150700
395.00000000	0.04283189
396.00000000	0.04410392
397.00000000	0.04342333
398.00000000	0.04535158
399.00000000	0.04812559
400.00000000	0.04857233
401.00000000	0.04790392
402.00000000	0.04907218
403.00000000	0.05503550
404.00000000	0.10511931
405.00000000	0.19553334
406.00000000	0.15124722
407.00000000	0.07345700
408.00000000	0.06884876
409.00000000	0.08600115
410.00000000	0.19607971
411.00000000	0.31311983
412.00000000	0.24709525
413.00000000	0.15426213
414.00000000	0.10198285
415.00000000	0.06814454
416.00000000	0.05609683
417.00000000	0.05426479
418.00000000	0.05278181
419.00000000	0.05329384
420.00000000	0.05468888
421.00000000	0.05350308
422.00000000	0.05802849
423.00000000	0.06049582
424.00000000	0.05805358
425.00000000	0.06246695
426.00000000	0.06440836
427.00000000	0.06566675
428.00000000	0.06531866
429.00000000	0.06973543
430.00000000	0.07380899
431.00000000	0.07178743
432.00000000	0.07796219
433.00000000	0.08286761
434.00000000	0.09450488
435.00000000	0.17252066
436.00000000	0.38855527
437.00000000	0.38639438
438.00000000	0.22493416
439.00000000	0.15710945
440.00000000	0.15014643
441.00000000	0.15461290
442.00000000	0.15842581
443.00000000	0.16438329
444.00000000	0.16264041
445.00000000	0.14994742
446.00000000	0.12224905
447.00000000	0.09297781
448.00000000	0.07168537
449.00000000	0.06020424
450.00000000	0.08295238
451.00000000	0.34663245
452.00000000	0.59598992
453.00000000	0.48717876
454.00000000	0.29459773
455.00000000	0.17684122
456.00000000	0.09386692
457.00000000	0.04855333
458.00000000	0.03194293
459.00000000	0.02682462
460.00000000	0.02279807
461.00000000	0.02197742
462.00000000	0.02029616
463.00000000	0.01805221
464.00000000	0.01772483
465.00000000	0.01780277
466.00000000	0.01689808
467.00000000	0.01821420
468.00000000	0.01910890
469.00000000	0.01787439
470.00000000	0.01795745
471.00000000	0.01829897
472.00000000	0.01767221
473.00000000	0.01587646
474.00000000	0.01580753
475.00000000	0.01582239
476.00000000	0.01690003
477.00000000	0.01536346
478.00000000	0.01648106
479.00000000	0.01533935
480.00000000	0.01462685
481.00000000	0.01567502
482.00000000	0.01449555
483.00000000	0.01539976
484.00000000	0.01551863
485.00000000	0.01559585
486.00000000	0.01647350
487.00000000	0.01585259
488.00000000	0.01616902
489.00000000	0.01573250
490.00000000	0.01612371
491.00000000	0.01760303
492.00000000	0.02068517
493.00000000	0.01792335
494.00000000	0.01542290
495.00000000	0.01518589
496.00000000	0.01755090
497.00000000	0.01914690
498.00000000	0.02209678
499.00000000	0.02415268
500.00000000	0.02223148
501.00000000	0.01868092
502.00000000	0.01702280
503.00000000	0.01687445
504.00000000	0.01643453
505.00000000	0.01587817
506.00000000	0.01482172
507.00000000	0.01600313
508.00000000	0.01631858
509.00000000	0.01655681
510.00000000	0.01640944
511.00000000	0.01714800
512.00000000	0.01732753
513.00000000	0.01837448
514.00000000	0.01926042
515.00000000	0.01917321
516.00000000	0.02077798
517.00000000	0.02060260
518.00000000	0.01944408
519.00000000	0.02080941
520.00000000	0.02193430
521.00000000	0.02402358
522.00000000	0.02563297
523.00000000	0.02583564
524.00000000	0.02395878
525.00000000	0.02200446
526.00000000	0.01901658
527.00000000	0.01860735
528.00000000	0.01805879
529.00000000	0.01933033
530.00000000	0.02048616
531.00000000	0.02106761
532.00000000	0.02438652
533.00000000	0.03183429
534.00000000	0.09454483
535.00000000	0.62132474
536.00000000	1.00000000
537.00000000	0.84399352
538.00000000	0.55892162
539.00000000	0.37860754
540.00000000	0.25565281
541.00000000	0.15425555
542.00000000	0.08247689
543.00000000	0.04782329
544.00000000	0.03489329
545.00000000	0.06043638
546.00000000	0.41887637
547.00000000	0.50228134
548.00000000	0.32854614
549.00000000	0.13654997
550.00000000	0.06288154
551.00000000	0.03751603
552.00000000	0.02836605
553.00000000	0.02622733
554.00000000	0.02532946
555.00000000	0.02199764
556.00000000	0.02091659
557.00000000	0.01930207
558.00000000	0.01875034
559.00000000	0.01858178
560.00000000	0.01812699
561.00000000	0.01797718
562.00000000	0.01755115
563.00000000	0.01733240
564.00000000	0.01805538
565.00000000	0.01777306
566.00000000	0.01752070
567.00000000	0.02041138
