#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/26
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0586	0.0619	0.0315
#xyY coordinates: 0.3855	0.4070	0.0619
#sRGB: 20	15	6
#CCT Lindbloom (K):	4075
#CCT McCamy (K):	4069
#CCT Hernández-Andrés (K):	4042
#Melatonin: 0.387
#Chlorophyll a: 0.065
#Chlorophyll b: 0.420
#Beta Carotene: 0.066
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Riba-Roja de Turia streetlamps
#Begin Processed Spectral Data
W	S
300.00000000	0.00147396
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00341159
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00313303
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00000000
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00510938
323.00000000	0.00005890
324.00000000	0.00037343
325.00000000	0.00338352
326.00000000	0.00000000
327.00000000	0.00000490
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00461139
335.00000000	0.00000000
336.00000000	0.00227675
337.00000000	0.00000000
338.00000000	0.00000000
339.00000000	0.00139467
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00146440
343.00000000	0.00000000
344.00000000	0.00423677
345.00000000	0.00000000
346.00000000	0.00000000
347.00000000	0.00000000
348.00000000	0.00000000
349.00000000	0.00000000
350.00000000	0.00000000
351.00000000	0.00000000
352.00000000	0.00000000
353.00000000	0.00000000
354.00000000	0.00000000
355.00000000	0.00000000
356.00000000	0.00000000
357.00000000	0.00000000
358.00000000	0.00000000
359.00000000	0.00000000
360.00000000	0.00037844
361.00000000	0.00001568
362.00000000	0.00013066
363.00000000	0.00000000
364.00000000	0.00000000
365.00000000	0.00000000
366.00000000	0.00000000
367.00000000	0.00000000
368.00000000	0.00000000
369.00000000	0.00000000
370.00000000	0.00000000
371.00000000	0.00000000
372.00000000	0.00013079
373.00000000	0.00056729
374.00000000	0.00099857
375.00000000	0.00202211
376.00000000	0.00000000
377.00000000	0.00000000
378.00000000	0.00048861
379.00000000	0.00000000
380.00000000	0.00000000
381.00000000	0.00000000
382.00000000	0.00000000
383.00000000	0.00000871
384.00000000	0.00000000
385.00000000	0.00000000
386.00000000	0.00145339
387.00000000	0.00022483
388.00000000	0.00000000
389.00000000	0.00000000
390.00000000	0.00361721
391.00000000	0.00000000
392.00000000	0.00000000
393.00000000	0.00000000
394.00000000	0.00000000
395.00000000	0.00000000
396.00000000	0.00211488
397.00000000	0.00000000
398.00000000	0.00051364
399.00000000	0.00000000
400.00000000	0.00000000
401.00000000	0.00262517
402.00000000	0.00000000
403.00000000	0.00175836
404.00000000	0.00671580
405.00000000	0.09764716
406.00000000	0.12365311
407.00000000	0.05562739
408.00000000	0.03633955
409.00000000	0.03236881
410.00000000	0.01583463
411.00000000	0.00771139
412.00000000	0.00485271
413.00000000	0.00197590
414.00000000	0.00159537
415.00000000	0.00212479
416.00000000	0.00239859
417.00000000	0.00035379
418.00000000	0.00119511
419.00000000	0.00199628
420.00000000	0.00290491
421.00000000	0.00172207
422.00000000	0.00249263
423.00000000	0.00376752
424.00000000	0.00218715
425.00000000	0.00256016
426.00000000	0.00255810
427.00000000	0.00274144
428.00000000	0.00109605
429.00000000	0.00368169
430.00000000	0.00589826
431.00000000	0.00345223
432.00000000	0.00383393
433.00000000	0.00665330
434.00000000	0.01834031
435.00000000	0.06913398
436.00000000	0.38908693
437.00000000	0.61617553
438.00000000	0.32153151
439.00000000	0.16252812
440.00000000	0.04440979
441.00000000	0.01965504
442.00000000	0.01086464
443.00000000	0.00415177
444.00000000	0.00579121
445.00000000	0.00326999
446.00000000	0.00258435
447.00000000	0.00652455
448.00000000	0.00397467
449.00000000	0.00511241
450.00000000	0.00297346
451.00000000	0.00171877
452.00000000	0.00381348
453.00000000	0.00099957
454.00000000	0.00258071
455.00000000	0.00397348
456.00000000	0.00302004
457.00000000	0.00431202
458.00000000	0.00145895
459.00000000	0.00162750
460.00000000	0.00202343
461.00000000	0.00129740
462.00000000	0.00043372
463.00000000	0.00183701
464.00000000	0.00338584
465.00000000	0.00251376
466.00000000	0.00403659
467.00000000	0.00112037
468.00000000	0.00168789
469.00000000	0.00197903
470.00000000	0.00260736
471.00000000	0.00310669
472.00000000	0.00214185
473.00000000	0.00341326
474.00000000	0.00184657
475.00000000	0.00374038
476.00000000	0.00398617
477.00000000	0.00309234
478.00000000	0.00338797
479.00000000	0.00297851
480.00000000	0.00234369
481.00000000	0.00344226
482.00000000	0.00091713
483.00000000	0.00344903
484.00000000	0.00412669
485.00000000	0.00280043
486.00000000	0.00361207
487.00000000	0.00340369
488.00000000	0.00408040
489.00000000	0.00255393
490.00000000	0.00312031
491.00000000	0.00412014
492.00000000	0.01228718
493.00000000	0.00941417
494.00000000	0.00708414
495.00000000	0.00521739
496.00000000	0.00396932
497.00000000	0.00565690
498.00000000	0.00230133
499.00000000	0.00351904
500.00000000	0.00309990
501.00000000	0.00096112
502.00000000	0.00329617
503.00000000	0.00282588
504.00000000	0.00291058
505.00000000	0.00307010
506.00000000	0.00321750
507.00000000	0.00249182
508.00000000	0.00193976
509.00000000	0.00201747
510.00000000	0.00383738
511.00000000	0.00161830
512.00000000	0.00348683
513.00000000	0.00359823
514.00000000	0.00398205
515.00000000	0.00251719
516.00000000	0.00321042
517.00000000	0.00281985
518.00000000	0.00275784
519.00000000	0.00233338
520.00000000	0.00279510
521.00000000	0.00243063
522.00000000	0.00323213
523.00000000	0.00359479
524.00000000	0.00352662
525.00000000	0.00322836
526.00000000	0.00272798
527.00000000	0.00282586
528.00000000	0.00360347
529.00000000	0.00272139
530.00000000	0.00511596
531.00000000	0.00395562
532.00000000	0.00289999
533.00000000	0.00517453
534.00000000	0.00445180
535.00000000	0.00491392
536.00000000	0.00600564
537.00000000	0.00586668
538.00000000	0.00826065
539.00000000	0.01011287
540.00000000	0.00881491
541.00000000	0.00911043
542.00000000	0.00872072
543.00000000	0.01046548
544.00000000	0.01183677
545.00000000	0.04073345
546.00000000	0.52580518
547.00000000	1.00000000
548.00000000	0.52544081
549.00000000	0.41122950
550.00000000	0.20750918
551.00000000	0.06506646
552.00000000	0.02768666
553.00000000	0.01964912
554.00000000	0.01413128
555.00000000	0.01018603
556.00000000	0.00829773
557.00000000	0.00687465
558.00000000	0.00597647
559.00000000	0.00659535
560.00000000	0.00579571
561.00000000	0.00681875
562.00000000	0.00649908
563.00000000	0.00607400
564.00000000	0.00484555
565.00000000	0.00475582
566.00000000	0.00517866
567.00000000	0.00428034
568.00000000	0.00503218
569.00000000	0.00312637
570.00000000	0.00490688
571.00000000	0.00639641
572.00000000	0.00707950
573.00000000	0.00767381
574.00000000	0.00975818
575.00000000	0.01707686
576.00000000	0.06315670
577.00000000	0.32507385
578.00000000	0.43010122
579.00000000	0.46599059
580.00000000	0.54310009
581.00000000	0.29125260
582.00000000	0.19723906
583.00000000	0.10506108
584.00000000	0.03860078
585.00000000	0.02089636
586.00000000	0.01336041
587.00000000	0.01265582
588.00000000	0.01149806
589.00000000	0.01207926
590.00000000	0.01217662
591.00000000	0.01426407
592.00000000	0.02176068
593.00000000	0.03251981
594.00000000	0.04262264
595.00000000	0.04645088
596.00000000	0.04186860
597.00000000	0.03300603
598.00000000	0.02539236
599.00000000	0.01536080
600.00000000	0.01185846
601.00000000	0.00793735
602.00000000	0.00698113
603.00000000	0.00655525
604.00000000	0.00588073
605.00000000	0.00555712
606.00000000	0.00793280
607.00000000	0.00761988
608.00000000	0.00920214
609.00000000	0.01102990
610.00000000	0.01761561
611.00000000	0.02199595
612.00000000	0.02205556
613.00000000	0.03046771
614.00000000	0.05835012
615.00000000	0.08302642
616.00000000	0.08108823
617.00000000	0.07668754
618.00000000	0.09028083
619.00000000	0.12273647
620.00000000	0.17875073
621.00000000	0.18895160
622.00000000	0.14205409
623.00000000	0.10100566
624.00000000	0.06813964
625.00000000	0.03995965
626.00000000	0.02387435
627.00000000	0.02185580
628.00000000	0.01584970
629.00000000	0.01340885
630.00000000	0.01333497
631.00000000	0.01192649
632.00000000	0.01044252
633.00000000	0.01123057
634.00000000	0.00829716
635.00000000	0.00734290
636.00000000	0.00717042
637.00000000	0.00668988
638.00000000	0.00588779
639.00000000	0.00401409
640.00000000	0.00384380
641.00000000	0.00435890
642.00000000	0.00436428
643.00000000	0.00071784
644.00000000	0.00249696
645.00000000	0.00251543
646.00000000	0.00417382
647.00000000	0.00196117
648.00000000	0.00216694
649.00000000	0.00678684
650.00000000	0.00856657
651.00000000	0.01025437
652.00000000	0.00957952
653.00000000	0.01135797
654.00000000	0.00715796
655.00000000	0.00439091
656.00000000	0.00687452
657.00000000	0.00599707
658.00000000	0.00667537
659.00000000	0.00476092
660.00000000	0.00483927
661.00000000	0.00584357
662.00000000	0.00464207
663.00000000	0.00453067
664.00000000	0.00191042
665.00000000	0.00220626
666.00000000	0.00299394
667.00000000	0.00337730
668.00000000	0.00169868
669.00000000	0.00255380
670.00000000	0.00577318
671.00000000	0.00554223
672.00000000	0.00544670
673.00000000	0.00114397
674.00000000	0.00675917
675.00000000	0.00421642
676.00000000	0.00198489
677.00000000	0.00376507
678.00000000	0.00220853
679.00000000	0.00237323
680.00000000	0.00206693
681.00000000	0.00243290
682.00000000	0.00116355
683.00000000	0.00272916
684.00000000	0.00018218
685.00000000	0.00637126
686.00000000	0.00528036
687.00000000	0.00050254
688.00000000	0.00168481
689.00000000	0.00313288
690.00000000	0.00973849
