#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0581	0.0623	0.0383
#xyY coordinates: 0.3663	0.3926	0.0623
#sRGB: 19	16	8
#CCT Lindbloom (K):	4495
#CCT McCamy (K):	4484
#CCT Hernández-Andrés (K):	4464
#Melatonin: 0.535
#Chlorophyll a: 0.183
#Chlorophyll b: 0.503
#Beta Carotene: 0.185
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp at Facultad de Telecomunicaciones
#Begin Processed Spectral Data
W	S
300.00000000	0.02434076
301.00000000	0.00653972
302.00000000	0.02384466
303.00000000	0.04999328
304.00000000	0.00000000
305.00000000	0.00374302
306.00000000	0.00000000
307.00000000	0.02251045
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00083430
311.00000000	0.00463537
312.00000000	0.05449919
313.00000000	0.17724292
314.00000000	0.13334749
315.00000000	0.02176929
316.00000000	0.01785716
317.00000000	0.01225612
318.00000000	0.02909698
319.00000000	0.00286859
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00209424
323.00000000	0.00000000
324.00000000	0.00658080
325.00000000	0.00122650
326.00000000	0.00504715
327.00000000	0.01128138
328.00000000	0.00757800
329.00000000	0.00000000
330.00000000	0.00610573
331.00000000	0.00406428
332.00000000	0.01325953
333.00000000	0.00937774
334.00000000	0.06971108
335.00000000	0.06395455
336.00000000	0.01898191
337.00000000	0.00738047
338.00000000	0.01381415
339.00000000	0.01513953
340.00000000	0.01213933
341.00000000	0.00449755
342.00000000	0.00317862
343.00000000	0.00926715
344.00000000	0.00400791
345.00000000	0.01642335
346.00000000	0.00474046
347.00000000	0.00939900
348.00000000	0.00090668
349.00000000	0.00819137
350.00000000	0.01275867
