#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0496	0.0150	0.2677
#xyY coordinates: 0.1492	0.0452	0.0150
#sRGB: 1	0	72
#CCT Lindbloom (K):	---
#CCT McCamy (K):	1621
#CCT Hernández-Andrés (K):	332
#Melatonin: 10.575
#Chlorophyll a: 0.566
#Chlorophyll b: 13.057
#Beta Carotene: 0.561
#Manufacturer: unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00097627
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00001571
305.00000000	0.00178528
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00404447
309.00000000	0.00088745
310.00000000	0.00088626
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000337
319.00000000	0.00010075
320.00000000	0.00026422
321.00000000	0.00000000
322.00000000	0.00012078
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00006046
335.00000000	0.00070117
336.00000000	0.00000093
337.00000000	0.00000000
338.00000000	0.00000000
339.00000000	0.00083340
340.00000000	0.00002640
341.00000000	0.00000000
342.00000000	0.00012596
343.00000000	0.00000000
344.00000000	0.00000000
345.00000000	0.00000000
346.00000000	0.00000000
347.00000000	0.00000000
348.00000000	0.00000000
349.00000000	0.00078343
350.00000000	0.00074837
351.00000000	0.00001175
352.00000000	0.00000000
353.00000000	0.00000000
354.00000000	0.00017227
355.00000000	0.00000000
356.00000000	0.00000000
357.00000000	0.00000000
358.00000000	0.00000000
359.00000000	0.00000000
360.00000000	0.00000000
361.00000000	0.00085673
362.00000000	0.00000000
363.00000000	0.00000000
364.00000000	0.00035565
365.00000000	0.00081247
366.00000000	0.00000000
367.00000000	0.00024583
368.00000000	0.00027216
369.00000000	0.00000000
370.00000000	0.00036764
371.00000000	0.00000000
372.00000000	0.00000000
373.00000000	0.00000000
374.00000000	0.00000000
375.00000000	0.00000000
376.00000000	0.00000000
377.00000000	0.00000000
378.00000000	0.00044271
379.00000000	0.00000000
380.00000000	0.00129820
381.00000000	0.00005387
382.00000000	0.00000000
383.00000000	0.00000000
384.00000000	0.00133039
385.00000000	0.00074476
386.00000000	0.00000000
387.00000000	0.00000000
388.00000000	0.00003225
389.00000000	0.00143545
390.00000000	0.00118530
391.00000000	0.00047445
392.00000000	0.00122818
393.00000000	0.00000000
394.00000000	0.00092958
395.00000000	0.00147316
396.00000000	0.00047273
397.00000000	0.00281355
398.00000000	0.00237257
399.00000000	0.00195951
400.00000000	0.00308486
401.00000000	0.00348879
402.00000000	0.00500204
403.00000000	0.02167065
404.00000000	0.11440180
405.00000000	0.13631718
406.00000000	0.07940924
407.00000000	0.05454998
408.00000000	0.03101865
409.00000000	0.01803783
410.00000000	0.01966386
411.00000000	0.01965056
412.00000000	0.02158286
413.00000000	0.02496970
414.00000000	0.02925188
415.00000000	0.03115240
416.00000000	0.03702281
417.00000000	0.03939333
418.00000000	0.04527148
419.00000000	0.05307667
420.00000000	0.06025794
421.00000000	0.06658197
422.00000000	0.07331148
423.00000000	0.08422069
424.00000000	0.09212410
425.00000000	0.10406935
426.00000000	0.11165222
427.00000000	0.12114420
428.00000000	0.12995749
429.00000000	0.14561490
430.00000000	0.15830547
431.00000000	0.16734529
