#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0714	0.1635	0.0398
#xyY coordinates: 0.2599	0.5952	0.1635
#sRGB: 0	61	3
#CCT Lindbloom (K):	6801
#CCT McCamy (K):	6833
#CCT Hernández-Andrés (K):	6739
#Melatonin: 0.375
#Chlorophyll a: 0.004
#Chlorophyll b: 0.206
#Beta Carotene: 0.005
#Manufacturer: unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.00226920
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00090268
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00684180
311.00000000	0.00000000
312.00000000	0.00253763
313.00000000	0.00000798
314.00000000	0.00000000
315.00000000	0.00006177
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00310596
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00173670
323.00000000	0.00269454
324.00000000	0.00006201
325.00000000	0.00000000
326.00000000	0.00285453
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00046037
334.00000000	0.00000000
335.00000000	0.00000000
336.00000000	0.00415956
337.00000000	0.00016330
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00000000
344.00000000	0.00000000
345.00000000	0.00006426
346.00000000	0.00000000
347.00000000	0.00081372
348.00000000	0.00000000
349.00000000	0.00000000
350.00000000	0.00000000
351.00000000	0.00018896
352.00000000	0.00003212
353.00000000	0.00000000
354.00000000	0.00000000
355.00000000	0.00000000
356.00000000	0.00000000
357.00000000	0.00000000
358.00000000	0.00000000
359.00000000	0.00000000
360.00000000	0.00000000
361.00000000	0.00116079
362.00000000	0.00000000
363.00000000	0.00000000
364.00000000	0.00035832
365.00000000	0.02498083
366.00000000	0.01755774
367.00000000	0.00123584
368.00000000	0.00000000
369.00000000	0.00053336
370.00000000	0.00025814
371.00000000	0.00012971
372.00000000	0.00545117
373.00000000	0.00123673
374.00000000	0.00046910
375.00000000	0.00000000
376.00000000	0.00000000
377.00000000	0.00000000
378.00000000	0.00000000
379.00000000	0.00000000
380.00000000	0.00000000
381.00000000	0.00231310
382.00000000	0.00000000
383.00000000	0.00244569
384.00000000	0.00000000
385.00000000	0.00000000
386.00000000	0.00000000
387.00000000	0.00134913
388.00000000	0.00077013
389.00000000	0.00087096
390.00000000	0.00000000
391.00000000	0.00020113
392.00000000	0.00000000
393.00000000	0.00013880
394.00000000	0.00035311
395.00000000	0.00005623
396.00000000	0.00246910
397.00000000	0.00000000
398.00000000	0.00000000
399.00000000	0.00050657
400.00000000	0.00000726
401.00000000	0.00000000
402.00000000	0.00000000
403.00000000	0.00420119
404.00000000	0.11228665
405.00000000	0.31527546
406.00000000	0.10269277
407.00000000	0.01707841
408.00000000	0.01608819
409.00000000	0.00437885
410.00000000	0.00000000
411.00000000	0.00015224
412.00000000	0.00058509
413.00000000	0.00000000
414.00000000	0.00074187
415.00000000	0.00061325
416.00000000	0.00000000
417.00000000	0.00000000
418.00000000	0.00000000
419.00000000	0.00282705
420.00000000	0.00000037
421.00000000	0.00000000
422.00000000	0.00000000
423.00000000	0.00105558
424.00000000	0.00000000
425.00000000	0.00000000
426.00000000	0.00000000
427.00000000	0.00014752
428.00000000	0.00000000
429.00000000	0.00028885
430.00000000	0.00047237
431.00000000	0.00008784
432.00000000	0.00000305
433.00000000	0.00252401
434.00000000	0.00859979
435.00000000	0.21595111
436.00000000	0.97167945
437.00000000	0.43658351
438.00000000	0.12064819
439.00000000	0.01771356
440.00000000	0.00551839
441.00000000	0.00118629
442.00000000	0.00209991
443.00000000	0.00000000
444.00000000	0.00000000
445.00000000	0.00001979
446.00000000	0.00032456
447.00000000	0.00000000
448.00000000	0.00020968
449.00000000	0.00000000
450.00000000	0.00000000
451.00000000	0.00182994
452.00000000	0.00008127
453.00000000	0.00000000
454.00000000	0.00000000
455.00000000	0.00041803
456.00000000	0.00000000
457.00000000	0.00000000
458.00000000	0.00031076
459.00000000	0.00196890
460.00000000	0.00000000
461.00000000	0.00040207
462.00000000	0.00021150
463.00000000	0.00110378
464.00000000	0.00000000
465.00000000	0.00000000
466.00000000	0.00000000
467.00000000	0.00000000
468.00000000	0.00000491
469.00000000	0.00000000
470.00000000	0.00003612
471.00000000	0.00000000
472.00000000	0.00114747
473.00000000	0.00070919
474.00000000	0.00025710
475.00000000	0.00105948
476.00000000	0.00134319
477.00000000	0.00140232
478.00000000	0.00287643
479.00000000	0.00144468
480.00000000	0.00226869
481.00000000	0.00203862
482.00000000	0.00341699
483.00000000	0.00242994
484.00000000	0.00350150
485.00000000	0.00575296
486.00000000	0.00536294
487.00000000	0.00443334
488.00000000	0.00903097
489.00000000	0.01070042
490.00000000	0.01095378
491.00000000	0.01614626
492.00000000	0.01937534
493.00000000	0.02079292
494.00000000	0.01996610
495.00000000	0.02666985
496.00000000	0.02748815
497.00000000	0.03382518
498.00000000	0.03791501
499.00000000	0.04319477
500.00000000	0.05041968
501.00000000	0.05700880
502.00000000	0.06362284
503.00000000	0.06941205
504.00000000	0.08011276
505.00000000	0.09092941
506.00000000	0.10000966
507.00000000	0.11073703
508.00000000	0.12043135
509.00000000	0.13435625
510.00000000	0.14913390
511.00000000	0.16209384
512.00000000	0.17702184
513.00000000	0.18949170
514.00000000	0.20595252
515.00000000	0.22596005
516.00000000	0.23755851
517.00000000	0.25095367
518.00000000	0.27029475
519.00000000	0.27825557
520.00000000	0.29293273
521.00000000	0.30552566
522.00000000	0.31583435
523.00000000	0.32265356
524.00000000	0.33019667
525.00000000	0.33629290
526.00000000	0.34144880
527.00000000	0.34612224
528.00000000	0.34859741
529.00000000	0.35012003
530.00000000	0.34937633
531.00000000	0.35253242
532.00000000	0.34289663
533.00000000	0.34297878
534.00000000	0.33995650
535.00000000	0.33605968
536.00000000	0.32974127
537.00000000	0.31925953
538.00000000	0.31572325
539.00000000	0.30804987
540.00000000	0.29693124
541.00000000	0.29402973
542.00000000	0.28284471
543.00000000	0.28219382
544.00000000	0.26931383
545.00000000	0.30244006
546.00000000	1.00000000
547.00000000	0.72073537
548.00000000	0.42533089
549.00000000	0.29952436
550.00000000	0.23482558
551.00000000	0.21420556
552.00000000	0.20743089
553.00000000	0.19733414
554.00000000	0.18963047
555.00000000	0.18179176
556.00000000	0.17409749
557.00000000	0.16517139
558.00000000	0.15957313
559.00000000	0.15234820
560.00000000	0.14800971
561.00000000	0.14105154
562.00000000	0.13621265
563.00000000	0.12570031
564.00000000	0.12107117
565.00000000	0.11860678
566.00000000	0.11041021
567.00000000	0.10796012
568.00000000	0.10132542
569.00000000	0.09931649
570.00000000	0.09060550
571.00000000	0.08546328
572.00000000	0.08321190
573.00000000	0.07823780
574.00000000	0.07402231
575.00000000	0.06871253
576.00000000	0.07779710
577.00000000	0.17611734
578.00000000	0.11783839
579.00000000	0.17568112
580.00000000	0.12219275
581.00000000	0.07871667
582.00000000	0.06155855
583.00000000	0.05293142
584.00000000	0.04702800
585.00000000	0.04557132
586.00000000	0.04465276
587.00000000	0.03817454
588.00000000	0.03608222
589.00000000	0.03758005
590.00000000	0.03559663
591.00000000	0.03307587
592.00000000	0.03097618
593.00000000	0.03027872
594.00000000	0.03042890
595.00000000	0.02558293
596.00000000	0.02454525
597.00000000	0.02455266
598.00000000	0.02400114
599.00000000	0.02374098
600.00000000	0.02001946
601.00000000	0.02229346
602.00000000	0.01960042
603.00000000	0.01810603
604.00000000	0.01725150
605.00000000	0.01645915
606.00000000	0.01633981
607.00000000	0.01371649
608.00000000	0.01313020
609.00000000	0.01347515
610.00000000	0.01224305
611.00000000	0.01108621
612.00000000	0.01295375
613.00000000	0.01289969
614.00000000	0.01047668
615.00000000	0.01330290
616.00000000	0.01537554
617.00000000	0.01253243
618.00000000	0.01185646
619.00000000	0.01280549
620.00000000	0.01385274
621.00000000	0.00991460
622.00000000	0.00931861
623.00000000	0.00749993
624.00000000	0.00722436
625.00000000	0.00756675
626.00000000	0.00746318
627.00000000	0.00797652
628.00000000	0.00724874
629.00000000	0.00588813
630.00000000	0.00855617
631.00000000	0.00584083
632.00000000	0.00540602
633.00000000	0.00549703
634.00000000	0.00273696
635.00000000	0.00375036
636.00000000	0.00477355
637.00000000	0.00534757
638.00000000	0.00245851
639.00000000	0.00453907
640.00000000	0.00329633
641.00000000	0.00000000
642.00000000	0.00314375
643.00000000	0.00230466
644.00000000	0.00317271
645.00000000	0.00137592
646.00000000	0.00332279
647.00000000	0.00222070
648.00000000	0.00269102
649.00000000	0.00302330
650.00000000	0.00329958
651.00000000	0.00030848
652.00000000	0.00377038
653.00000000	0.00084815
654.00000000	0.00026052
655.00000000	0.00240046
656.00000000	0.00009464
657.00000000	0.00094877
658.00000000	0.00000000
659.00000000	0.00197980
660.00000000	0.00467099
661.00000000	0.00351696
662.00000000	0.00157588
663.00000000	0.00292964
664.00000000	0.00000000
665.00000000	0.00102869
666.00000000	0.00097412
667.00000000	0.00179577
668.00000000	0.00284830
669.00000000	0.00017090
670.00000000	0.00075021
671.00000000	0.00000000
672.00000000	0.00003783
673.00000000	0.00306550
674.00000000	0.00000000
675.00000000	0.00000000
676.00000000	0.00052327
677.00000000	0.00204373
678.00000000	0.00131365
679.00000000	0.00024999
680.00000000	0.00000000
681.00000000	0.00000000
682.00000000	0.00000000
683.00000000	0.00081943
684.00000000	0.00000000
685.00000000	0.00000000
686.00000000	0.00031533
687.00000000	0.00183084
688.00000000	0.00040891
689.00000000	0.00189119
690.00000000	0.00013079
691.00000000	0.00671393
692.00000000	0.00203587
693.00000000	0.00332913
694.00000000	0.00010776
695.00000000	0.00006789
696.00000000	0.00000001
697.00000000	0.00387709
698.00000000	0.00187488
699.00000000	0.00055766
700.00000000	0.00029566
701.00000000	0.00164411
702.00000000	0.00000000
703.00000000	0.00000000
704.00000000	0.00000000
705.00000000	0.00000000
706.00000000	0.00002900
707.00000000	0.00220982
708.00000000	0.00000000
709.00000000	0.00000000
710.00000000	0.00000000
711.00000000	0.00083790
712.00000000	0.00179915
713.00000000	0.00041077
714.00000000	0.00000000
715.00000000	0.00021916
716.00000000	0.00000000
717.00000000	0.00096471
718.00000000	0.00000989
719.00000000	0.00000000
720.00000000	0.00000000
721.00000000	0.00000000
722.00000000	0.00000000
723.00000000	0.00000000
724.00000000	0.00114769
725.00000000	0.00017667
726.00000000	0.00000000
727.00000000	0.00000000
728.00000000	0.00428995
729.00000000	0.00034361
730.00000000	0.00000000
731.00000000	0.00000000
732.00000000	0.00000000
733.00000000	0.00184629
734.00000000	0.00000001
735.00000000	0.00062776
736.00000000	0.00000000
737.00000000	0.00000000
738.00000000	0.00136320
739.00000000	0.00115217
740.00000000	0.00000000
741.00000000	0.00192652
742.00000000	0.00014020
743.00000000	0.00038008
744.00000000	0.00000000
745.00000000	0.00000000
746.00000000	0.00179996
747.00000000	0.00000000
748.00000000	0.00234876
749.00000000	0.00000000
750.00000000	0.00411590
751.00000000	0.00444566
752.00000000	0.00489778
753.00000000	0.00000000
754.00000000	0.00240931
755.00000000	0.00000000
756.00000000	0.00000000
757.00000000	0.00000000
758.00000000	0.00038376
759.00000000	0.00038347
760.00000000	0.00830200
761.00000000	0.00024595
762.00000000	0.00216072
763.00000000	0.02262340
764.00000000	0.02988646
765.00000000	0.01438135
766.00000000	0.00524618
767.00000000	0.00000000
768.00000000	0.00000000
769.00000000	0.00000000
770.00000000	0.00000000
771.00000000	0.00090162
772.00000000	0.01033860
773.00000000	0.00538066
774.00000000	0.00000000
775.00000000	0.00503835
776.00000000	0.00671179
777.00000000	0.00000000
778.00000000	0.00000000
779.00000000	0.00049179
780.00000000	0.00137582
781.00000000	0.00000000
782.00000000	0.00000000
783.00000000	0.00099544
784.00000000	0.00000000
785.00000000	0.00000000
786.00000000	0.00000000
787.00000000	0.00000000
788.00000000	0.00027505
789.00000000	0.00121263
790.00000000	0.00000000
791.00000000	0.00000000
792.00000000	0.00000000
793.00000000	0.00000000
794.00000000	0.00465949
795.00000000	0.00138613
796.00000000	0.00041583
797.00000000	0.00000000
798.00000000	0.00000000
799.00000000	0.00000000
800.00000000	0.00307546
801.00000000	0.00535876
