#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/006/28
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.4247	0.5979	0.0164
#xyY coordinates: 0.4088	0.5755	0.5979
#sRGB: 115	181	0
#CCT Lindbloom (K):	4349
#CCT McCamy (K):	4309
#CCT Hernández-Andrés (K):	4209
#Melatonin: 0.127
#Chlorophyll a: 0.091
#Chlorophyll b: 0.156
#Beta Carotene: 0.093
#Family and genus: Lampyridae
#Other data: Founded inside Áger (Catalonia - Spain).
#Begin Processed Spectral Data
#W	S
475.00000000	0.00000000
476.00000000	0.00171937
477.00000000	0.01897150
478.00000000	0.01131871
479.00000000	0.00000000
480.00000000	0.00000000
481.00000000	0.00000000
482.00000000	0.00005670
483.00000000	0.00616315
484.00000000	0.01887672
485.00000000	0.00678255
486.00000000	0.02332557
487.00000000	0.00533686
488.00000000	0.00001064
489.00000000	0.00553147
490.00000000	0.00633450
491.00000000	0.01354008
492.00000000	0.01823770
493.00000000	0.01980640
494.00000000	0.01093822
495.00000000	0.03074760
496.00000000	0.01617292
497.00000000	0.02176224
498.00000000	0.02986559
499.00000000	0.02704774
500.00000000	0.03654877
501.00000000	0.03628205
502.00000000	0.04078873
503.00000000	0.04699043
504.00000000	0.04978570
505.00000000	0.06646165
506.00000000	0.07960713
507.00000000	0.08492018
508.00000000	0.09554426
509.00000000	0.10957870
510.00000000	0.12661995
511.00000000	0.13574272
512.00000000	0.15354156
513.00000000	0.17000044
514.00000000	0.19940288
515.00000000	0.21070602
516.00000000	0.23099853
517.00000000	0.27853782
518.00000000	0.29607756
519.00000000	0.29470162
520.00000000	0.33065522
521.00000000	0.35772014
522.00000000	0.38622627
523.00000000	0.42300778
524.00000000	0.44991441
525.00000000	0.48739506
526.00000000	0.51132737
527.00000000	0.54537434
528.00000000	0.58700006
529.00000000	0.61367173
530.00000000	0.64095811
531.00000000	0.67067450
532.00000000	0.70491296
533.00000000	0.74773613
534.00000000	0.76235151
535.00000000	0.82094854
536.00000000	0.81666584
537.00000000	0.83213142
538.00000000	0.85267785
539.00000000	0.90185142
540.00000000	0.91050520
541.00000000	0.94006625
542.00000000	0.93941883
543.00000000	0.94376123
544.00000000	0.95771615
545.00000000	0.97973515
546.00000000	0.99585532
547.00000000	0.97683189
548.00000000	1.00000000
549.00000000	0.98454715
550.00000000	0.99634283
551.00000000	0.99945377
552.00000000	0.98163670
553.00000000	0.97749780
554.00000000	0.99385780
555.00000000	0.98067527
556.00000000	0.97293935
557.00000000	0.97745276
558.00000000	0.96160100
559.00000000	0.94986829
560.00000000	0.94591271
561.00000000	0.94354352
562.00000000	0.92460973
563.00000000	0.91685986
564.00000000	0.89961673
565.00000000	0.88590616
566.00000000	0.88231708
567.00000000	0.86347649
568.00000000	0.84976080
569.00000000	0.85902913
570.00000000	0.82674117
571.00000000	0.80671396
572.00000000	0.78929840
573.00000000	0.77741583
574.00000000	0.76459141
575.00000000	0.75505498
576.00000000	0.74685903
577.00000000	0.72066194
578.00000000	0.72037333
579.00000000	0.67860802
580.00000000	0.66650933
581.00000000	0.64574917
582.00000000	0.63289682
583.00000000	0.61699582
584.00000000	0.60206682
585.00000000	0.60802663
586.00000000	0.57413148
587.00000000	0.56539412
588.00000000	0.54815564
589.00000000	0.52323381
590.00000000	0.53168075
591.00000000	0.50515113
592.00000000	0.48152258
593.00000000	0.49253899
594.00000000	0.46542892
595.00000000	0.44654021
596.00000000	0.43362665
597.00000000	0.43296160
598.00000000	0.41854652
599.00000000	0.41879568
600.00000000	0.38647388
601.00000000	0.38323908
602.00000000	0.36215368
603.00000000	0.36429880
604.00000000	0.34518500
605.00000000	0.33149202
606.00000000	0.32205029
607.00000000	0.31782399
608.00000000	0.29930717
609.00000000	0.31141217
610.00000000	0.28064398
611.00000000	0.28648426
612.00000000	0.26232857
613.00000000	0.26087411
614.00000000	0.25846881
615.00000000	0.25210535
616.00000000	0.24745887
617.00000000	0.23472157
618.00000000	0.23415365
619.00000000	0.22760802
620.00000000	0.20117582
621.00000000	0.20264332
622.00000000	0.19470864
623.00000000	0.20103454
624.00000000	0.17764417
625.00000000	0.18462979
626.00000000	0.17862698
627.00000000	0.19044273
628.00000000	0.15937764
629.00000000	0.16269112
630.00000000	0.15032388
631.00000000	0.14547033
632.00000000	0.13748405
633.00000000	0.12566455
634.00000000	0.13559905
635.00000000	0.13084617
636.00000000	0.12574991
637.00000000	0.11501887
638.00000000	0.11618573
639.00000000	0.11793861
640.00000000	0.10698772
641.00000000	0.11232865
642.00000000	0.10814914
643.00000000	0.10612541
644.00000000	0.09406584
645.00000000	0.07904277
646.00000000	0.08312543
647.00000000	0.07552457
648.00000000	0.07799644
649.00000000	0.07739038
650.00000000	0.07704336
651.00000000	0.08198731
652.00000000	0.07892990
653.00000000	0.08903195
654.00000000	0.06394731
655.00000000	0.07227067
656.00000000	0.05326205
657.00000000	0.04787095
658.00000000	0.04842550
659.00000000	0.06481676
660.00000000	0.12986560
661.00000000	0.08455127
662.00000000	0.06089341
663.00000000	0.06658193
664.00000000	0.03420717
665.00000000	0.04301873
666.00000000	0.03362135
667.00000000	0.05721209
668.00000000	0.02966035
669.00000000	0.03152654
670.00000000	0.06133045
671.00000000	0.04595230
672.00000000	0.05148018
673.00000000	0.01580482
674.00000000	0.05355287
675.00000000	0.03002707
676.00000000	0.03429163
677.00000000	0.05861538
678.00000000	0.05215966
679.00000000	0.04108637
680.00000000	0.03103045
681.00000000	0.01795047
682.00000000	0.06962319
683.00000000	0.05417471
684.00000000	0.02284776
685.00000000	0.03208221
686.00000000	0.04660780
687.00000000	0.01749863
688.00000000	0.02742489
689.00000000	0.00735398
690.00000000	0.01547412
691.00000000	0.01569954
692.00000000	0.04338824
693.00000000	0.04209090
694.00000000	0.00787198
695.00000000	0.00530768
696.00000000	0.00647607
697.00000000	0.01158310
698.00000000	0.01338427
699.00000000	0.05130289
700.00000000	0.02356227
701.00000000	0.00609307
702.00000000	0.06257037
703.00000000	0.08858875
704.00000000	0.00086701
705.00000000	0.00872077
