#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/28
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0970	0.0843	0.0199
#xyY coordinates: 0.4820	0.4191	0.0843
#sRGB: 45	17	2
#CCT Lindbloom (K):	2478
#CCT McCamy (K):	2471
#CCT Hernández-Andrés (K):	2342
#Melatonin: 0.239
#Chlorophyll a: 0.073
#Chlorophyll b: 0.318
#Beta Carotene: 0.072
#Manufacturer: Westinghouse
#Luminance manufacturer: Unknown
#Other data: Micro Candle. CFL+difusser.
#Begin Processed Spectral Data
#W	S
475.00000000	0.00052144
476.00000000	0.00125865
477.00000000	0.00119424
478.00000000	0.00113709
479.00000000	0.00200224
480.00000000	0.00344967
481.00000000	0.00496728
482.00000000	0.00890994
483.00000000	0.01616368
484.00000000	0.02651655
485.00000000	0.03953776
486.00000000	0.05750144
487.00000000	0.07159313
488.00000000	0.07501595
489.00000000	0.06991147
490.00000000	0.06048010
491.00000000	0.05300989
492.00000000	0.04867782
493.00000000	0.04330090
494.00000000	0.03865382
495.00000000	0.03345175
496.00000000	0.02917888
497.00000000	0.02619174
498.00000000	0.02265383
499.00000000	0.01900550
500.00000000	0.01618169
501.00000000	0.01318400
502.00000000	0.01038271
503.00000000	0.00835640
504.00000000	0.00611651
505.00000000	0.00516307
506.00000000	0.00359848
507.00000000	0.00326044
508.00000000	0.00270437
509.00000000	0.00259062
510.00000000	0.00252619
511.00000000	0.00216692
512.00000000	0.00176297
513.00000000	0.00199771
514.00000000	0.00161037
515.00000000	0.00161979
516.00000000	0.00140915
517.00000000	0.00141899
518.00000000	0.00113607
519.00000000	0.00091319
520.00000000	0.00123384
521.00000000	0.00092809
522.00000000	0.00101201
523.00000000	0.00071355
524.00000000	0.00091493
525.00000000	0.00079900
526.00000000	0.00108167
527.00000000	0.00133291
528.00000000	0.00177810
529.00000000	0.00182036
530.00000000	0.00203180
531.00000000	0.00250441
532.00000000	0.00308663
533.00000000	0.00827591
534.00000000	0.01335200
535.00000000	0.01196536
536.00000000	0.01370886
537.00000000	0.02183450
538.00000000	0.03909550
539.00000000	0.05666800
540.00000000	0.09720291
541.00000000	0.19661375
542.00000000	0.32218877
543.00000000	0.31865747
544.00000000	0.30513620
545.00000000	0.31623786
546.00000000	0.52459120
547.00000000	0.47982990
548.00000000	0.33662004
549.00000000	0.25025787
550.00000000	0.17114447
551.00000000	0.12529869
552.00000000	0.09315264
553.00000000	0.06934995
554.00000000	0.05126644
555.00000000	0.03676564
556.00000000	0.02688573
557.00000000	0.01993879
558.00000000	0.01555287
559.00000000	0.01258329
560.00000000	0.01011141
561.00000000	0.00902990
562.00000000	0.00811675
