#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/28
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1083	0.0963	0.0372
#xyY coordinates: 0.4478	0.3983	0.0963
#sRGB: 47	20	7
#CCT Lindbloom (K):	2776
#CCT McCamy (K):	2776
#CCT Hernández-Andrés (K):	2708
#Melatonin: 0.343
#Chlorophyll a: 0.087
#Chlorophyll b: 0.387
#Beta Carotene: 0.086
#Manufacturer: Philips
#Luminance manufacturer: 1220 lm
#Other data: Master PL Electronics PLE-R 20W/827. 2700K. 60 lm/W.
#Begin Processed Spectral Data
W	S
475.00000000	0.00168351
476.00000000	0.00145796
477.00000000	0.00132590
478.00000000	0.00189916
479.00000000	0.00260359
480.00000000	0.00484792
481.00000000	0.00691758
482.00000000	0.01183704
483.00000000	0.02012919
484.00000000	0.03255308
485.00000000	0.04851419
486.00000000	0.06857272
487.00000000	0.08194505
488.00000000	0.08343546
489.00000000	0.07849509
490.00000000	0.06782595
491.00000000	0.06072589
492.00000000	0.05941448
493.00000000	0.05088443
494.00000000	0.04442352
495.00000000	0.03896484
496.00000000	0.03498218
497.00000000	0.03055353
498.00000000	0.02660503
499.00000000	0.02271630
500.00000000	0.01888531
501.00000000	0.01540971
502.00000000	0.01212177
503.00000000	0.00957207
504.00000000	0.00714394
505.00000000	0.00578603
506.00000000	0.00465511
507.00000000	0.00345434
508.00000000	0.00299294
509.00000000	0.00313668
510.00000000	0.00286125
511.00000000	0.00233812
512.00000000	0.00226001
513.00000000	0.00236337
514.00000000	0.00197952
515.00000000	0.00180331
516.00000000	0.00144158
517.00000000	0.00124945
518.00000000	0.00097014
519.00000000	0.00097111
520.00000000	0.00133914
521.00000000	0.00103338
522.00000000	0.00068358
523.00000000	0.00068117
524.00000000	0.00043369
525.00000000	0.00078674
526.00000000	0.00107230
527.00000000	0.00145332
528.00000000	0.00200617
529.00000000	0.00208229
530.00000000	0.00255294
531.00000000	0.00289465
532.00000000	0.00449887
533.00000000	0.01159756
534.00000000	0.01868260
535.00000000	0.01627763
536.00000000	0.01868738
537.00000000	0.02880316
538.00000000	0.04992571
539.00000000	0.06995258
540.00000000	0.11787558
541.00000000	0.23851065
542.00000000	0.37948507
543.00000000	0.36881568
544.00000000	0.35325232
545.00000000	0.36815357
546.00000000	0.64776057
547.00000000	0.58345424
548.00000000	0.38653758
549.00000000	0.28543017
550.00000000	0.19780471
551.00000000	0.14608995
552.00000000	0.10950167
553.00000000	0.08310463
554.00000000	0.06353141
555.00000000	0.04559197
556.00000000	0.03296942
557.00000000	0.02480984
558.00000000	0.01940474
559.00000000	0.01505489
560.00000000	0.01250796
561.00000000	0.01114799
562.00000000	0.01058779
563.00000000	0.00993078
564.00000000	0.00922815
565.00000000	0.00854045
566.00000000	0.00740027
567.00000000	0.00741699
