#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.3044	0.2512	0.0891
#xyY coordinates: 0.4721	0.3896	0.2512
#sRGB: 142	46	15
#CCT Lindbloom (K):	2378
#CCT McCamy (K):	2350
#CCT Hernández-Andrés (K):	2218
#Melatonin: 0.334
#Chlorophyll a: 0.407
#Chlorophyll b: 0.547
#Beta Carotene: 0.408
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.07314510
476.00000000	0.06663071
477.00000000	0.05891010
478.00000000	0.05805534
479.00000000	0.05522922
480.00000000	0.05233333
481.00000000	0.05123308
482.00000000	0.04974269
483.00000000	0.05070852
484.00000000	0.04940002
485.00000000	0.04697439
486.00000000	0.04657706
487.00000000	0.04768083
488.00000000	0.05217728
489.00000000	0.05597468
490.00000000	0.05421999
491.00000000	0.05471239
492.00000000	0.05700517
493.00000000	0.05689446
494.00000000	0.06534717
495.00000000	0.06392479
496.00000000	0.06701926
497.00000000	0.07455728
498.00000000	0.09848477
499.00000000	0.11428501
500.00000000	0.11059710
501.00000000	0.09705203
502.00000000	0.08406491
503.00000000	0.07472352
504.00000000	0.07326934
505.00000000	0.07206768
506.00000000	0.06852809
507.00000000	0.07101874
508.00000000	0.06824007
509.00000000	0.06254266
510.00000000	0.05808961
511.00000000	0.06005271
512.00000000	0.06282401
513.00000000	0.06471875
514.00000000	0.06390089
515.00000000	0.06945683
516.00000000	0.07737215
517.00000000	0.07457415
518.00000000	0.07462810
519.00000000	0.07618262
520.00000000	0.07176507
521.00000000	0.07435501
522.00000000	0.07780199
523.00000000	0.07929361
524.00000000	0.07648102
525.00000000	0.06954769
526.00000000	0.06583798
527.00000000	0.06408910
528.00000000	0.06342308
529.00000000	0.06345787
530.00000000	0.07606172
531.00000000	0.10049444
532.00000000	0.09321878
533.00000000	0.10743884
534.00000000	0.17269673
535.00000000	0.33458367
536.00000000	0.48272291
537.00000000	0.64675202
538.00000000	0.66781543
539.00000000	0.64595384
540.00000000	0.52851638
541.00000000	0.38929852
542.00000000	0.25304948
543.00000000	0.17338631
544.00000000	0.12298971
545.00000000	0.11565115
546.00000000	0.27993629
547.00000000	0.34740700
548.00000000	0.22170645
549.00000000	0.18156153
550.00000000	0.12125682
551.00000000	0.09588569
552.00000000	0.08891265
553.00000000	0.09021377
554.00000000	0.09261321
555.00000000	0.09654943
556.00000000	0.09514867
557.00000000	0.09592348
558.00000000	0.09301124
559.00000000	0.09082145
560.00000000	0.08987935
561.00000000	0.09262938
562.00000000	0.09591908
563.00000000	0.11314556
564.00000000	0.13006750
565.00000000	0.13407067
566.00000000	0.15208864
567.00000000	0.19032581
568.00000000	0.26702157
569.00000000	0.38772677
570.00000000	0.43435356
571.00000000	0.34973141
572.00000000	0.27739995
573.00000000	0.21342666
574.00000000	0.17340370
575.00000000	0.16187762
576.00000000	0.17197043
577.00000000	0.20397105
578.00000000	0.20097271
579.00000000	0.21295992
580.00000000	0.21217545
581.00000000	0.20781870
582.00000000	0.21239740
583.00000000	0.22454311
584.00000000	0.25077551
585.00000000	0.30667936
586.00000000	0.39364191
587.00000000	0.51540783
588.00000000	0.51316109
589.00000000	0.30611491
590.00000000	0.18798401
591.00000000	0.14512157
592.00000000	0.15107871
593.00000000	0.21454256
594.00000000	0.29643665
595.00000000	0.37638327
596.00000000	0.44566684
597.00000000	0.49952359
598.00000000	0.54775534
599.00000000	0.57700839
600.00000000	0.60311249
601.00000000	0.61060588
602.00000000	0.61728493
603.00000000	0.61762831
604.00000000	0.60934061
605.00000000	0.59473482
606.00000000	0.58626454
607.00000000	0.56325420
608.00000000	0.54632629
609.00000000	0.53050830
610.00000000	0.51187948
611.00000000	0.49772831
612.00000000	0.48125502
613.00000000	0.46783138
614.00000000	0.45230037
615.00000000	0.45074496
616.00000000	0.47729455
617.00000000	0.47961368
618.00000000	0.44502875
619.00000000	0.42541566
620.00000000	0.40589061
621.00000000	0.38395012
622.00000000	0.37474440
623.00000000	0.36488443
624.00000000	0.35815671
625.00000000	0.35100740
626.00000000	0.35807200
627.00000000	0.34946711
628.00000000	0.33464798
629.00000000	0.32548128
630.00000000	0.31832459
631.00000000	0.31400633
632.00000000	0.30312255
633.00000000	0.29900269
634.00000000	0.29132952
635.00000000	0.28830043
636.00000000	0.28008444
637.00000000	0.27896608
638.00000000	0.27187547
639.00000000	0.26490875
640.00000000	0.25839401
641.00000000	0.25573115
642.00000000	0.25378527
643.00000000	0.24965047
644.00000000	0.24313749
645.00000000	0.23633947
646.00000000	0.23945063
647.00000000	0.23786096
648.00000000	0.23420767
649.00000000	0.22833137
650.00000000	0.21783859
651.00000000	0.21265467
652.00000000	0.20829371
653.00000000	0.20352821
654.00000000	0.20462987
655.00000000	0.21306061
656.00000000	0.22231272
657.00000000	0.22279054
658.00000000	0.23020010
659.00000000	0.22038881
660.00000000	0.21589148
661.00000000	0.22057140
662.00000000	0.20286886
663.00000000	0.19729130
664.00000000	0.18972780
665.00000000	0.18362586
666.00000000	0.18606607
667.00000000	0.19319376
668.00000000	0.19425132
669.00000000	0.20162116
670.00000000	0.20943298
671.00000000	0.21293742
672.00000000	0.21555179
673.00000000	0.21444819
674.00000000	0.21061987
675.00000000	0.20886694
676.00000000	0.20242953
677.00000000	0.19867449
678.00000000	0.18797821
679.00000000	0.18203865
680.00000000	0.17229606
681.00000000	0.16022381
682.00000000	0.15124671
683.00000000	0.14730821
684.00000000	0.15330453
685.00000000	0.14200251
686.00000000	0.13278185
687.00000000	0.11804514
688.00000000	0.11047057
689.00000000	0.10350315
690.00000000	0.09915114
691.00000000	0.09459037
692.00000000	0.09292039
693.00000000	0.09214682
694.00000000	0.09183366
695.00000000	0.08914602
696.00000000	0.08878032
697.00000000	0.08541013
698.00000000	0.08153331
699.00000000	0.08218615
700.00000000	0.08215769
701.00000000	0.08016541
702.00000000	0.07926285
703.00000000	0.07726021
704.00000000	0.07582132
705.00000000	0.07191550
706.00000000	0.07294177
707.00000000	0.07222865
708.00000000	0.07161465
709.00000000	0.06909693
710.00000000	0.07128462
711.00000000	0.06972904
712.00000000	0.07060682
713.00000000	0.06767491
714.00000000	0.06784713
715.00000000	0.06668238
716.00000000	0.06615676
717.00000000	0.06898060
718.00000000	0.06723997
719.00000000	0.06652721
720.00000000	0.06652650
721.00000000	0.06681207
722.00000000	0.06746790
723.00000000	0.06507250
724.00000000	0.06555787
725.00000000	0.06637502
