#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.2672	0.2311	0.0804
#xyY coordinates: 0.4618	0.3993	0.2311
#sRGB: 120	45	13
#CCT Lindbloom (K):	2586
#CCT McCamy (K):	2574
#CCT Hernández-Andrés (K):	2479
#Melatonin: 0.341
#Chlorophyll a: 0.468
#Chlorophyll b: 0.542
#Beta Carotene: 0.469
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.07143556
476.00000000	0.06900041
477.00000000	0.06153746
478.00000000	0.06470127
479.00000000	0.06079020
480.00000000	0.05537050
481.00000000	0.05220958
482.00000000	0.05567921
483.00000000	0.05677934
484.00000000	0.05718493
485.00000000	0.05140631
486.00000000	0.05384936
487.00000000	0.05695689
488.00000000	0.06516724
489.00000000	0.06329310
490.00000000	0.05949999
491.00000000	0.06147867
492.00000000	0.06497624
493.00000000	0.06964578
494.00000000	0.08312753
495.00000000	0.07428302
496.00000000	0.07559405
497.00000000	0.09368760
498.00000000	0.13468832
499.00000000	0.14124175
500.00000000	0.12169257
501.00000000	0.09469664
502.00000000	0.08487038
503.00000000	0.08231673
504.00000000	0.09061289
505.00000000	0.08136477
506.00000000	0.07054159
507.00000000	0.07170090
508.00000000	0.07162234
509.00000000	0.06839499
510.00000000	0.06580061
511.00000000	0.06592939
512.00000000	0.07356476
513.00000000	0.07909386
514.00000000	0.07431017
515.00000000	0.08865689
516.00000000	0.09731185
517.00000000	0.08784188
518.00000000	0.09551574
519.00000000	0.09184154
520.00000000	0.08506639
521.00000000	0.08743563
522.00000000	0.09913827
523.00000000	0.09735891
524.00000000	0.08876696
525.00000000	0.07939572
526.00000000	0.07727218
527.00000000	0.08104406
528.00000000	0.07421461
529.00000000	0.07548794
530.00000000	0.09048345
531.00000000	0.09301759
532.00000000	0.10566337
533.00000000	0.14217026
534.00000000	0.30186884
535.00000000	0.34599621
536.00000000	0.42740856
537.00000000	0.58591752
538.00000000	0.61132468
539.00000000	0.54853881
540.00000000	0.44193982
541.00000000	0.28903259
542.00000000	0.18021885
543.00000000	0.13396782
544.00000000	0.11418572
545.00000000	0.12918453
546.00000000	0.30781606
547.00000000	0.21540205
548.00000000	0.13108055
549.00000000	0.10548436
550.00000000	0.09952700
551.00000000	0.09756849
552.00000000	0.09614753
553.00000000	0.10208974
554.00000000	0.10758312
555.00000000	0.11071609
556.00000000	0.11169178
557.00000000	0.10842344
558.00000000	0.10469044
559.00000000	0.11846482
560.00000000	0.11841803
561.00000000	0.11254028
562.00000000	0.11954162
563.00000000	0.12360678
564.00000000	0.13473208
565.00000000	0.14946858
566.00000000	0.18169003
567.00000000	0.24129706
568.00000000	0.33196716
569.00000000	0.52439838
570.00000000	0.46274770
571.00000000	0.30051537
572.00000000	0.21582412
573.00000000	0.18187563
574.00000000	0.16949519
575.00000000	0.16395976
576.00000000	0.17431078
577.00000000	0.19230705
578.00000000	0.19471399
579.00000000	0.20640873
580.00000000	0.20495138
581.00000000	0.21212553
582.00000000	0.23178650
583.00000000	0.26528498
584.00000000	0.31086560
585.00000000	0.36892130
586.00000000	0.46787187
587.00000000	0.48351314
588.00000000	0.29898816
589.00000000	0.10181187
590.00000000	0.04999470
591.00000000	0.07757839
592.00000000	0.11547184
593.00000000	0.16901446
594.00000000	0.22651364
595.00000000	0.28367234
596.00000000	0.33904311
597.00000000	0.37783408
598.00000000	0.41117729
599.00000000	0.44204725
600.00000000	0.46373802
601.00000000	0.47565540
602.00000000	0.47286501
603.00000000	0.47636640
604.00000000	0.47969011
605.00000000	0.47251768
606.00000000	0.47067741
607.00000000	0.45673339
608.00000000	0.44626848
609.00000000	0.43554575
610.00000000	0.42363286
611.00000000	0.41429694
612.00000000	0.41573056
613.00000000	0.40959511
614.00000000	0.39261329
615.00000000	0.40052217
616.00000000	0.45693638
617.00000000	0.42708403
618.00000000	0.38212874
619.00000000	0.35674517
620.00000000	0.34948007
621.00000000	0.33558666
622.00000000	0.33111933
623.00000000	0.31489530
624.00000000	0.31557876
625.00000000	0.30487290
626.00000000	0.31930055
627.00000000	0.30998046
628.00000000	0.29603907
629.00000000	0.28745701
630.00000000	0.29458120
631.00000000	0.28550931
632.00000000	0.27935356
633.00000000	0.27285615
634.00000000	0.26560515
635.00000000	0.27009239
636.00000000	0.26767135
637.00000000	0.26521142
638.00000000	0.27165506
639.00000000	0.26620241
640.00000000	0.25483721
641.00000000	0.24671004
642.00000000	0.24098137
643.00000000	0.24004337
644.00000000	0.24340531
645.00000000	0.23084073
646.00000000	0.24038556
647.00000000	0.24198382
648.00000000	0.23403130
649.00000000	0.22800579
650.00000000	0.21535513
651.00000000	0.20463542
652.00000000	0.19877217
653.00000000	0.20178664
654.00000000	0.20867304
655.00000000	0.23192121
656.00000000	0.23969789
657.00000000	0.22384176
658.00000000	0.22583150
659.00000000	0.20777248
660.00000000	0.21959244
661.00000000	0.22209666
662.00000000	0.19738482
663.00000000	0.20825058
664.00000000	0.18578143
665.00000000	0.18252113
666.00000000	0.18300106
667.00000000	0.19252191
668.00000000	0.19475828
669.00000000	0.20503100
670.00000000	0.21629470
671.00000000	0.22564538
672.00000000	0.22344381
673.00000000	0.21564973
674.00000000	0.21074201
675.00000000	0.20458955
676.00000000	0.19398532
677.00000000	0.19593921
678.00000000	0.18412347
679.00000000	0.17317401
680.00000000	0.16379908
681.00000000	0.15359345
682.00000000	0.14162705
683.00000000	0.15344872
684.00000000	0.14083023
685.00000000	0.12626470
686.00000000	0.11797869
687.00000000	0.11309917
688.00000000	0.10491440
689.00000000	0.10263809
690.00000000	0.10407210
691.00000000	0.09877842
692.00000000	0.09784319
693.00000000	0.09726545
694.00000000	0.10052378
695.00000000	0.10381098
696.00000000	0.09789262
697.00000000	0.08519583
698.00000000	0.08638981
699.00000000	0.08191417
700.00000000	0.08178236
701.00000000	0.08423345
702.00000000	0.08121990
703.00000000	0.08671592
704.00000000	0.08121661
705.00000000	0.08383326
706.00000000	0.07660665
707.00000000	0.07474213
708.00000000	0.07399079
709.00000000	0.07684589
710.00000000	0.07134896
711.00000000	0.07745422
712.00000000	0.07441655
713.00000000	0.07586664
714.00000000	0.07434405
715.00000000	0.07584595
716.00000000	0.07488594
717.00000000	0.07178579
718.00000000	0.06903956
719.00000000	0.07191484
720.00000000	0.07070781
721.00000000	0.07256350
722.00000000	0.06693659
723.00000000	0.07046501
724.00000000	0.06717240
725.00000000	0.06951699
