#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.3125	0.2715	0.0970
#xyY coordinates: 0.4589	0.3987	0.2715
#sRGB: 139	54	16
#CCT Lindbloom (K):	2620
#CCT McCamy (K):	2611
#CCT Hernández-Andrés (K):	2521
#Melatonin: 0.353
#Chlorophyll a: 0.380
#Chlorophyll b: 0.526
#Beta Carotene: 0.381
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.08773756
476.00000000	0.07758588
477.00000000	0.07210688
478.00000000	0.07044901
479.00000000	0.06866156
480.00000000	0.06771754
481.00000000	0.06585640
482.00000000	0.06399165
483.00000000	0.06444615
484.00000000	0.06509166
485.00000000	0.06561293
486.00000000	0.06314339
487.00000000	0.06486976
488.00000000	0.06687359
489.00000000	0.07300725
490.00000000	0.07246026
491.00000000	0.07120306
492.00000000	0.07339652
493.00000000	0.07616389
494.00000000	0.08372800
495.00000000	0.08153419
496.00000000	0.08516052
497.00000000	0.09146086
498.00000000	0.11289045
499.00000000	0.12970759
500.00000000	0.12737419
501.00000000	0.11284628
502.00000000	0.09664532
503.00000000	0.09051442
504.00000000	0.08765957
505.00000000	0.08861533
506.00000000	0.08683443
507.00000000	0.08641289
508.00000000	0.08466133
509.00000000	0.07919354
510.00000000	0.07425082
511.00000000	0.07490600
512.00000000	0.07706409
513.00000000	0.08154368
514.00000000	0.08055117
515.00000000	0.08434659
516.00000000	0.09247287
517.00000000	0.09293634
518.00000000	0.09404170
519.00000000	0.09594442
520.00000000	0.09325867
521.00000000	0.09389210
522.00000000	0.09892575
523.00000000	0.10299571
524.00000000	0.10093631
525.00000000	0.09412539
526.00000000	0.08857340
527.00000000	0.08440889
528.00000000	0.08589990
529.00000000	0.08531236
530.00000000	0.09790908
531.00000000	0.12089249
532.00000000	0.12528374
533.00000000	0.14215627
534.00000000	0.21625887
535.00000000	0.38384653
536.00000000	0.53072378
537.00000000	0.72465959
538.00000000	0.78252793
539.00000000	0.78317016
540.00000000	0.66475860
541.00000000	0.50954559
542.00000000	0.33477793
543.00000000	0.22452629
544.00000000	0.15892406
545.00000000	0.14386486
546.00000000	0.27022618
547.00000000	0.33621424
548.00000000	0.27530435
549.00000000	0.19545512
550.00000000	0.12998212
551.00000000	0.11089318
552.00000000	0.10620912
553.00000000	0.10731672
554.00000000	0.10750204
555.00000000	0.11186740
556.00000000	0.11080828
557.00000000	0.10976142
558.00000000	0.10489652
559.00000000	0.10421598
560.00000000	0.10462993
561.00000000	0.10146069
562.00000000	0.10810528
563.00000000	0.12359861
564.00000000	0.14047200
565.00000000	0.14799159
566.00000000	0.16437183
567.00000000	0.19802854
568.00000000	0.25781271
569.00000000	0.36436589
570.00000000	0.42589421
571.00000000	0.37364429
572.00000000	0.30309934
573.00000000	0.22089358
574.00000000	0.18419963
575.00000000	0.16972556
576.00000000	0.17830599
577.00000000	0.20401484
578.00000000	0.21043028
579.00000000	0.22009847
580.00000000	0.21374722
581.00000000	0.21780337
582.00000000	0.22165091
583.00000000	0.23673512
584.00000000	0.26581216
585.00000000	0.31695482
586.00000000	0.39988857
587.00000000	0.50606783
588.00000000	0.53376015
589.00000000	0.37879666
590.00000000	0.23528276
591.00000000	0.15891232
592.00000000	0.18303957
593.00000000	0.27601836
594.00000000	0.37202352
595.00000000	0.45899858
596.00000000	0.52092014
597.00000000	0.58041321
598.00000000	0.60435704
599.00000000	0.63636279
600.00000000	0.65021430
601.00000000	0.64812626
602.00000000	0.65253183
603.00000000	0.63521930
604.00000000	0.62638487
605.00000000	0.59653929
606.00000000	0.58104095
607.00000000	0.56009381
