#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.3812	0.3366	0.1179
#xyY coordinates: 0.4561	0.4028	0.3366
#sRGB: 168	68	20
#CCT Lindbloom (K):	2691
#CCT McCamy (K):	2686
#CCT Hernández-Andrés (K):	2604
#Melatonin: 0.344
#Chlorophyll a: 0.464
#Chlorophyll b: 0.539
#Beta Carotene: 0.465
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.11235250
476.00000000	0.11159569
477.00000000	0.10132332
478.00000000	0.10251648
479.00000000	0.09765802
480.00000000	0.09371551
481.00000000	0.08923133
482.00000000	0.09185233
483.00000000	0.09218204
484.00000000	0.08934387
485.00000000	0.08583822
486.00000000	0.09158066
487.00000000	0.09189388
488.00000000	0.09578677
489.00000000	0.09410224
490.00000000	0.09578408
491.00000000	0.09484341
492.00000000	0.10205775
493.00000000	0.10659643
494.00000000	0.11975777
495.00000000	0.11363280
496.00000000	0.11977914
497.00000000	0.13466218
498.00000000	0.17027586
499.00000000	0.19432844
500.00000000	0.18278805
501.00000000	0.15868550
502.00000000	0.14604547
503.00000000	0.13398410
504.00000000	0.13675649
505.00000000	0.12822130
506.00000000	0.11866890
507.00000000	0.11545090
508.00000000	0.11415310
509.00000000	0.11095058
510.00000000	0.10553515
511.00000000	0.10648036
512.00000000	0.11039630
513.00000000	0.11648897
514.00000000	0.11324203
515.00000000	0.13123812
516.00000000	0.14003270
517.00000000	0.13589572
518.00000000	0.14234720
519.00000000	0.14366872
520.00000000	0.13832563
521.00000000	0.13627842
522.00000000	0.14792076
523.00000000	0.14948282
524.00000000	0.14651765
525.00000000	0.13081387
526.00000000	0.12698860
527.00000000	0.12458965
528.00000000	0.12319227
529.00000000	0.12391241
530.00000000	0.13865718
531.00000000	0.14693853
532.00000000	0.16843859
533.00000000	0.22031822
534.00000000	0.39437174
535.00000000	0.45107300
536.00000000	0.49763831
537.00000000	0.70870171
538.00000000	0.76097380
539.00000000	0.78843414
540.00000000	0.71997481
541.00000000	0.55954270
542.00000000	0.39449808
543.00000000	0.29180681
544.00000000	0.22326254
545.00000000	0.20817006
546.00000000	0.40035659
547.00000000	0.34860665
548.00000000	0.27439007
549.00000000	0.22857956
550.00000000	0.18467158
551.00000000	0.16627144
552.00000000	0.16591213
553.00000000	0.17054046
554.00000000	0.17351909
555.00000000	0.17823423
556.00000000	0.17833735
557.00000000	0.17491917
558.00000000	0.17573956
559.00000000	0.18746736
560.00000000	0.18876112
561.00000000	0.18463979
562.00000000	0.18905365
563.00000000	0.19005925
564.00000000	0.20333986
565.00000000	0.22215230
566.00000000	0.26164995
567.00000000	0.32749938
568.00000000	0.40918364
569.00000000	0.60916032
570.00000000	0.60656792
571.00000000	0.50733151
572.00000000	0.41840078
573.00000000	0.33849004
574.00000000	0.28966355
575.00000000	0.26465162
576.00000000	0.26978764
577.00000000	0.29055376
578.00000000	0.29032414
579.00000000	0.31167347
580.00000000	0.31155471
581.00000000	0.32310537
582.00000000	0.34433005
583.00000000	0.36937916
584.00000000	0.42533874
585.00000000	0.49878404
586.00000000	0.59158243
587.00000000	0.61165785
588.00000000	0.46574897
589.00000000	0.26119845
590.00000000	0.15795695
591.00000000	0.12411865
592.00000000	0.13639466
593.00000000	0.19129212
594.00000000	0.25873760
595.00000000	0.31991950
596.00000000	0.38999405
597.00000000	0.45359980
598.00000000	0.50849255
599.00000000	0.54382883
600.00000000	0.58448129
601.00000000	0.60556972
602.00000000	0.62780236
603.00000000	0.64598819
604.00000000	0.64999446
605.00000000	0.64827527
606.00000000	0.64490049
607.00000000	0.63382253
608.00000000	0.62577349
609.00000000	0.61151587
610.00000000	0.60579059
611.00000000	0.58673844
612.00000000	0.57901002
613.00000000	0.57644285
614.00000000	0.57427755
615.00000000	0.57495984
616.00000000	0.62635434
617.00000000	0.60858535
618.00000000	0.57387736
619.00000000	0.54984328
620.00000000	0.52981362
621.00000000	0.49932351
622.00000000	0.48778614
623.00000000	0.47695041
624.00000000	0.46762174
625.00000000	0.46577303
626.00000000	0.46750600
627.00000000	0.45084086
628.00000000	0.45062420
629.00000000	0.43958290
630.00000000	0.43871221
631.00000000	0.43411634
632.00000000	0.42052772
633.00000000	0.40410767
634.00000000	0.40242129
635.00000000	0.39726542
636.00000000	0.39562210
637.00000000	0.39227525
638.00000000	0.39322046
639.00000000	0.38160756
640.00000000	0.37886881
641.00000000	0.37348400
642.00000000	0.36142163
643.00000000	0.35812305
644.00000000	0.35416018
645.00000000	0.34557133
646.00000000	0.34930727
647.00000000	0.35496039
648.00000000	0.34291669
649.00000000	0.33789876
650.00000000	0.31723845
651.00000000	0.30643787
652.00000000	0.30480010
653.00000000	0.29909097
654.00000000	0.30544118
655.00000000	0.31721002
656.00000000	0.33501500
657.00000000	0.32487098
658.00000000	0.32674526
659.00000000	0.30702108
660.00000000	0.31501192
661.00000000	0.31552751
662.00000000	0.28411036
663.00000000	0.29445910
664.00000000	0.27470985
665.00000000	0.25892079
666.00000000	0.26262443
667.00000000	0.27114011
668.00000000	0.27698331
669.00000000	0.28213683
670.00000000	0.30304509
671.00000000	0.30620876
672.00000000	0.30737938
673.00000000	0.30214260
674.00000000	0.29409003
675.00000000	0.29340942
676.00000000	0.27347615
677.00000000	0.26612437
678.00000000	0.25408840
679.00000000	0.24588325
680.00000000	0.22987752
681.00000000	0.22274745
682.00000000	0.20526309
683.00000000	0.21042316
684.00000000	0.19260186
685.00000000	0.18437871
686.00000000	0.17071272
687.00000000	0.16655943
688.00000000	0.15179380
689.00000000	0.15124171
690.00000000	0.15252605
691.00000000	0.14560390
692.00000000	0.14128575
693.00000000	0.13718780
694.00000000	0.13776412
695.00000000	0.13475235
696.00000000	0.13363488
697.00000000	0.12619832
698.00000000	0.12330161
699.00000000	0.12338606
700.00000000	0.12083924
701.00000000	0.12137367
702.00000000	0.12404362
703.00000000	0.11805541
704.00000000	0.11274848
705.00000000	0.11286826
706.00000000	0.11150670
707.00000000	0.11309451
708.00000000	0.10644773
709.00000000	0.10980451
710.00000000	0.10598395
711.00000000	0.10627514
712.00000000	0.10912340
713.00000000	0.10568823
714.00000000	0.10332275
715.00000000	0.10941374
716.00000000	0.10536727
717.00000000	0.10390663
718.00000000	0.09875514
719.00000000	0.09506091
720.00000000	0.10191847
721.00000000	0.10572961
722.00000000	0.10221924
723.00000000	0.10083835
724.00000000	0.10185791
725.00000000	0.09710863
