#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.3205	0.2885	0.1097
#xyY coordinates: 0.4459	0.4014	0.2885
#sRGB: 138	60	19
#CCT Lindbloom (K):	2832
#CCT McCamy (K):	2833
#CCT Hernández-Andrés (K):	2769
#Melatonin: 0.361
#Chlorophyll a: 0.738
#Chlorophyll b: 0.574
#Beta Carotene: 0.737
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.11367448
476.00000000	0.10554486
477.00000000	0.10788600
478.00000000	0.12024365
479.00000000	0.11925463
480.00000000	0.11927923
481.00000000	0.11566713
482.00000000	0.12118429
483.00000000	0.12231980
484.00000000	0.11311285
485.00000000	0.10541471
486.00000000	0.10396746
487.00000000	0.10119933
488.00000000	0.11525178
489.00000000	0.13052996
490.00000000	0.12565333
491.00000000	0.12046230
492.00000000	0.12468309
493.00000000	0.11746644
494.00000000	0.12080753
495.00000000	0.12029020
496.00000000	0.12318205
497.00000000	0.12651068
498.00000000	0.14095387
499.00000000	0.15360153
500.00000000	0.15211335
501.00000000	0.14355000
502.00000000	0.13853230
503.00000000	0.14262038
504.00000000	0.14783969
505.00000000	0.16227339
506.00000000	0.14591768
507.00000000	0.13925572
508.00000000	0.13693009
509.00000000	0.12568620
510.00000000	0.12097830
511.00000000	0.13117468
512.00000000	0.14440653
513.00000000	0.14643286
514.00000000	0.14039684
515.00000000	0.13841205
516.00000000	0.14944903
517.00000000	0.15099050
518.00000000	0.14742709
519.00000000	0.14968381
520.00000000	0.14518088
521.00000000	0.13882914
522.00000000	0.14454270
523.00000000	0.15188704
524.00000000	0.14917863
525.00000000	0.13753807
526.00000000	0.15388143
527.00000000	0.19241236
528.00000000	0.17950206
529.00000000	0.15772299
530.00000000	0.16180036
531.00000000	0.18311610
532.00000000	0.18476056
533.00000000	0.20981447
534.00000000	0.31219463
535.00000000	0.39875192
536.00000000	0.35299505
537.00000000	0.49928653
538.00000000	0.56425187
539.00000000	0.55822238
540.00000000	0.50535389
541.00000000	0.40859552
542.00000000	0.30353053
543.00000000	0.24868573
544.00000000	0.19180970
545.00000000	0.19033765
546.00000000	0.28643006
547.00000000	0.31918732
548.00000000	0.21683890
549.00000000	0.17589558
550.00000000	0.16782036
551.00000000	0.16432718
552.00000000	0.16016233
553.00000000	0.16306806
554.00000000	0.16869955
555.00000000	0.18387709
556.00000000	0.17376543
557.00000000	0.16834830
558.00000000	0.17287695
559.00000000	0.21125620
560.00000000	0.23929699
561.00000000	0.21184488
562.00000000	0.19134872
563.00000000	0.19780990
564.00000000	0.22349841
565.00000000	0.24438482
566.00000000	0.24630223
567.00000000	0.27373525
568.00000000	0.32147476
569.00000000	0.40324607
570.00000000	0.44262170
571.00000000	0.36931810
572.00000000	0.30168038
573.00000000	0.26198719
574.00000000	0.24742385
575.00000000	0.24753971
576.00000000	0.25442481
577.00000000	0.26950711
578.00000000	0.26420951
579.00000000	0.26589644
580.00000000	0.27170218
581.00000000	0.27714166
582.00000000	0.28263392
583.00000000	0.30059204
584.00000000	0.32245838
585.00000000	0.36318969
586.00000000	0.41390731
587.00000000	0.44552579
588.00000000	0.36761300
589.00000000	0.18849373
590.00000000	0.08981100
591.00000000	0.10036567
592.00000000	0.15313259
593.00000000	0.21061485
594.00000000	0.27037477
595.00000000	0.32251432
596.00000000	0.36683180
597.00000000	0.40715654
598.00000000	0.43197036
599.00000000	0.45482165
600.00000000	0.47241321
601.00000000	0.48161495
602.00000000	0.48827231
603.00000000	0.48643482
604.00000000	0.47661368
605.00000000	0.47513672
606.00000000	0.47513785
607.00000000	0.46892758
608.00000000	0.45892168
609.00000000	0.46728159
610.00000000	0.45807556
611.00000000	0.45398472
612.00000000	0.45116116
613.00000000	0.45836719
614.00000000	0.43647278
615.00000000	0.43029334
616.00000000	0.47160302
617.00000000	0.51393123
618.00000000	0.46580320
619.00000000	0.42453813
620.00000000	0.40222928
621.00000000	0.38497682
622.00000000	0.38159736
623.00000000	0.37858414
624.00000000	0.37303789
625.00000000	0.37473410
626.00000000	0.40246396
627.00000000	0.41858652
628.00000000	0.39465731
629.00000000	0.39357917
630.00000000	0.39500151
631.00000000	0.39723955
632.00000000	0.37834008
633.00000000	0.36632622
634.00000000	0.37202947
635.00000000	0.38185418
636.00000000	0.38708288
637.00000000	0.39515411
638.00000000	0.40151005
639.00000000	0.40115757
640.00000000	0.38924834
641.00000000	0.38274950
642.00000000	0.36065440
643.00000000	0.35176625
644.00000000	0.37311271
645.00000000	0.37081832
646.00000000	0.38211152
647.00000000	0.38754131
648.00000000	0.37752377
649.00000000	0.36240758
650.00000000	0.35217272
651.00000000	0.32197719
652.00000000	0.30247546
653.00000000	0.29236840
654.00000000	0.29845771
655.00000000	0.31850626
656.00000000	0.33910358
657.00000000	0.33119077
658.00000000	0.33386396
659.00000000	0.31842776
660.00000000	0.29487715
661.00000000	0.29424284
662.00000000	0.28626572
663.00000000	0.28320024
664.00000000	0.27717351
665.00000000	0.27597472
666.00000000	0.27910083
667.00000000	0.29981737
668.00000000	0.29074405
669.00000000	0.28614445
670.00000000	0.28511470
671.00000000	0.28721677
672.00000000	0.29653682
673.00000000	0.28839821
674.00000000	0.28157906
675.00000000	0.28280153
676.00000000	0.28053603
677.00000000	0.28293301
678.00000000	0.27242509
679.00000000	0.25971006
680.00000000	0.24760902
681.00000000	0.24019669
682.00000000	0.23599571
683.00000000	0.25010665
684.00000000	0.27033833
685.00000000	0.25413787
686.00000000	0.25843348
687.00000000	0.22287523
688.00000000	0.20861976
689.00000000	0.20044073
690.00000000	0.20425688
691.00000000	0.19744191
692.00000000	0.18914692
693.00000000	0.18905964
694.00000000	0.18548888
695.00000000	0.19350336
696.00000000	0.20260640
697.00000000	0.18878955
698.00000000	0.17937416
699.00000000	0.18271718
700.00000000	0.18874147
701.00000000	0.18117837
702.00000000	0.18046700
703.00000000	0.17302057
704.00000000	0.16740919
705.00000000	0.16578004
706.00000000	0.15773096
707.00000000	0.15213264
708.00000000	0.15044316
709.00000000	0.15031077
710.00000000	0.14888475
711.00000000	0.14680901
712.00000000	0.14374160
713.00000000	0.14601200
714.00000000	0.14717915
715.00000000	0.16380699
716.00000000	0.15705898
717.00000000	0.14522692
718.00000000	0.13926388
719.00000000	0.13706300
720.00000000	0.13826445
721.00000000	0.15203454
722.00000000	0.14109831
723.00000000	0.13993443
724.00000000	0.13552255
725.00000000	0.13146050
