#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.2352	0.2642	0.2004
#xyY coordinates: 0.3361	0.3776	0.2642
#sRGB: 65	70	44
#CCT Lindbloom (K):	5381
#CCT McCamy (K):	5377
#CCT Hernández-Andrés (K):	5351
#Melatonin: 0.726
#Chlorophyll a: 0.404
#Chlorophyll b: 0.736
#Beta Carotene: 0.407
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.19279294
476.00000000	0.19078468
477.00000000	0.17637236
478.00000000	0.19862891
479.00000000	0.19644178
480.00000000	0.18952332
481.00000000	0.18562636
482.00000000	0.18106099
483.00000000	0.18369289
484.00000000	0.18035287
485.00000000	0.17210796
486.00000000	0.15857132
487.00000000	0.15643058
488.00000000	0.17134375
489.00000000	0.19337965
490.00000000	0.18158261
491.00000000	0.17218528
492.00000000	0.17367745
493.00000000	0.17879538
494.00000000	0.18964057
495.00000000	0.17893294
496.00000000	0.19047171
497.00000000	0.17605061
498.00000000	0.18718777
499.00000000	0.17825298
500.00000000	0.18781211
501.00000000	0.17463946
502.00000000	0.18413073
503.00000000	0.20619709
504.00000000	0.23043674
505.00000000	0.24807483
506.00000000	0.23107262
507.00000000	0.24068968
508.00000000	0.22722829
509.00000000	0.20131366
510.00000000	0.17582327
511.00000000	0.18407418
512.00000000	0.20583819
513.00000000	0.21723362
514.00000000	0.20148562
515.00000000	0.19148818
516.00000000	0.18855531
517.00000000	0.19381703
518.00000000	0.20718657
519.00000000	0.21878627
520.00000000	0.18835589
521.00000000	0.18328043
522.00000000	0.19388304
523.00000000	0.20034912
524.00000000	0.19507240
525.00000000	0.17300326
526.00000000	0.17791900
