#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.2254	0.2438	0.2558
#xyY coordinates: 0.3109	0.3363	0.2438
#sRGB: 58	64	59
#CCT Lindbloom (K):	6545
#CCT McCamy (K):	6550
#CCT Hernández-Andrés (K):	6538
#Melatonin: 0.985
#Chlorophyll a: 0.563
#Chlorophyll b: 0.949
#Beta Carotene: 0.566
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.22509999
476.00000000	0.19464345
477.00000000	0.22512026
478.00000000	0.26796640
479.00000000	0.27827568
480.00000000	0.26483520
481.00000000	0.26541548
482.00000000	0.30296381
483.00000000	0.30803203
484.00000000	0.25761324
485.00000000	0.22747759
486.00000000	0.21223669
487.00000000	0.21181114
488.00000000	0.24268751
489.00000000	0.25657642
490.00000000	0.25308047
491.00000000	0.23882751
492.00000000	0.24586304
493.00000000	0.21890031
494.00000000	0.21547325
495.00000000	0.21699856
496.00000000	0.20906115
497.00000000	0.19074269
498.00000000	0.18299886
499.00000000	0.18891557
500.00000000	0.21106112
501.00000000	0.21689652
502.00000000	0.21996788
503.00000000	0.23999593
504.00000000	0.26572469
505.00000000	0.29134402
506.00000000	0.27260430
507.00000000	0.24758908
508.00000000	0.20696153
509.00000000	0.17841293
510.00000000	0.19307261
511.00000000	0.23089487
512.00000000	0.27525177
513.00000000	0.26436984
514.00000000	0.23576045
515.00000000	0.22767070
516.00000000	0.25606171
517.00000000	0.25209539
518.00000000	0.22578803
519.00000000	0.21514140
520.00000000	0.20752297
521.00000000	0.19284946
522.00000000	0.18240262
523.00000000	0.19989691
524.00000000	0.18949846
525.00000000	0.16042037
526.00000000	0.19441482
527.00000000	0.22588696
528.00000000	0.22691496
529.00000000	0.19625411
530.00000000	0.20296994
531.00000000	0.22233046
532.00000000	0.23695223
533.00000000	0.23109179
534.00000000	0.31061251
535.00000000	0.71563310
536.00000000	1.00000000
537.00000000	0.81790755
538.00000000	0.59709453
539.00000000	0.48214416
540.00000000	0.37920624
541.00000000	0.29053154
542.00000000	0.26708645
543.00000000	0.23746670
544.00000000	0.17047075
545.00000000	0.16606005
546.00000000	0.24179516
547.00000000	0.22982491
548.00000000	0.17913363
549.00000000	0.15451035
550.00000000	0.17734536
551.00000000	0.18175058
552.00000000	0.15477354
553.00000000	0.15991019
554.00000000	0.17540762
555.00000000	0.19147507
556.00000000	0.18572286
557.00000000	0.17700802
558.00000000	0.18359821
559.00000000	0.17495989
560.00000000	0.16123881
561.00000000	0.17926666
562.00000000	0.17362579
563.00000000	0.16077202
564.00000000	0.19289929
565.00000000	0.21456303
566.00000000	0.19447180
567.00000000	0.18107352
568.00000000	0.17142294
569.00000000	0.16492668
570.00000000	0.17045049
571.00000000	0.18549948
572.00000000	0.21202308
573.00000000	0.20435196
574.00000000	0.19525424
575.00000000	0.21030085
576.00000000	0.23510508
577.00000000	0.22286496
578.00000000	0.18039264
579.00000000	0.17824533
580.00000000	0.18832790
581.00000000	0.20064002
582.00000000	0.17981737
583.00000000	0.16241653
584.00000000	0.16256601
585.00000000	0.16843407
586.00000000	0.16973957
587.00000000	0.16745256
588.00000000	0.16334821
589.00000000	0.17376478
590.00000000	0.17418198
591.00000000	0.16970929
592.00000000	0.17656221
593.00000000	0.18489370
594.00000000	0.20625419
595.00000000	0.21461524
596.00000000	0.20017537
597.00000000	0.23057064
598.00000000	0.26376477
599.00000000	0.28476765
600.00000000	0.25999561
601.00000000	0.26794446
602.00000000	0.25256504
603.00000000	0.23453529
604.00000000	0.21150026
605.00000000	0.19777012
606.00000000	0.19552936
607.00000000	0.19155803
608.00000000	0.21127663
609.00000000	0.26313515
610.00000000	0.24757979
611.00000000	0.23684924
612.00000000	0.22313865
613.00000000	0.21938617
614.00000000	0.19644531
615.00000000	0.20083670
616.00000000	0.22530359
617.00000000	0.26024355
618.00000000	0.23958111
619.00000000	0.22074174
620.00000000	0.21482146
621.00000000	0.21162637
622.00000000	0.19733479
623.00000000	0.18121251
624.00000000	0.17002446
625.00000000	0.16956458
626.00000000	0.24961408
627.00000000	0.24216898
628.00000000	0.19162955
629.00000000	0.15431891
630.00000000	0.15353456
631.00000000	0.15266486
632.00000000	0.15444979
633.00000000	0.17675364
634.00000000	0.18579701
635.00000000	0.18179350
636.00000000	0.16797038
637.00000000	0.15965343
638.00000000	0.18093548
639.00000000	0.17972082
640.00000000	0.17075064
641.00000000	0.16455739
642.00000000	0.18083631
643.00000000	0.18678233
644.00000000	0.18146855
645.00000000	0.15893989
646.00000000	0.17536423
647.00000000	0.16234214
648.00000000	0.15446743
649.00000000	0.16451662
650.00000000	0.15227293
651.00000000	0.14157099
652.00000000	0.13589269
653.00000000	0.14146228
654.00000000	0.14326747
655.00000000	0.17853809
656.00000000	0.18677208
657.00000000	0.16845505
658.00000000	0.19619880
659.00000000	0.22910565
660.00000000	0.19946874
661.00000000	0.15962935
662.00000000	0.13155708
663.00000000	0.12702980
664.00000000	0.13743969
665.00000000	0.14243425
666.00000000	0.19670469
667.00000000	0.25523278
668.00000000	0.21361323
669.00000000	0.16860072
670.00000000	0.13287164
671.00000000	0.13635758
672.00000000	0.15721313
673.00000000	0.17228691
674.00000000	0.15570809
675.00000000	0.16920149
676.00000000	0.17932578
677.00000000	0.19685655
678.00000000	0.16994293
679.00000000	0.16388652
680.00000000	0.14424469
681.00000000	0.14082836
682.00000000	0.14240469
683.00000000	0.17283548
684.00000000	0.19098777
685.00000000	0.22266661
686.00000000	0.22709877
687.00000000	0.17820195
688.00000000	0.13460913
689.00000000	0.14513632
690.00000000	0.13883507
691.00000000	0.15388048
692.00000000	0.13704704
693.00000000	0.12633771
694.00000000	0.13491762
695.00000000	0.13941367
696.00000000	0.14559214
697.00000000	0.15838202
698.00000000	0.16838043
699.00000000	0.16474978
700.00000000	0.19241104
701.00000000	0.15746274
702.00000000	0.14878032
703.00000000	0.11874527
704.00000000	0.11358407
705.00000000	0.10074914
706.00000000	0.10283564
707.00000000	0.09849908
708.00000000	0.09477546
709.00000000	0.09054427
710.00000000	0.08695749
711.00000000	0.07867534
712.00000000	0.08186065
713.00000000	0.09484912
714.00000000	0.09421831
715.00000000	0.08051415
716.00000000	0.08871619
717.00000000	0.09797936
718.00000000	0.08473223
719.00000000	0.07508498
720.00000000	0.07822285
721.00000000	0.10466277
722.00000000	0.11489529
723.00000000	0.11805819
724.00000000	0.09868671
725.00000000	0.09493638
