# Ceramic Metal Halide
#
# average spectrum made of:
# CMH_Ceramic_Metal_Halide_2378K_SFH_1_Mayo_cor
# CMH_Ceramic_Metal_Halide_2586K_SFH_Panos_H_cor
# CMH_Ceramic_Metal_Halide_2620K_SFH_Panos_L_cor
# CMH_Ceramic_Metal_Halide_2691K_SFH_Police_cor
# CMH_Ceramic_Metal_Halide_2829K_Almeria_Calle_Gregorio_Maranon_cor
# CMH_Ceramic_Metal_Halide_2832K_SFH_Eugenia_cor
# CMH_Ceramic_Metal_Halide_5381K_SFH_Saramago_cor
# CMH_Ceramic_Metal_Halide_6545K_SFH_P_General_cor
#
# W	S
475	0.120713178
476	0.111864948
477	0.110272804
478	0.121353529
479	0.120125335
480	0.116140724
481	0.113883971
482	0.119216799
483	0.120825254
484	0.11188553
485	0.103739156
486	0.100524501
487	0.100396458
488	0.111517503
489	0.120078109
490	0.116377495
491	0.112800695
492	0.116833675
493	0.113827214
494	0.121497233
495	0.117340578
496	0.119819691
497	0.122810369
498	0.142231265
499	0.15324376
500	0.151640501
501	0.13861814
502	0.132585615
503	0.135008698
504	0.14263786
505	0.149081054
506	0.137901414
507	0.134787975
508	0.127109041
509	0.11525697
510	0.110752816
511	0.118674288
512	0.132081786
513	0.13512342
514	0.126968919
515	0.129931863
516	0.139327479
517	0.137726449
518	0.137769941
519	0.13838363
520	0.13029661
521	0.12777092
522	0.133039919
523	0.138048386
524	0.133675733
525	0.119278566
526	0.12479251
527	0.134103449
528	0.131787094
529	0.125336576
530	0.138805899
531	0.158472946
532	0.16198168
533	0.18546363
534	0.290171998
535	0.473710031
536	0.611974018
537	0.721897103
538	0.718060361
539	0.672448084
540	0.566313088
541	0.429973385
542	0.305639676
543	0.231697948
544	0.173759194
545	0.170195146
546	0.305781999
547	0.308064058
548	0.225433089
549	0.184171015
550	0.153873176
551	0.140682018
552	0.133155996
553	0.136972093
554	0.140601095
555	0.150317208
556	0.147278048
557	0.144788589
558	0.142984131
559	0.150974896
560	0.151844313
561	0.149421723
562	0.148800306
563	0.159036563
564	0.180527533
565	0.192920698
566	0.202736109
567	0.23066428
568	0.287382884
569	0.386481935
570	0.394304561
571	0.325914534
572	0.274699318
573	0.228227598
574	0.205734359
575	0.200689243
576	0.213734553
577	0.232869681
578	0.2213254
579	0.231147048
580	0.229184209
581	0.231639729
582	0.233166124
583	0.243389556
584	0.266979545
585	0.306735778
586	0.370764738
587	0.422320031
588	0.389343823
589	0.250902741
590	0.175806649
591	0.161903765
592	0.194040741
593	0.250837784
594	0.3119199
595	0.369143693
596	0.406771891
597	0.446913898
598	0.481361325
599	0.500873734
600	0.50172215
601	0.504730174
602	0.497234373
603	0.489316566
604	0.479039808
605	0.463915771
606	0.458683631
607	0.445041285
608	0.439546699
609	0.44475833
610	0.428390553
611	0.416063361
612	0.404002056
613	0.398228241
614	0.385058391
615	0.381613136
616	0.417653143
617	0.424437749
618	0.390130951
619	0.36813138
620	0.351075696
621	0.332985736
622	0.324320971
623	0.315087411
624	0.3077331
625	0.305436546
626	0.337191245
627	0.325787269
628	0.308444283
629	0.294757909
630	0.292082054
631	0.291873308
632	0.278820119
633	0.27585966
634	0.273794644
635	0.274519329
636	0.270520595
637	0.272048424
638	0.276300541
639	0.270572589
640	0.264391953
641	0.258706071
642	0.25593037
643	0.253694721
644	0.253383255
645	0.244558935
646	0.254097503
647	0.252818291
648	0.245992761
649	0.241080381
650	0.227388236
651	0.215815085
652	0.209921346
653	0.206955424
654	0.211003639
655	0.23380757
656	0.247345598
657	0.236576553
658	0.248087043
659	0.236140835
660	0.230607055
661	0.233684648
662	0.208406326
663	0.210824888
664	0.200179064
665	0.19383287
666	0.20384418
667	0.220368573
668	0.213353863
669	0.21191447
670	0.222244651
671	0.237986568
672	0.231741284
673	0.227895224
674	0.219219536
675	0.215936975
676	0.205553428
677	0.206959964
678	0.199545489
679	0.192433324
680	0.179300098
681	0.170803491
682	0.163097054
683	0.173624246
684	0.180305104
685	0.181567131
686	0.174077845
687	0.153414984
688	0.135834594
689	0.130517719
690	0.129120448
691	0.125696173
692	0.120688553
693	0.118921715
694	0.121485079
695	0.124275946
696	0.127217253
697	0.122946524
698	0.122107764
699	0.12023039
700	0.122841404
701	0.114574344
702	0.111969685
703	0.104870713
704	0.10051147
705	0.096528974
706	0.095794503
707	0.091990301
708	0.090992614
709	0.090842695
710	0.087263818
711	0.085999729
712	0.086650446
713	0.088628496
714	0.087555386
715	0.089916014
716	0.087419665
717	0.085768628
718	0.082762575
719	0.080202396
720	0.082173108
721	0.088999975
722	0.087242454
723	0.087975864
724	0.084645949
725	0.08361919
