#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1250	0.1264	0.0725
#xyY coordinates: 0.3859	0.3904	0.1264
#sRGB: 44	30	15
#CCT Lindbloom (K):	3952
#CCT McCamy (K):	3961
#CCT Hernández-Andrés (K):	3948
#Melatonin: 0.471
#Chlorophyll a: 0.050
#Chlorophyll b: 0.513
#Beta Carotene: 0.050
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.02764244
476.00000000	0.02785540
477.00000000	0.02391460
478.00000000	0.02526540
479.00000000	0.02665427
480.00000000	0.02738427
481.00000000	0.03412850
482.00000000	0.03593924
483.00000000	0.05073305
484.00000000	0.07253830
485.00000000	0.09562629
486.00000000	0.12562174
487.00000000	0.14595960
488.00000000	0.14860647
489.00000000	0.13722189
490.00000000	0.12687475
491.00000000	0.11113940
492.00000000	0.10518276
493.00000000	0.09444967
494.00000000	0.08277885
495.00000000	0.07514519
496.00000000	0.06875145
497.00000000	0.06027738
498.00000000	0.05333971
499.00000000	0.04630757
500.00000000	0.04071950
501.00000000	0.03366452
502.00000000	0.02722795
503.00000000	0.02217334
504.00000000	0.02018177
505.00000000	0.01675754
506.00000000	0.01401241
507.00000000	0.01094867
508.00000000	0.00908534
509.00000000	0.01177528
510.00000000	0.01185237
511.00000000	0.00875222
512.00000000	0.00878720
513.00000000	0.00762795
514.00000000	0.00977085
515.00000000	0.00961881
516.00000000	0.00724177
517.00000000	0.00796749
518.00000000	0.00642039
519.00000000	0.00587979
520.00000000	0.00575701
521.00000000	0.00617222
522.00000000	0.00409570
523.00000000	0.00386251
524.00000000	0.00488804
525.00000000	0.00521379
526.00000000	0.00551692
527.00000000	0.00624526
528.00000000	0.00567468
529.00000000	0.00827325
530.00000000	0.00655578
531.00000000	0.00828800
532.00000000	0.00920526
533.00000000	0.01659693
534.00000000	0.02541340
