#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1430	0.1552	0.1343
#xyY coordinates: 0.3306	0.3589	0.1552
#sRGB: 40	40	30
#CCT Lindbloom (K):	5576
#CCT McCamy (K):	5574
#CCT Hernández-Andrés (K):	5560
#Melatonin: 0.696
#Chlorophyll a: 0.084
#Chlorophyll b: 0.700
#Beta Carotene: 0.086
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.11491843
476.00000000	0.11466845
477.00000000	0.11764513
478.00000000	0.11561537
479.00000000	0.11616558
480.00000000	0.11480535
481.00000000	0.11550685
482.00000000	0.11848283
483.00000000	0.11895415
484.00000000	0.11698418
485.00000000	0.11775254
486.00000000	0.11982466
487.00000000	0.11876673
488.00000000	0.11877933
489.00000000	0.11799948
490.00000000	0.11819534
491.00000000	0.12005360
492.00000000	0.12085767
493.00000000	0.12118337
494.00000000	0.11885546
495.00000000	0.11569676
496.00000000	0.11614717
497.00000000	0.11699733
498.00000000	0.11601429
499.00000000	0.11569122
500.00000000	0.11667205
501.00000000	0.11520621
502.00000000	0.11514419
503.00000000	0.11495027
504.00000000	0.11608433
505.00000000	0.11414689
506.00000000	0.11284867
507.00000000	0.11112564
508.00000000	0.11266001
509.00000000	0.11266997
510.00000000	0.11158132
511.00000000	0.11353412
512.00000000	0.11358616
513.00000000	0.10883081
514.00000000	0.11215990
515.00000000	0.10965205
516.00000000	0.11058097
517.00000000	0.10729977
518.00000000	0.10715416
519.00000000	0.10815381
520.00000000	0.10874209
521.00000000	0.10951460
522.00000000	0.10711291
523.00000000	0.10893864
524.00000000	0.10933175
525.00000000	0.10815367
526.00000000	0.10964097
527.00000000	0.10763793
528.00000000	0.10821582
529.00000000	0.10921935
530.00000000	0.11091567
531.00000000	0.10766921
532.00000000	0.10866194
533.00000000	0.10917118
534.00000000	0.11040089
535.00000000	0.10973953
536.00000000	0.11068700
537.00000000	0.11280839
538.00000000	0.11250830
539.00000000	0.11438303
540.00000000	0.11594591
541.00000000	0.11600266
542.00000000	0.12193913
543.00000000	0.12338311
544.00000000	0.12753980
545.00000000	0.18634097
546.00000000	0.65732539
547.00000000	0.57035617
548.00000000	0.38760340
549.00000000	0.28535824
550.00000000	0.16350686
551.00000000	0.14006648
552.00000000	0.13448713
553.00000000	0.13688176
554.00000000	0.13676798
555.00000000	0.13730269
556.00000000	0.13977234
557.00000000	0.13873947
558.00000000	0.14142464
559.00000000	0.14557219
560.00000000	0.14807465
561.00000000	0.14902157
562.00000000	0.15037861
563.00000000	0.15276868
564.00000000	0.15198634
565.00000000	0.15288578
566.00000000	0.15681256
567.00000000	0.15541301
568.00000000	0.15948112
569.00000000	0.16237031
570.00000000	0.15724525
571.00000000	0.15964043
572.00000000	0.16251939
573.00000000	0.16195797
574.00000000	0.16214732
575.00000000	0.16543613
576.00000000	0.17492869
577.00000000	0.24452176
578.00000000	0.22054986
579.00000000	0.26682892
580.00000000	0.24629324
581.00000000	0.20397639
582.00000000	0.19018124
583.00000000	0.17273076
584.00000000	0.16613583
585.00000000	0.16567698
586.00000000	0.16398205
587.00000000	0.16418677
588.00000000	0.16657268
589.00000000	0.15848631
590.00000000	0.16245364
591.00000000	0.15920525
592.00000000	0.15941315
593.00000000	0.15821404
594.00000000	0.15292412
595.00000000	0.15135294
596.00000000	0.15237114
597.00000000	0.14791616
598.00000000	0.14633404
599.00000000	0.14723058
600.00000000	0.14330823
601.00000000	0.13983214
602.00000000	0.13922891
603.00000000	0.14041585
604.00000000	0.13470015
605.00000000	0.13196779
606.00000000	0.12962894
607.00000000	0.12907513
608.00000000	0.12568029
609.00000000	0.12286515
610.00000000	0.12031715
611.00000000	0.11987310
612.00000000	0.11684494
613.00000000	0.11691691
614.00000000	0.11233929
615.00000000	0.11115596
616.00000000	0.11255412
617.00000000	0.10854858
618.00000000	0.10540829
619.00000000	0.10343542
620.00000000	0.10161620
621.00000000	0.09966146
622.00000000	0.09946587
623.00000000	0.09796874
624.00000000	0.09317990
625.00000000	0.08967917
626.00000000	0.08973094
627.00000000	0.08660353
628.00000000	0.08483884
629.00000000	0.08220530
630.00000000	0.08173551
631.00000000	0.07892839
632.00000000	0.07568554
633.00000000	0.07618827
634.00000000	0.07239673
635.00000000	0.06923305
636.00000000	0.06937382
637.00000000	0.06712120
638.00000000	0.06424945
639.00000000	0.06418328
640.00000000	0.06192499
641.00000000	0.05877460
642.00000000	0.05929409
643.00000000	0.05837568
644.00000000	0.05607393
645.00000000	0.05254940
646.00000000	0.05201427
647.00000000	0.05210798
648.00000000	0.04942170
649.00000000	0.04678858
650.00000000	0.04748593
651.00000000	0.04776678
652.00000000	0.04493087
653.00000000	0.04440198
654.00000000	0.04208279
655.00000000	0.03990990
656.00000000	0.04086208
657.00000000	0.04087024
658.00000000	0.03866026
659.00000000	0.03844364
660.00000000	0.03407766
661.00000000	0.03646759
662.00000000	0.03489142
663.00000000	0.03337574
664.00000000	0.03214908
665.00000000	0.03009081
666.00000000	0.03025207
667.00000000	0.02884339
668.00000000	0.02960026
669.00000000	0.02839118
670.00000000	0.02655562
671.00000000	0.02615988
672.00000000	0.02497392
673.00000000	0.02530847
674.00000000	0.02243644
675.00000000	0.02402907
676.00000000	0.02224321
677.00000000	0.02104492
678.00000000	0.02103163
679.00000000	0.02105876
680.00000000	0.02093917
681.00000000	0.02162296
682.00000000	0.01996471
683.00000000	0.01972455
684.00000000	0.01910707
685.00000000	0.01803115
686.00000000	0.01936010
687.00000000	0.02044114
688.00000000	0.01705267
689.00000000	0.01514389
690.00000000	0.01843948
691.00000000	0.02121781
692.00000000	0.01541630
693.00000000	0.01629483
694.00000000	0.01584802
695.00000000	0.01650509
696.00000000	0.01348869
697.00000000	0.01517476
698.00000000	0.01616306
699.00000000	0.01598256
700.00000000	0.01280919
701.00000000	0.01251464
702.00000000	0.01326071
703.00000000	0.01418064
704.00000000	0.01398242
705.00000000	0.01194048
706.00000000	0.01054302
707.00000000	0.01014576
708.00000000	0.01257153
709.00000000	0.01351928
710.00000000	0.01214410
711.00000000	0.01027393
712.00000000	0.00764704
713.00000000	0.01262288
714.00000000	0.01117365
715.00000000	0.01123095
716.00000000	0.01089737
717.00000000	0.01215628
718.00000000	0.00937574
719.00000000	0.00979376
720.00000000	0.00864198
721.00000000	0.00828874
722.00000000	0.00857942
723.00000000	0.00755001
724.00000000	0.00854011
725.00000000	0.00904506
