# Fluorescent Lamp
#
# average spectrum made of:
# FL_Fluorescent_Lamp_3952K_SFH_Huerta_cor
# FL_Fluorescent_Lamp_5576K_F_Farmacia_cor
#
# W	S
475	0.071280435
476	0.071261925
477	0.070779865
478	0.070440385
479	0.071409925
480	0.07109481
481	0.074817675
482	0.077211035
483	0.0848436
484	0.09476124
485	0.106689415
486	0.1227232
487	0.132363165
488	0.1336929
489	0.127610685
490	0.122535045
491	0.1155965
492	0.113020215
493	0.10781652
494	0.100817155
495	0.095420975
496	0.09244931
497	0.088637355
498	0.084677
499	0.080999395
500	0.078695775
501	0.074435365
502	0.07118607
503	0.068561805
504	0.06813305
505	0.065452215
506	0.06343054
507	0.061037155
508	0.060872675
509	0.062222625
510	0.061716845
511	0.06114317
512	0.06118668
513	0.05822938
514	0.060965375
515	0.05963543
516	0.05891137
517	0.05763363
518	0.056787275
519	0.0570168
520	0.05724955
521	0.05784341
522	0.055604305
523	0.056400575
524	0.057109895
525	0.05668373
526	0.057578945
527	0.056941595
528	0.05694525
529	0.0587463
530	0.058735725
531	0.057978605
532	0.0589336
533	0.062884055
534	0.067907145
535	0.06678031
536	0.06912082
537	0.07749645
538	0.09098203
539	0.107531725
540	0.140771555
541	0.213947955
542	0.320188035
543	0.33607526
544	0.342590275
545	0.381420265
546	0.828662695
547	0.742775265
548	0.497256335
549	0.379698905
550	0.23764628
551	0.182375915
552	0.1531021
553	0.13312245
554	0.11694832
555	0.10499247
556	0.096744595
557	0.088699195
558	0.08635701
559	0.08409917
560	0.084740555
561	0.083700225
562	0.08327541
563	0.08345824
564	0.081751485
565	0.08223642
566	0.08392463
567	0.08282071
568	0.08474222
569	0.086807845
570	0.083215025
571	0.08411519
572	0.085567875
573	0.08387605
574	0.08561776
575	0.087427295
576	0.09746255
577	0.17596916
578	0.157799095
579	0.20402769
580	0.19878923
581	0.156707845
582	0.14976423
583	0.14554716
584	0.147821105
585	0.14624005
586	0.14338864
587	0.15507259
588	0.162920905
589	0.139346245
590	0.132974455
591	0.12555447
592	0.124762805
593	0.137196645
594	0.134718245
595	0.120163185
596	0.113737225
597	0.10378352
598	0.10234728
599	0.107853245
600	0.11098439
601	0.10322546
602	0.096731995
603	0.09248156
604	0.085670425
605	0.08397838
606	0.084738785
607	0.08974098
608	0.094486555
609	0.112365735
610	0.163832425
611	0.35989522
612	0.50381263
613	0.382713865
614	0.33196292
615	0.278428675
616	0.20744581
617	0.158315165
618	0.12893364
619	0.11177131
620	0.10350596
621	0.101447975
622	0.10209922
623	0.102863255
624	0.102636845
625	0.10151738
626	0.101779185
627	0.099752445
628	0.095180215
629	0.088555315
630	0.09194832
631	0.10963616
632	0.10127467
633	0.08234743
634	0.066972005
635	0.05518269
636	0.04985381
637	0.045525515
638	0.042234765
639	0.040374045
640	0.03837915
641	0.03693744
642	0.036447785
643	0.037681655
644	0.03639825
645	0.03472795
646	0.033104115
647	0.03395188
648	0.03234272
649	0.033880395
650	0.03722238
651	0.043717765
652	0.038794805
653	0.038059945
654	0.035031435
655	0.031907015
656	0.030897395
657	0.03099344
658	0.029856685
659	0.028387465
660	0.02357581
661	0.025591795
662	0.027271765
663	0.0298538
664	0.02744567
665	0.024014155
666	0.022897815
667	0.02071562
668	0.02103183
669	0.01953358
670	0.020105555
671	0.01972495
672	0.017836015
673	0.0183558
674	0.01718545
675	0.015402235
676	0.01536649
677	0.014378075
678	0.01583477
679	0.01641012
680	0.013933425
681	0.01685604
682	0.01221699
683	0.01492818
684	0.013031415
685	0.01256579
686	0.016134825
687	0.01728245
688	0.02033433
689	0.01862007
690	0.01681937
691	0.01666441
692	0.01173758
693	0.013171085
694	0.017694625
695	0.01481368
696	0.00702845
697	0.012251045
698	0.00908517
699	0.00987614
700	0.006404595
701	0.00907705
702	0.00764637
703	0.00813679
704	0.011613115
705	0.009905205
706	0.015409985
707	0.0275678
708	0.033298135
709	0.03951165
710	0.041445945
711	0.02694947
712	0.03073286
713	0.03644204
714	0.022943625
715	0.016453975
716	0.010531485
717	0.01039096
718	0.007462155
719	0.006216745
720	0.00537293
721	0.00609478
722	0.00465733
723	0.00592148
724	0.004590565
725	0.00485315
