#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1636	0.1332	0.0250
#xyY coordinates: 0.5083	0.4141	0.1332
#sRGB: 80	24	2
#CCT Lindbloom (K):	2165
#CCT McCamy (K):	2146
#CCT Hernández-Andrés (K):	1933
#Melatonin: 0.221
#Chlorophyll a: 5.783
#Chlorophyll b: 0.559
#Beta Carotene: 5.757
#Manufacturer: Umknowm
#Luminance manufacturer: Unknown
#Other data: Propane lighter
#Begin Processed Spectral Data
W	S
475.00000000	0.03234586
476.00000000	0.03234046
477.00000000	0.03347722
478.00000000	0.03362606
479.00000000	0.03397121
480.00000000	0.03539485
481.00000000	0.03560209
482.00000000	0.03633444
483.00000000	0.03643545
484.00000000	0.03765969
485.00000000	0.03811074
486.00000000	0.03900743
487.00000000	0.03914038
488.00000000	0.03968792
489.00000000	0.04108550
490.00000000	0.04159833
491.00000000	0.04239085
492.00000000	0.04253904
493.00000000	0.04271547
494.00000000	0.04396908
495.00000000	0.04464449
496.00000000	0.04574328
497.00000000	0.04671255
498.00000000	0.04693345
499.00000000	0.04813289
500.00000000	0.04862390
501.00000000	0.04977564
502.00000000	0.05021461
503.00000000	0.05145897
504.00000000	0.05168041
505.00000000	0.05387969
506.00000000	0.05400634
507.00000000	0.05491035
508.00000000	0.05609064
509.00000000	0.05682702
510.00000000	0.05830053
511.00000000	0.05926370
512.00000000	0.06087853
513.00000000	0.06107619
514.00000000	0.06309129
515.00000000	0.06363827
516.00000000	0.06464550
517.00000000	0.06507528
518.00000000	0.06561344
519.00000000	0.06640161
520.00000000	0.06691858
521.00000000	0.06732611
522.00000000	0.06909076
523.00000000	0.07076573
524.00000000	0.07098033
525.00000000	0.07199766
526.00000000	0.07331708
527.00000000	0.07412245
528.00000000	0.07621516
529.00000000	0.07718685
530.00000000	0.07751777
531.00000000	0.07875359
532.00000000	0.07957046
533.00000000	0.08079275
534.00000000	0.08050476
535.00000000	0.08355364
536.00000000	0.08433223
537.00000000	0.08508243
538.00000000	0.08618079
539.00000000	0.08729865
540.00000000	0.08792435
541.00000000	0.08996386
542.00000000	0.09179510
543.00000000	0.09318836
544.00000000	0.09353391
545.00000000	0.09471122
546.00000000	0.09659780
547.00000000	0.09745871
548.00000000	0.09904510
549.00000000	0.10031375
550.00000000	0.10117957
551.00000000	0.10293551
552.00000000	0.10430663
553.00000000	0.10576406
554.00000000	0.10707824
555.00000000	0.10880946
556.00000000	0.11042659
557.00000000	0.11257459
558.00000000	0.11339225
559.00000000	0.11561917
560.00000000	0.11660523
561.00000000	0.11814983
562.00000000	0.11935930
563.00000000	0.12100566
564.00000000	0.12159554
565.00000000	0.12283687
566.00000000	0.12423868
567.00000000	0.12725932
568.00000000	0.12696345
569.00000000	0.12913552
570.00000000	0.12853265
571.00000000	0.13114624
572.00000000	0.13302220
573.00000000	0.13512257
574.00000000	0.13578044
575.00000000	0.13665702
576.00000000	0.13860915
577.00000000	0.14030567
578.00000000	0.14198374
579.00000000	0.14335654
580.00000000	0.14412482
581.00000000	0.14497889
582.00000000	0.14825386
583.00000000	0.15036446
584.00000000	0.15109109
585.00000000	0.15419838
586.00000000	0.15650419
587.00000000	0.15902727
588.00000000	0.15931205
589.00000000	0.16113849
590.00000000	0.16248930
591.00000000	0.16296122
592.00000000	0.16715897
593.00000000	0.16710123
594.00000000	0.16915094
595.00000000	0.17058335
596.00000000	0.17285154
597.00000000	0.17444805
598.00000000	0.17637227
599.00000000	0.17801238
600.00000000	0.17999666
601.00000000	0.18261649
602.00000000	0.18530467
603.00000000	0.18728249
604.00000000	0.18845744
605.00000000	0.19041730
606.00000000	0.19072519
607.00000000	0.19127986
608.00000000	0.19398010
609.00000000	0.19470987
610.00000000	0.19740809
611.00000000	0.19862965
612.00000000	0.20101269
613.00000000	0.20305360
614.00000000	0.20472083
615.00000000	0.20851353
616.00000000	0.21116512
617.00000000	0.21391082
618.00000000	0.21739185
619.00000000	0.21816303
620.00000000	0.22134539
621.00000000	0.22144700
622.00000000	0.22349399
623.00000000	0.22560130
624.00000000	0.22711599
625.00000000	0.23098671
626.00000000	0.23253221
627.00000000	0.23473750
628.00000000	0.23694818
629.00000000	0.23945137
630.00000000	0.24117578
631.00000000	0.24348616
632.00000000	0.24370573
633.00000000	0.24712463
634.00000000	0.24959439
635.00000000	0.25043361
636.00000000	0.25262305
637.00000000	0.25680009
638.00000000	0.25821315
639.00000000	0.25991117
640.00000000	0.26230095
641.00000000	0.26300725
642.00000000	0.26668842
643.00000000	0.26862783
644.00000000	0.26844196
645.00000000	0.26969171
646.00000000	0.27432933
647.00000000	0.27816514
648.00000000	0.28023942
649.00000000	0.28214431
650.00000000	0.28471401
651.00000000	0.28717033
652.00000000	0.28985233
653.00000000	0.28984679
654.00000000	0.29392703
655.00000000	0.29470874
656.00000000	0.29742610
657.00000000	0.29839570
658.00000000	0.30155111
659.00000000	0.30643849
660.00000000	0.30536713
661.00000000	0.30899895
662.00000000	0.31161536
663.00000000	0.31275061
664.00000000	0.31579947
665.00000000	0.31644061
666.00000000	0.32055462
667.00000000	0.32244609
668.00000000	0.32356037
669.00000000	0.32751912
670.00000000	0.33143100
671.00000000	0.33503637
672.00000000	0.33402569
673.00000000	0.33730880
674.00000000	0.33982064
675.00000000	0.34255242
676.00000000	0.34533542
677.00000000	0.34724382
678.00000000	0.34975592
679.00000000	0.35320496
680.00000000	0.35435458
681.00000000	0.35838415
682.00000000	0.36133675
683.00000000	0.36414758
684.00000000	0.36336172
685.00000000	0.36867475
686.00000000	0.36909633
687.00000000	0.37274608
688.00000000	0.37337781
689.00000000	0.37646510
690.00000000	0.37828541
691.00000000	0.38151930
692.00000000	0.38626787
693.00000000	0.38955729
694.00000000	0.39128185
695.00000000	0.39690116
696.00000000	0.39753297
697.00000000	0.39769174
698.00000000	0.40204645
699.00000000	0.40572120
700.00000000	0.40827390
701.00000000	0.41255516
702.00000000	0.42039043
703.00000000	0.42295029
704.00000000	0.42411572
705.00000000	0.42437656
706.00000000	0.42724151
707.00000000	0.42841493
708.00000000	0.42849506
709.00000000	0.43709818
710.00000000	0.44089683
711.00000000	0.44603214
712.00000000	0.44390664
713.00000000	0.44842136
714.00000000	0.45038824
715.00000000	0.45243174
716.00000000	0.45631289
717.00000000	0.45920540
718.00000000	0.46049799
719.00000000	0.46436371
720.00000000	0.47225587
721.00000000	0.47408520
722.00000000	0.47611749
723.00000000	0.48018740
724.00000000	0.48215455
725.00000000	0.48700577
