#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1610	0.1161	0.0161
#xyY coordinates: 0.5491	0.3961	0.1161
#sRGB: 85	16	1
#CCT Lindbloom (K):	1732
#CCT McCamy (K):	1739
#CCT Hernández-Andrés (K):	1270
#Melatonin: 0.128
#Chlorophyll a: 0.233
#Chlorophyll b: 0.373
#Beta Carotene: 0.234
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.01598900
476.00000000	0.01614066
477.00000000	0.00969128
478.00000000	0.00564940
479.00000000	0.00316529
480.00000000	0.00261249
481.00000000	0.00158476
482.00000000	0.00189537
483.00000000	0.00237362
484.00000000	0.00506002
485.00000000	0.00176212
486.00000000	0.00411119
487.00000000	0.00240712
488.00000000	0.00353370
489.00000000	0.00394201
490.00000000	0.00512358
491.00000000	0.00678544
492.00000000	0.01062643
493.00000000	0.00812404
494.00000000	0.00805166
495.00000000	0.01292921
496.00000000	0.02115490
497.00000000	0.04899666
498.00000000	0.12220840
499.00000000	0.15319435
500.00000000	0.09669462
501.00000000	0.04659862
502.00000000	0.02426943
503.00000000	0.01322958
504.00000000	0.00957811
505.00000000	0.00733249
506.00000000	0.00626806
507.00000000	0.00539621
508.00000000	0.00486041
509.00000000	0.00611077
510.00000000	0.00396247
511.00000000	0.00328371
512.00000000	0.00400659
513.00000000	0.00373600
514.00000000	0.00847889
515.00000000	0.03007714
516.00000000	0.04318460
517.00000000	0.02172126
518.00000000	0.01009383
519.00000000	0.00481898
520.00000000	0.00440645
521.00000000	0.00368383
522.00000000	0.00316606
523.00000000	0.00368421
524.00000000	0.00355327
525.00000000	0.00315813
526.00000000	0.00355557
527.00000000	0.00288013
528.00000000	0.00428369
529.00000000	0.00391937
530.00000000	0.00380045
531.00000000	0.00316248
532.00000000	0.00411119
533.00000000	0.00648672
534.00000000	0.00575886
535.00000000	0.00576679
536.00000000	0.00469609
537.00000000	0.00406413
538.00000000	0.00456271
539.00000000	0.00649184
540.00000000	0.00501117
541.00000000	0.00557664
542.00000000	0.00559492
543.00000000	0.00584671
544.00000000	0.00532255
545.00000000	0.00753863
546.00000000	0.02781528
547.00000000	0.02907358
548.00000000	0.01639565
549.00000000	0.01232934
550.00000000	0.01826518
551.00000000	0.02036643
552.00000000	0.02030543
553.00000000	0.02254593
554.00000000	0.02592375
555.00000000	0.02343032
556.00000000	0.02329413
557.00000000	0.02313556
558.00000000	0.02559652
559.00000000	0.02831464
560.00000000	0.03101907
561.00000000	0.03407938
562.00000000	0.03434804
563.00000000	0.03937392
564.00000000	0.04419712
565.00000000	0.05602621
566.00000000	0.08608532
567.00000000	0.16011470
568.00000000	0.33334557
569.00000000	0.65463890
570.00000000	0.56490542
571.00000000	0.29562597
572.00000000	0.16207848
573.00000000	0.10551315
574.00000000	0.08955957
575.00000000	0.08560081
576.00000000	0.08777558
577.00000000	0.09547188
578.00000000	0.10638104
579.00000000	0.12001777
580.00000000	0.13728310
581.00000000	0.15417580
582.00000000	0.18918086
583.00000000	0.22600943
584.00000000	0.27729749
585.00000000	0.33997845
586.00000000	0.40779924
587.00000000	0.41535909
588.00000000	0.27065552
589.00000000	0.10441956
590.00000000	0.04819961
591.00000000	0.05282524
592.00000000	0.13417906
593.00000000	0.25874241
594.00000000	0.35997890
595.00000000	0.41640012
596.00000000	0.44204383
597.00000000	0.44757891
598.00000000	0.43305062
599.00000000	0.41905213
600.00000000	0.40493291
601.00000000	0.38721913
602.00000000	0.35888570
603.00000000	0.34548732
604.00000000	0.32491718
605.00000000	0.30848727
606.00000000	0.28992900
607.00000000	0.27630824
608.00000000	0.26469180
609.00000000	0.24337654
610.00000000	0.22985170
611.00000000	0.22385064
612.00000000	0.20470005
613.00000000	0.20757571
614.00000000	0.19471952
615.00000000	0.21950468
616.00000000	0.31066434
617.00000000	0.29274212
618.00000000	0.20498381
619.00000000	0.16803504
620.00000000	0.15398872
621.00000000	0.14299337
622.00000000	0.13876453
623.00000000	0.13730522
624.00000000	0.12973169
625.00000000	0.12602650
626.00000000	0.12043669
627.00000000	0.11699813
628.00000000	0.11348361
629.00000000	0.11190921
630.00000000	0.10820965
631.00000000	0.10256946
632.00000000	0.10222918
633.00000000	0.10046949
634.00000000	0.09788258
635.00000000	0.09587647
636.00000000	0.09161733
637.00000000	0.09058845
638.00000000	0.09045610
639.00000000	0.08558035
640.00000000	0.07986113
641.00000000	0.07924771
642.00000000	0.08053490
643.00000000	0.08030588
644.00000000	0.07726859
645.00000000	0.07709723
646.00000000	0.07550480
