#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/06/28
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1728	0.1320	0.0160
#xyY coordinates: 0.5387	0.4114	01320
#sRGB: 89	21	0
#CCT Lindbloom (K):	1895
#CCT McCamy (K):	1882
#CCT Hernández-Andrés (K):	1538
#Melatonin: 0.122
#Chlorophyll a: 0.232
#Chlorophyll b: 0.350
#Beta Carotene: 0.233
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Áger streetlamps.
#Begin Processed Spectral Data
W	S
475.00000000	0.01257513
476.00000000	0.01833822
477.00000000	0.01308894
478.00000000	0.00883551
479.00000000	0.00580204
480.00000000	0.00320988
481.00000000	0.00440455
482.00000000	0.00294175
483.00000000	0.00521472
484.00000000	0.00427443
485.00000000	0.00400220
486.00000000	0.00345756
487.00000000	0.00331498
488.00000000	0.00398295
489.00000000	0.00414129
490.00000000	0.00545982
491.00000000	0.00711327
492.00000000	0.00920190
493.00000000	0.00770583
494.00000000	0.00764102
495.00000000	0.01088625
496.00000000	0.01375404
497.00000000	0.02999577
498.00000000	0.08218964
499.00000000	0.14973776
500.00000000	0.11600099
501.00000000	0.05979434
502.00000000	0.03233861
503.00000000	0.01789368
504.00000000	0.01158312
505.00000000	0.00788051
506.00000000	0.00675753
507.00000000	0.00586440
508.00000000	0.00676333
509.00000000	0.00454011
510.00000000	0.00545401
511.00000000	0.00418018
512.00000000	0.00628029
513.00000000	0.00518538
514.00000000	0.00679087
515.00000000	0.01653613
516.00000000	0.04499121
517.00000000	0.02710346
518.00000000	0.01344071
519.00000000	0.00894559
520.00000000	0.00681433
521.00000000	0.00568931
522.00000000	0.00505474
523.00000000	0.00561205
524.00000000	0.00464128
525.00000000	0.00477665
526.00000000	0.00602901
527.00000000	0.00635097
528.00000000	0.00578220
529.00000000	0.00523822
530.00000000	0.00533911
531.00000000	0.00712252
532.00000000	0.00622592
533.00000000	0.00597869
534.00000000	0.00746328
535.00000000	0.00701538
536.00000000	0.00664437
537.00000000	0.00687052
538.00000000	0.00722104
539.00000000	0.00745701
540.00000000	0.00744380
541.00000000	0.00730377
542.00000000	0.00748196
543.00000000	0.00745403
544.00000000	0.00809813
545.00000000	0.00935922
546.00000000	0.01353613
547.00000000	0.01678304
548.00000000	0.01601850
549.00000000	0.02159046
550.00000000	0.02739334
551.00000000	0.03735044
552.00000000	0.04033059
553.00000000	0.04443599
554.00000000	0.04906724
555.00000000	0.04919181
556.00000000	0.05530280
557.00000000	0.06391430
558.00000000	0.07325023
559.00000000	0.09288543
560.00000000	0.10723877
561.00000000	0.11572830
562.00000000	0.12030022
563.00000000	0.12359845
564.00000000	0.12391749
565.00000000	0.12865753
566.00000000	0.14162816
567.00000000	0.18375562
568.00000000	0.28260747
569.00000000	0.56943508
570.00000000	0.60844110
571.00000000	0.36295515
572.00000000	0.25576780
573.00000000	0.20194983
574.00000000	0.17856030
575.00000000	0.17590634
576.00000000	0.18525931
577.00000000	0.19625014
578.00000000	0.21237885
579.00000000	0.23059529
580.00000000	0.25993235
581.00000000	0.28369990
582.00000000	0.31322047
583.00000000	0.34891132
584.00000000	0.38147860
585.00000000	0.40601012
586.00000000	0.39200579
587.00000000	0.29352040
588.00000000	0.14846572
589.00000000	0.06228480
590.00000000	0.02877078
591.00000000	0.01884077
592.00000000	0.03356403
593.00000000	0.10396595
594.00000000	0.20523250
595.00000000	0.29754823
596.00000000	0.36632724
597.00000000	0.39258581
598.00000000	0.40379940
599.00000000	0.41177095
600.00000000	0.39696835
601.00000000	0.38801002
602.00000000	0.37611095
603.00000000	0.36296640
604.00000000	0.34558423
605.00000000	0.32503752
606.00000000	0.31257262
607.00000000	0.29266687
608.00000000	0.27421495
609.00000000	0.26018504
610.00000000	0.24673997
611.00000000	0.23543339
612.00000000	0.22558227
613.00000000	0.21565416
614.00000000	0.21152238
615.00000000	0.21609172
616.00000000	0.29218748
617.00000000	0.30343386
618.00000000	0.22173828
619.00000000	0.19347679
620.00000000	0.17492144
621.00000000	0.16177832
622.00000000	0.15397979
623.00000000	0.15001026
624.00000000	0.14144620
625.00000000	0.13656129
626.00000000	0.13571536
627.00000000	0.12977904
628.00000000	0.12718500
629.00000000	0.12295028
630.00000000	0.11853035
631.00000000	0.11616611
632.00000000	0.11609176
633.00000000	0.10822951
634.00000000	0.11015796
635.00000000	0.10604455
636.00000000	0.10493101
637.00000000	0.09751485
638.00000000	0.09583635
639.00000000	0.09736590
640.00000000	0.09367015
641.00000000	0.09350820
