#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1583	0.1220	0.0141
#xyY coordinates: 0.5378	0.4143	0.1220
#sRGB: 81	19	0
#CCT Lindbloom (K):	1920
#CCT McCamy (K):	1906
#CCT Hernández-Andrés (K):	1576
#Melatonin: 0.116
#Chlorophyll a: 0.115
#Chlorophyll b: 0.311
#Beta Carotene: 0.117
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.01466193
476.00000000	0.01503498
477.00000000	0.00729146
478.00000000	0.00416323
479.00000000	0.00204704
480.00000000	0.00142598
481.00000000	0.00140223
482.00000000	0.00216385
483.00000000	0.00129059
484.00000000	0.00179613
485.00000000	0.00206998
486.00000000	0.00181212
487.00000000	0.00212120
488.00000000	0.00226774
489.00000000	0.00297749
490.00000000	0.00390230
491.00000000	0.00606954
492.00000000	0.00657104
493.00000000	0.00579843
494.00000000	0.00668640
495.00000000	0.00921571
496.00000000	0.01912566
497.00000000	0.04921179
498.00000000	0.13326021
499.00000000	0.15993794
500.00000000	0.08823540
501.00000000	0.04363793
502.00000000	0.02139873
503.00000000	0.01139878
504.00000000	0.00699854
505.00000000	0.00539290
506.00000000	0.00378128
507.00000000	0.00360728
508.00000000	0.00326880
509.00000000	0.00268199
510.00000000	0.00326201
511.00000000	0.00292369
512.00000000	0.00303550
513.00000000	0.00328495
514.00000000	0.00540324
515.00000000	0.03016173
516.00000000	0.04090311
517.00000000	0.01578368
518.00000000	0.00827006
519.00000000	0.00409165
520.00000000	0.00270509
521.00000000	0.00244271
522.00000000	0.00249118
523.00000000	0.00282934
524.00000000	0.00242542
525.00000000	0.00215206
526.00000000	0.00206529
527.00000000	0.00301966
528.00000000	0.00259394
529.00000000	0.00264935
530.00000000	0.00286278
531.00000000	0.00229956
532.00000000	0.00249974
533.00000000	0.00312226
534.00000000	0.00306490
535.00000000	0.00295601
536.00000000	0.00277004
537.00000000	0.00325264
538.00000000	0.00295827
539.00000000	0.00337995
540.00000000	0.00275373
541.00000000	0.00309560
542.00000000	0.00335669
543.00000000	0.00405595
544.00000000	0.00410038
545.00000000	0.00505103
546.00000000	0.01563019
547.00000000	0.01410420
548.00000000	0.00969314
549.00000000	0.01077756
550.00000000	0.01297680
551.00000000	0.01699849
552.00000000	0.01985675
553.00000000	0.02274587
554.00000000	0.02505610
555.00000000	0.02638449
556.00000000	0.03270171
557.00000000	0.04144080
558.00000000	0.05356017
559.00000000	0.06751815
560.00000000	0.07888931
561.00000000	0.08436396
562.00000000	0.08698908
563.00000000	0.08685595
564.00000000	0.08802197
565.00000000	0.09431075
566.00000000	0.11482653
567.00000000	0.17420936
568.00000000	0.36137565
569.00000000	0.70911305
570.00000000	0.51429453
571.00000000	0.27993748
572.00000000	0.18848208
573.00000000	0.13754719
574.00000000	0.11765038
575.00000000	0.11483315
576.00000000	0.11951597
577.00000000	0.12739053
578.00000000	0.13798245
579.00000000	0.15259946
580.00000000	0.17128664
581.00000000	0.19381908
582.00000000	0.22540307
583.00000000	0.26304110
584.00000000	0.31574739
585.00000000	0.39045279
586.00000000	0.48210854
587.00000000	0.54069146
588.00000000	0.38006638
589.00000000	0.15235211
590.00000000	0.07782992
591.00000000	0.10681933
592.00000000	0.28688885
593.00000000	0.46325786
594.00000000	0.52457463
595.00000000	0.52650324
596.00000000	0.49990968
597.00000000	0.45756880
598.00000000	0.42067140
599.00000000	0.38555961
600.00000000	0.35569177
601.00000000	0.32566785
602.00000000	0.29706425
603.00000000	0.27549022
604.00000000	0.25412332
605.00000000	0.23335792
606.00000000	0.21845688
607.00000000	0.20155420
608.00000000	0.18735774
609.00000000	0.17549688
610.00000000	0.16377496
611.00000000	0.15554771
612.00000000	0.14470908
613.00000000	0.13736188
614.00000000	0.13190435
615.00000000	0.15864105
616.00000000	0.26012694
617.00000000	0.22310286
618.00000000	0.14715745
619.00000000	0.12465296
620.00000000	0.10608130
621.00000000	0.09726935
622.00000000	0.09213802
623.00000000	0.08768947
624.00000000	0.08449224
625.00000000	0.08104265
626.00000000	0.07945705
627.00000000	0.07674032
628.00000000	0.07399839
629.00000000	0.07230777
630.00000000	0.06880179
631.00000000	0.06880292
632.00000000	0.06488705
633.00000000	0.06346996
634.00000000	0.06069959
635.00000000	0.06058924
636.00000000	0.05909104
637.00000000	0.05748896
638.00000000	0.05715387
639.00000000	0.05554015
640.00000000	0.05183060
641.00000000	0.05198490
642.00000000	0.05044437
643.00000000	0.05071612
644.00000000	0.04786158
645.00000000	0.04749273
646.00000000	0.04748659
647.00000000	0.04590163
648.00000000	0.04528493
649.00000000	0.04275530
650.00000000	0.04093461
651.00000000	0.04065688
652.00000000	0.03962157
653.00000000	0.03875590
654.00000000	0.03904009
655.00000000	0.03997346
656.00000000	0.03939198
657.00000000	0.03895188
658.00000000	0.03758584
659.00000000	0.03798184
660.00000000	0.03715462
661.00000000	0.03463113
662.00000000	0.03352424
663.00000000	0.03093386
664.00000000	0.03122257
665.00000000	0.03217355
666.00000000	0.03170226
667.00000000	0.03345186
668.00000000	0.03317623
669.00000000	0.03393252
670.00000000	0.03592527
671.00000000	0.03641659
672.00000000	0.03609556
673.00000000	0.03569665
674.00000000	0.03522213
675.00000000	0.03307476
676.00000000	0.03397404
677.00000000	0.03285584
678.00000000	0.03043801
679.00000000	0.02726809
680.00000000	0.02702316
681.00000000	0.02536113
682.00000000	0.02454232
683.00000000	0.02207198
684.00000000	0.02014870
685.00000000	0.01894907
686.00000000	0.01885730
687.00000000	0.01859928
688.00000000	0.01727994
689.00000000	0.01641831
690.00000000	0.01522918
691.00000000	0.01471330
692.00000000	0.01361337
693.00000000	0.01310411
694.00000000	0.01367686
695.00000000	0.01503353
696.00000000	0.01401033
697.00000000	0.01379367
698.00000000	0.01231486
699.00000000	0.01316066
700.00000000	0.01321430
701.00000000	0.01093396
702.00000000	0.01232326
703.00000000	0.00978636
704.00000000	0.01166472
705.00000000	0.01117033
706.00000000	0.01098695
707.00000000	0.01211501
708.00000000	0.01024456
709.00000000	0.01195037
710.00000000	0.01135775
711.00000000	0.01028043
712.00000000	0.01177588
713.00000000	0.00944691
714.00000000	0.01088533
715.00000000	0.01036008
716.00000000	0.01066334
717.00000000	0.01122849
718.00000000	0.01042454
719.00000000	0.01066625
720.00000000	0.00873554
721.00000000	0.00717562
722.00000000	0.00877027
723.00000000	0.00908904
724.00000000	0.00887287
725.00000000	0.00907822
