#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1610	0.1279	0.0122
#xyY coordinates: 0.5347	0.4248	0.1279
#sRGB: 81	22	0
#CCT Lindbloom (K):	2005
#CCT McCamy (K):	1995
#CCT Hernández-Andrés (K):	1709
#Melatonin: 0.105
#Chlorophyll a: 0.175
#Chlorophyll b: 0.296
#Beta Carotene: 0.177
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp at Facultad de Físicas
#Begin Processed Spectral Data
W	S
475.00000000	0.01226490
476.00000000	0.01421586
477.00000000	0.00801153
478.00000000	0.00515092
479.00000000	0.00284134
480.00000000	0.00298351
481.00000000	0.00238745
482.00000000	0.00246411
483.00000000	0.00281662
484.00000000	0.00222096
485.00000000	0.00339927
486.00000000	0.00270063
487.00000000	0.00337934
488.00000000	0.00295574
489.00000000	0.00362861
490.00000000	0.00404689
491.00000000	0.00553001
492.00000000	0.00639859
493.00000000	0.00660295
494.00000000	0.00625483
495.00000000	0.00817310
496.00000000	0.01522410
497.00000000	0.04113378
498.00000000	0.11891145
499.00000000	0.15495795
500.00000000	0.09703245
501.00000000	0.04289128
502.00000000	0.01881537
503.00000000	0.00988091
504.00000000	0.00704661
505.00000000	0.00600795
506.00000000	0.00520646
507.00000000	0.00461319
508.00000000	0.00496849
509.00000000	0.00440551
510.00000000	0.00467312
511.00000000	0.00447726
512.00000000	0.00475310
513.00000000	0.00476174
514.00000000	0.00615251
515.00000000	0.02771927
516.00000000	0.04080067
517.00000000	0.02221822
518.00000000	0.00899066
519.00000000	0.00591786
520.00000000	0.00426055
521.00000000	0.00435688
522.00000000	0.00394405
523.00000000	0.00411877
524.00000000	0.00408183
525.00000000	0.00480067
526.00000000	0.00413684
527.00000000	0.00436126
528.00000000	0.00447341
529.00000000	0.00466408
