#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/26
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1832	0.1533	0.0126
#xyY coordinates: 0.5248	0.4392	0.1533
#sRGB: 90	28	0
#CCT Lindbloom (K):	2176
#CCT McCamy (K):	2172
#CCT Hernández-Andrés (K):	1951
#Melatonin: 0.104
#Chlorophyll a: 0.369
#Chlorophyll b: 0.289
#Beta Carotene: 0.369
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Riba-Roja de Turia streetlamps. Yellowish.
#Begin Processed Spectral Data
W	S
475.00000000	0.01514294
476.00000000	0.01726303
477.00000000	0.01096339
478.00000000	0.00918892
479.00000000	0.00823538
480.00000000	0.00777311
481.00000000	0.00782728
482.00000000	0.00771260
483.00000000	0.00842671
484.00000000	0.00830692
485.00000000	0.00888896
486.00000000	0.00898702
487.00000000	0.00917831
488.00000000	0.00914555
489.00000000	0.01016228
490.00000000	0.01030075
491.00000000	0.01186158
492.00000000	0.01298584
493.00000000	0.01222370
494.00000000	0.01275907
495.00000000	0.01430202
496.00000000	0.02052816
497.00000000	0.04407464
498.00000000	0.11823213
499.00000000	0.14214184
500.00000000	0.08140228
501.00000000	0.05267979
502.00000000	0.03305028
503.00000000	0.02076958
504.00000000	0.01541997
505.00000000	0.01420169
506.00000000	0.01338018
507.00000000	0.01266532
508.00000000	0.01291515
509.00000000	0.01314751
510.00000000	0.01309644
511.00000000	0.01287877
512.00000000	0.01300061
513.00000000	0.01363404
514.00000000	0.01603363
515.00000000	0.03726085
516.00000000	0.04679287
517.00000000	0.02479455
518.00000000	0.02102624
519.00000000	0.01749871
520.00000000	0.01539406
521.00000000	0.01423296
522.00000000	0.01409593
523.00000000	0.01454642
524.00000000	0.01495779
525.00000000	0.01513706
526.00000000	0.01512075
527.00000000	0.01490849
528.00000000	0.01525991
529.00000000	0.01556187
530.00000000	0.01551979
531.00000000	0.01613516
532.00000000	0.01632342
