# High Pressure Sodium
#
# average spectrum made of:
# HPS_High_Pressure_Sodium_1732K_SFH_Toledo_cor
# HPS_High_Pressure_Sodium_1819K_Riba_Roja_Plaza_Ajuntament_cor
# HPS_High_Pressure_Sodium_1869K_Riba_Roja_cor
# HPS_High_Pressure_Sodium_1895K_Ager_cor
# HPS_High_Pressure_Sodium_1920K_SFH_Alix_cor
# HPS_High_Pressure_Sodium_2005K_F_Fisicas_cor
# HPS_High_Pressure_Sodium_2038K_Riba_Roja_Plaza_Ajuntament_cor
# HPS_High_Pressure_Sodium_2176K_Riba_Roja_cor
# HPS_High_Pressure_Sodium_2255K_Paraninfo_UCM_cor
#
# W	S
475	0.016937373
476	0.018604252
477	0.012567007
478	0.00916229
479	0.006936261
480	0.006271544
481	0.005954804
482	0.006089248
483	0.006496397
484	0.006898448
485	0.006620908
486	0.006886572
487	0.006477066
488	0.006850054
489	0.007436724
490	0.008314953
491	0.010106423
492	0.011486874
493	0.010804841
494	0.011014739
495	0.013526787
496	0.020226873
497	0.045412312
498	0.12127388
499	0.158241121
500	0.102794031
501	0.057440967
502	0.031552742
503	0.018202632
504	0.012971656
505	0.010638277
506	0.009587172
507	0.00893112
508	0.008947677
509	0.008531798
510	0.008558751
511	0.008320773
512	0.00878394
513	0.008617602
514	0.01098822
515	0.031762739
516	0.045440106
517	0.025657852
518	0.0159954
519	0.011184053
520	0.009335623
521	0.008624226
522	0.008370683
523	0.008496718
524	0.008533352
525	0.008710276
526	0.008511827
527	0.008366502
528	0.008624143
529	0.008592258
530	0.008955778
531	0.008991413
532	0.008906133
533	0.009207848
534	0.009485042
535	0.009765983
536	0.009830299
537	0.010040219
538	0.009951103
539	0.010589926
540	0.010277067
541	0.010728401
542	0.010971251
543	0.011203274
544	0.011843527
545	0.013229281
546	0.019519884
547	0.021687667
548	0.02208029
549	0.026867539
550	0.035544436
551	0.04385182
552	0.049089508
553	0.053173708
554	0.055661638
555	0.056457523
556	0.061276264
557	0.068199723
558	0.078446788
559	0.090343597
560	0.100623772
561	0.107939894
562	0.110987013
563	0.113520723
564	0.116221951
565	0.122705267
566	0.142227012
567	0.195287907
568	0.350744631
569	0.617219981
570	0.521105687
571	0.34054137
572	0.251962704
573	0.198946151
574	0.17869495
575	0.178579129
576	0.188155672
577	0.201715484
578	0.21846206
579	0.237690562
580	0.262668883
581	0.288769194
582	0.321098547
583	0.353490327
584	0.383181114
585	0.409307862
586	0.407098784
587	0.340964094
588	0.206059359
589	0.096544452
590	0.051399261
591	0.050932147
592	0.123318673
593	0.245597687
594	0.348261604
595	0.41724043
596	0.450844124
597	0.456872179
598	0.44790058
599	0.432535964
600	0.410772518
601	0.387897318
602	0.364306053
603	0.34407514
604	0.321617499
605	0.299400242
606	0.281873841
607	0.26412823
608	0.247472849
609	0.23228017
610	0.21825202
611	0.208077183
612	0.195691868
613	0.187415722
614	0.180100976
615	0.20569496
616	0.288554077
617	0.258055547
618	0.197050013
619	0.169761091
620	0.150110086
621	0.136275836
622	0.129259667
623	0.124320379
624	0.119072109
625	0.115131982
626	0.111666387
627	0.1084078
628	0.104411593
629	0.101270271
630	0.097870511
631	0.095253021
632	0.093180429
633	0.090555284
634	0.088585444
635	0.086563709
636	0.084565906
637	0.082240714
638	0.080868523
639	0.078946364
640	0.076720362
641	0.075443426
642	0.074843057
643	0.073010776
644	0.07123814
645	0.070205972
646	0.069277479
647	0.068035066
648	0.066387466
649	0.065547014
650	0.064128856
651	0.061991901
652	0.06047745
653	0.060006941
654	0.059805711
655	0.059839266
656	0.058618456
657	0.058683908
658	0.057979381
659	0.05752477
660	0.057615632
661	0.055134233
662	0.053295878
663	0.051919481
664	0.05088759
665	0.050625459
666	0.051467581
667	0.052560364
668	0.052783894
669	0.053991063
670	0.055401106
671	0.056307052
672	0.056220383
673	0.055173332
674	0.055633568
675	0.053490806
676	0.053206899
677	0.052175576
678	0.049368306
679	0.047497236
680	0.045154538
681	0.043157928
682	0.042424241
683	0.04028217
684	0.037640848
685	0.036999717
686	0.034984377
687	0.032780156
688	0.030117868
689	0.028777126
690	0.028663247
691	0.029260722
692	0.030023668
693	0.02948428
694	0.028656396
695	0.027997696
696	0.028279626
697	0.028399743
698	0.027187458
699	0.028595243
700	0.028137744
701	0.027004407
702	0.027576606
703	0.028189577
704	0.026500298
705	0.02660473
706	0.026875062
707	0.026526982
708	0.025731977
709	0.02729896
710	0.027045199
711	0.026098297
712	0.025096213
713	0.025214297
714	0.02559059
715	0.024063212
716	0.024689954
717	0.024633184
718	0.023348311
719	0.023060129
720	0.021898381
721	0.021970132
722	0.022800589
723	0.02283844
724	0.020725886
725	0.021361608
