#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/02/07
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1625	0.1284	0.0182
#xyY coordinates: 0.5257	0.4155	0.1284
#sRGB: 82	21	1
#CCT Lindbloom (K):	2021
#CCT McCamy (K):	2004
#CCT Hernández-Andrés (K):	1730
#Melatonin: 0.180
#Chlorophyll a: 6.214
#Chlorophyll b: 0.552
#Beta Carotene: 6.186
#Manufacturer: Amberline
#Luminance manufacturer: 140 lm
#Other data: Amberline carbon filament lamp. Squirrel Cage filament design.
#Begin Processed Spectral Data
W	S
475.00000000	0.02423566
476.00000000	0.02492694
477.00000000	0.02560881
478.00000000	0.02623961
479.00000000	0.02650632
480.00000000	0.02712002
481.00000000	0.02763527
482.00000000	0.02811485
483.00000000	0.02880061
484.00000000	0.02928288
485.00000000	0.03012133
486.00000000	0.03068119
487.00000000	0.03133866
488.00000000	0.03202517
489.00000000	0.03246260
490.00000000	0.03294777
491.00000000	0.03350132
492.00000000	0.03413589
493.00000000	0.03505770
494.00000000	0.03531605
495.00000000	0.03632913
496.00000000	0.03681261
497.00000000	0.03790166
498.00000000	0.03894239
499.00000000	0.03925332
500.00000000	0.04007024
501.00000000	0.04077046
502.00000000	0.04164326
503.00000000	0.04265904
504.00000000	0.04316715
505.00000000	0.04396724
506.00000000	0.04486938
507.00000000	0.04575330
508.00000000	0.04661663
509.00000000	0.04759769
510.00000000	0.04838634
511.00000000	0.04932839
512.00000000	0.05063785
513.00000000	0.05081558
514.00000000	0.05250556
515.00000000	0.05362049
516.00000000	0.05437063
517.00000000	0.05525195
518.00000000	0.05606409
519.00000000	0.05721696
520.00000000	0.05789065
521.00000000	0.05872651
522.00000000	0.05947514
