#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/18
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0343	0.0160	0.0012
#xyY coordinates: 0.6658	0.3100	0.0160
#sRGB: 22	0	0
#CCT Lindbloom (K):	---
#CCT McCamy (K):	3930
#CCT Hernández-Andrés (K):	---
#Melatonin: 0.089
#Chlorophyll a: 54.509
#Chlorophyll b: 1.399
#Beta Carotene: 54.254
#Manufacturer: Leuci
#Luminance manufacturer: Unknown
#Other data: 25W Special red
#Begin Processed Spectral Data
W	S
475.00000000	0.00101826
476.00000000	0.00110462
477.00000000	0.00124918
478.00000000	0.00101650
479.00000000	0.00118590
480.00000000	0.00108796
481.00000000	0.00136901
482.00000000	0.00135409
483.00000000	0.00120484
484.00000000	0.00134104
485.00000000	0.00117699
486.00000000	0.00126308
487.00000000	0.00122549
488.00000000	0.00104851
489.00000000	0.00135843
490.00000000	0.00120688
491.00000000	0.00134485
492.00000000	0.00118318
493.00000000	0.00134655
494.00000000	0.00127520
495.00000000	0.00126145
496.00000000	0.00137538
497.00000000	0.00132741
498.00000000	0.00126711
499.00000000	0.00117292
500.00000000	0.00158571
501.00000000	0.00149925
502.00000000	0.00136811
503.00000000	0.00148697
504.00000000	0.00132159
505.00000000	0.00126150
506.00000000	0.00133113
507.00000000	0.00137560
508.00000000	0.00133676
509.00000000	0.00133216
510.00000000	0.00139537
511.00000000	0.00145337
512.00000000	0.00138071
513.00000000	0.00124673
514.00000000	0.00168702
515.00000000	0.00129431
516.00000000	0.00152156
517.00000000	0.00142774
518.00000000	0.00168490
519.00000000	0.00150980
